,s-2,s-Wetteren,s-Wichelen,s-2a,s-3,s-Dendermonde,s-4b,s-4c,s-6,s-8,s-9,s-12,s-STD3,s-7,s-5,ak-41,s-Vlassenbroek,s-4a,s-9a,s-8a,s-11,s-4,s-10a,ak-45,ws-53A,ws-53,ws-42A,ws-18,ws-25B,ws-16,ws-14,ws-12A,ws-6,ws-4,ws-PVTSS,ws-DL9,ws-DL7,ws-55,ws-2C,ws-TRAWL,ws-F42,ws-HW6,ws-11,s-1,ws-OGDL,ws-OG10,ws-SP3,ws-25A,ws-25,ws-23,ws-A5,ws-PPC,ws-A3,ws-A1,ws-15A,ws-15,ws-W6,ak-47,ws-WN2,bpns-WENDUINEBANKW,bpns-Whitley,me-7-2,M-6,ws-13,ws-W7,bpns-W1,bpns-Trapegeer,du-Hamveer,bpns-WK12,ws-FZ2,bpns-S4,bpns-A1BIS,bpns-S7,bpns-O6,M-4,M-4A,M-3,M-2,M-1,M-5,s-Dendermonde2,bpns-KB2,bpns-middelkerkebank,bpns-nieuwpoortbank,ws-borssele,PC4C-C05-2,PC4C-C05-9,ws-GVWSP,bpns-Cpowerreefballs-CPOD,bpns-zbe1,bpns-ZA2,ws-F53,bpns-WK14,rel_schelde1,rel_dijle,rel_schelde2,rel_schelde3,rel_schelde4,rel_schelde5
s-2,0,6634.663263,12079.5766,16914.18815,26803.47082,32313.87417,44823.92278,47313.29377,55337.15676,65019.84757,70466.78879,92949.41093,96862.60706,57326.85374,50126.88,78714.87364,40137.87243,41486.20776,70666.72674,64919.8786,92766.61484,30824.21732,78232.14621,89652.99965,117914.799,118263.2005,118111.6351,135280.7035,136363.44,136390.8013,137242.3204,138035.2474,140648.3966,140996.7981,141645.1798,159942.2554,161190.5974,117400.792,141749.0426,159917.326,118460.0366,119191.221,142300.5815,3313.626361,158159.5653,158973.5035,160810.9652,137514.9392,138014.9061,138790.6425,139624.9709,140473.3393,140093.7071,140603.8446,140631.2059,141041.3501,160147.8247,100300.4619,160003.2793,205320.3467,226870.9389,69913.12437,77137.43083,141993.5813,159675.2191,170919.7485,233467.3514,54764.46015,186150.6919,118077.2538,188321.7474,195825.8392,179646.534,204649.1919,82996.18688,82996.18688,83337.51957,83520.34007,85575.64909,80799.48312,32313.87417,214580.0428,216174.3545,230101.239,143487.1075,216913.0022,216995.8049,160372.7409,199456.5561,179361.3127,180258.0292,118463.1873,174854.5905,60240.70183,82996.18688,33279.42664,17014.18153,43392.85795,0
s-Wetteren,6634.663263,0,5444.913334,10279.52489,20168.80756,25679.2109,38189.25951,40678.63051,48702.4935,58385.18431,63832.12553,86314.74767,90227.9438,50692.19047,43492.21674,72080.21037,33503.20917,34851.5445,64032.06347,58285.21534,86131.95158,24189.55405,71597.48295,83018.33639,111280.1357,111628.5372,111476.9719,128646.0402,129728.7768,129756.1381,130607.6571,131400.5842,134013.7333,134362.1348,135010.5165,153307.5922,154555.9341,110766.1288,135114.3793,153282.6627,111825.3734,112556.5578,135665.9182,7289.894099,151524.902,152338.8403,154176.3019,130880.276,131380.2429,132155.9792,132990.3076,133838.676,133459.0438,133969.1813,133996.5427,134406.6868,153513.1614,93665.79864,153368.616,198685.6834,220236.2756,63278.46111,70502.76757,135358.918,153040.5558,164285.0852,226832.6882,48129.79689,179516.0287,111442.5905,181687.0842,189191.1759,173011.8707,198014.5286,76361.52362,76361.52362,76702.85631,76885.67681,78940.98583,74164.81986,25679.2109,207945.3796,209539.6912,223466.5758,136852.4443,210278.3389,210361.1416,153738.0776,192821.8929,172726.6494,173623.366,111828.524,168219.9272,53606.03857,76361.52362,26644.76338,10379.51827,36758.19469,6634.663263
s-Wichelen,12079.5766,5444.913334,0,4834.611552,14723.89422,20234.29757,32744.34618,35233.71717,43257.58016,52940.27098,58387.21219,80869.83434,84783.03047,45247.27714,38047.30341,66635.29704,28058.29583,29406.63117,58587.15014,52840.302,80687.03824,18744.64072,66152.56962,77573.42305,105835.2224,106183.6239,106032.0585,123201.1269,124283.8634,124311.2247,125162.7438,125955.6708,128568.82,128917.2215,129565.6032,147862.6788,149111.0208,105321.2154,129669.466,147837.7494,106380.46,107111.6444,130221.0049,12734.80743,146079.9887,146893.9269,148731.3886,125435.3626,125935.3295,126711.0659,127545.3943,128393.7627,128014.1305,128524.268,128551.6293,128961.7735,148068.2481,88220.8853,147923.7027,193240.7701,214791.3623,57833.54777,65057.85423,129914.0047,147595.6425,158840.1719,221387.7748,42684.88356,174071.1153,105997.6772,176242.1708,183746.2626,167566.9574,192569.6153,70916.61029,70916.61029,71257.94297,71440.76347,73496.0725,68719.90653,20234.29757,202500.4662,204094.7779,218021.6624,131407.531,204833.4256,204916.2283,148293.1643,187376.9795,167281.7361,168178.4526,106383.6107,162775.0139,48161.12523,70916.61029,21199.85005,4934.604933,31313.28136,12079.5766
s-2a,16914.18815,10279.52489,4834.611552,0,9889.282673,15399.68602,27909.73463,30399.10562,38422.96861,48105.65942,53552.60064,76035.22279,79948.41891,40412.66559,33212.69185,61800.68549,23223.68428,24572.01961,53752.53859,48005.69045,75852.42669,13910.02917,61317.95806,72738.8115,101000.6108,101349.0124,101197.447,118366.5154,119449.2519,119476.6132,120328.1322,121121.0593,123734.2084,124082.61,124730.9916,143028.0673,144276.4092,100486.6039,124834.8544,143003.1378,101545.8485,102277.0329,125386.3933,17569.41899,141245.3771,142059.3154,143896.777,120600.7511,121100.718,121876.4543,122710.7827,123559.1511,123179.5189,123689.6565,123717.0178,124127.1619,143233.6365,83386.27375,143089.0912,188406.1586,209956.7508,52998.93622,60223.24268,125079.3931,142761.0309,154005.5604,216553.1633,37850.27201,169236.5038,101163.0656,171407.5593,178911.651,162732.3458,187735.0038,66081.99873,66081.99873,66423.33142,66606.15192,68661.46095,63885.29497,15399.68602,197665.8547,199260.1663,213187.0509,126572.9194,199998.814,200081.6167,143458.5528,182542.368,162447.1245,163343.8411,101548.9991,157940.4023,43326.51368,66081.99873,16365.23849,99.99338104,26478.6698,16914.18815
s-3,26803.47082,20168.80756,14723.89422,9889.282673,0,5510.403344,18020.45196,20509.82295,28533.68594,38216.37675,43663.31797,66145.94011,70059.13624,30523.38291,23323.40918,51911.40282,13334.40161,14682.73694,43863.25591,38116.40778,65963.14402,4020.746495,51428.67539,62849.52883,91111.32815,91459.72968,91308.1643,108477.2327,109559.9692,109587.3305,110438.8496,111231.7766,113844.9258,114193.3273,114841.709,133138.7846,134387.1266,90597.3212,114945.5717,133113.8552,91656.56582,92387.7502,115497.1106,27458.70166,131356.0944,132170.0327,134007.4943,110711.4684,111211.4353,111987.1717,112821.5,113669.8685,113290.2362,113800.3738,113827.7351,114237.8793,133344.3538,73496.99108,133199.8085,178516.8759,200067.4681,43109.65355,50333.96001,115190.1105,132871.7483,144116.2777,206663.8806,27960.98933,159347.2211,91273.78296,161518.2766,169022.3684,152843.0631,177845.7211,56192.71606,56192.71606,56534.04875,56716.86925,58772.17827,53996.0123,5510.403344,187776.572,189370.8837,203297.7682,116683.6367,190109.5313,190192.3341,133569.2701,172653.0853,152557.8418,153454.5584,91659.71644,148051.1197,33437.23101,56192.71606,6475.95582,9847.856908,16589.38713,26803.47082
s-Dendermonde,32313.87417,25679.2109,20234.29757,15399.68602,5510.403344,0,12510.04861,14999.4196,23023.28259,32705.97341,38152.91462,60635.53677,64548.7329,25012.97957,17813.00584,46400.99947,7823.998265,9172.333598,38352.85257,32606.00443,60452.74067,1489.656849,45918.27205,57339.12548,85600.92481,85949.32633,85797.76095,102966.8293,104049.5659,104076.9272,104928.4462,105721.3732,108334.5224,108682.9239,109331.3056,127628.3813,128876.7232,85086.91786,109435.1684,127603.4518,86146.16247,86877.34685,109986.7073,32969.105,125845.6911,126659.6294,128497.091,105201.0651,105701.032,106476.7683,107311.0967,108159.4651,107779.8329,108289.9704,108317.3318,108727.4759,127833.9505,67986.58774,127689.4051,173006.4725,194557.0647,37599.25021,44823.55667,109679.7071,127361.3449,138605.8743,201153.4773,22450.58599,153836.8178,85763.37962,156007.8733,163511.965,147332.6598,172335.3177,50682.31272,50682.31272,51023.6454,51206.46591,53261.77493,48485.60896,0,182266.1687,183860.4803,197787.3649,111173.2334,184599.128,184681.9307,128058.8667,167142.682,147047.4385,147944.1551,86149.3131,142540.7163,27926.82767,50682.31272,965.5524762,15358.26025,11078.98379,32313.87417
s-4b,44823.92278,38189.25951,32744.34618,27909.73463,18020.45196,12510.04861,0,2489.370993,10513.23398,20195.9248,25642.86601,48125.48816,52038.68429,12502.93096,5302.957226,33890.95086,4686.050347,3337.715013,25842.80396,20095.95582,47942.69206,13999.70546,33408.22344,44829.07687,73090.8762,73439.27772,73287.71234,90456.78073,91539.51725,91566.87856,92418.39761,93211.32464,95824.47381,96172.87533,96821.257,115118.3327,116366.6746,72576.86925,96925.11978,115093.4032,73636.11386,74367.29824,97476.65869,45479.15361,113335.6425,114149.5808,115987.0424,92691.01644,93190.98335,93966.71971,94801.04809,95649.41652,95269.78428,95779.92183,95807.28314,96217.42731,115323.9019,55476.53912,115179.3565,160496.4239,182047.0161,25089.20159,32313.50805,97169.65852,114851.2963,126095.8257,188643.4287,9940.537378,141326.7691,73253.33101,143497.8247,151001.9164,134822.6112,159825.2691,38172.26411,38172.26411,38513.59679,38696.41729,40751.72632,35975.56035,12510.04861,169756.1201,171350.4317,185277.3163,98663.18477,172089.0794,172171.8821,115548.8181,154632.6333,134537.3899,135434.1065,73639.26448,130030.6677,15416.77905,38172.26411,11544.49613,27868.30886,1431.064825,44823.92278
s-4c,47313.29377,40678.63051,35233.71717,30399.10562,20509.82295,14999.4196,2489.370993,0,8023.86299,17706.5538,23153.49502,45636.11716,49549.31329,10013.55997,2813.586233,31401.57987,7175.421339,5827.086006,23353.43297,17606.58483,45453.32107,16489.07645,30918.85244,42339.70588,70601.50521,70949.90673,70798.34135,87967.40973,89050.14626,89077.50757,89929.02662,90721.95364,93335.10282,93683.50434,94331.88601,112628.9617,113877.3036,70087.49826,94435.74879,112604.0322,71146.74287,71877.92725,94987.28769,47968.52461,110846.2715,111660.2098,113497.6714,90201.64545,90701.61236,91477.34871,92311.6771,93160.04552,92780.41329,93290.55084,93317.91215,93728.05632,112834.5309,52987.16813,112689.9855,158007.0529,179557.6451,22599.8306,29824.13706,94680.28753,112361.9253,123606.4547,186154.0577,7451.166385,138837.3981,70763.96001,141008.4537,148512.5454,132333.2402,157335.8981,35682.89311,35682.89311,36024.2258,36207.0463,38262.35533,33486.18935,14999.4196,167266.7491,168861.0607,182787.9453,96173.81378,169599.7084,169682.5111,113059.4471,152143.2623,132048.0189,132944.7355,71149.89349,127541.2967,12927.40806,35682.89311,14033.86713,30357.67986,3920.435818,47313.29377
s-6,55337.15676,48702.4935,43257.58016,38422.96861,28533.68594,23023.28259,10513.23398,8023.86299,0,9682.690814,15129.63203,37612.25418,41525.4503,1989.696976,5210.276756,23377.71688,15199.28433,13850.949,15329.56998,9582.72184,37429.45808,24512.93944,22894.98945,34315.84289,62577.64222,62926.04374,62774.47836,79943.54674,81026.28327,81053.64458,81905.16363,82698.09065,85311.23983,85659.64135,86308.02302,104605.0987,105853.4406,62063.63527,86411.8858,104580.1692,63122.87988,63854.06426,86963.4247,55992.3876,102822.4085,103636.3468,105473.8084,82177.78246,82677.74937,83453.48572,84287.81411,85136.18253,84756.5503,85266.68785,85294.04916,85704.19333,104810.6679,44963.30514,104666.1225,149983.1899,171533.7821,14575.96761,21800.27407,86656.42454,104338.0623,115582.5917,178130.1947,7624.255577,130813.5352,62740.09702,132984.5907,140488.6824,124309.3772,149312.0351,27659.03012,27659.03012,28000.36281,28183.18331,30238.49234,25462.32636,23023.28259,159242.8861,160837.1977,174764.0823,88149.95079,161575.8454,161658.6481,105035.5841,144119.3994,124024.1559,124920.8725,63126.0305,119517.4337,4903.545072,27659.03012,22057.73012,38381.54285,11944.29881,55337.15676
s-8,65019.84757,58385.18431,52940.27098,48105.65942,38216.37675,32705.97341,20195.9248,17706.5538,9682.690814,0,5446.941215,27929.56336,31842.75949,7692.993838,14892.96757,13695.02606,24881.97514,23533.63981,5646.879162,99.96897362,27746.76727,34195.63026,13212.29864,24633.15207,52894.9514,53243.35293,53091.78754,70260.85593,71343.59245,71370.95377,72222.47281,73015.39984,75628.54901,75976.95054,76625.3322,94922.40787,96170.74982,52380.94445,76729.19498,94897.4784,53440.18907,54171.37345,77280.73389,65675.07841,93139.71768,93953.65596,95791.11759,72495.09165,72995.05855,73770.79491,74605.12329,75453.49172,75073.85948,75583.99703,75611.35835,76021.50251,95127.9771,35280.61433,94983.43174,140300.4991,161851.0913,10286.22761,17510.53407,76973.73372,94655.3715,105899.9009,168447.5039,17306.94639,121130.8443,53057.40621,123301.8999,130805.9916,114626.6864,139629.3443,23369.29012,23369.29012,23710.62281,23893.44331,25948.75234,21172.58636,32705.97341,149560.1953,151154.5069,165081.3915,78467.25997,151893.1546,151975.9573,95352.89333,134436.7085,114341.4651,115238.1817,53443.33969,109834.7429,4779.145742,23369.29012,31740.42093,48064.23366,21626.98962,65019.84757
