animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
2004_gudena,GUD1,56.38230254,9.897962798,freshwater,freshwater,freshwater
2004_gudena,GUD2,56.38312088,9.901577397,freshwater,freshwater,freshwater
2004_gudena,RAN1,56.45735379,10.01770257,tidal_brackish,tidal_brackish,tidal
2004_gudena,RAN2,56.45552792,10.03316608,tidal_brackish,tidal_brackish,tidal
2004_gudena,UGEL2,56.47968471,10.21517113,tidal_brackish,tidal_brackish,tidal
2004_gudena,UGEL1,56.48324094,10.2181103,tidal_brackish,tidal_brackish,tidal
2004_gudena,UDBY2,56.60980547,10.30384199,tidal_brackish,tidal_brackish,tidal
2004_gudena,UDBY1,56.60799107,10.29949461,tidal_brackish,tidal_brackish,tidal
2004_gudena,KATNORD,56.61897787,10.35937256,tidal_brackish,tidal_brackish,tidal
2004_gudena,rel_gudena,56.364919,9.900337,freshwater,freshwater,freshwater
semp,Rusne-4,55.233365,21.440105,freshwater,freshwater,freshwater
semp,Rusne-3,55.249009,21.433182,freshwater,freshwater,freshwater
semp,Rusne-1,55.254931,21.426594,freshwater,freshwater,freshwater
semp,Rusne-2,55.270805,21.410735,freshwater,freshwater,freshwater
semp,klaipeda-3,55.695975,21.12433,tidal_brackish,tidal_brackish,tidal
semp,above-kaunas-3,54.873063,23.999205,freshwater,freshwater,freshwater
semp,above-kaunas-2,54.874228,24.001093,freshwater,freshwater,freshwater
semp,above-kaunas-4,54.873579,23.999337,freshwater,freshwater,freshwater
semp,above-kaunas-1,54.874171,24.001707,freshwater,freshwater,freshwater
semp,below-kaunas-3,54.875486,24.000087,freshwater,freshwater,freshwater
semp,below-kaunas-4,54.876396,23.999052,freshwater,freshwater,freshwater
semp,klaipeda-4,55.720791,21.101353,tidal_brackish,tidal_brackish,tidal
semp,klaipeda-1,55.718779,21.104573,tidal_brackish,tidal_brackish,tidal
semp,klaipeda-2,55.727228,21.081867,tidal_brackish,tidal_brackish,tidal
semp,below-kaunas-2,54.874708,23.999465,freshwater,freshwater,freshwater
semp,below-kaunas-1,54.874708,23.999465,freshwater,freshwater,freshwater
semp,rel_semp2,55.292887,24.896493,freshwater,freshwater,freshwater
semp,rel_semp1,55.252724,25.99083,freshwater,freshwater,freshwater
semp,rel_semp6,54.994366,25.802195,freshwater,freshwater,freshwater
semp,rel_semp4,55.643545,25.577403,freshwater,freshwater,freshwater
semp,rel_semp5,54.760719,25.354126,freshwater,freshwater,freshwater
semp,rel_semp7,54.874169,24.001905,freshwater,freshwater,freshwater
semp,rel_semp3,54.93961,25.659288,freshwater,freshwater,freshwater
mondego,R1,40.283,-8.266,freshwater,freshwater,freshwater
mondego,R2,40.208,-8.434,freshwater,freshwater,freshwater
mondego,R3,40.214,-8.438,freshwater,freshwater,freshwater
mondego,R7,40.145,-8.842,tidal_brackish,tidal_brackish,tidal
mondego,R8,40.145372,-8.873039,tidal_brackish,tidal_brackish,tidal
mondego,R4,40.185,-8.615,tidal_freshwater,freshwater,tidal
mondego,R5,40.145,-8.836,tidal_brackish,tidal_brackish,tidal
mondego,R6,40.146,-8.839,tidal_brackish,tidal_brackish,tidal
mondego,rel_mondego,40.295,-8.257,freshwater,freshwater,freshwater
2014_frome,F1,50.681696,-2.21012,freshwater,freshwater,freshwater
2014_frome,F2,50.681468,-2.208596,freshwater,freshwater,freshwater
2014_frome,F6,50.680533,-2.190656,freshwater,freshwater,freshwater
2014_frome,F7,50.683685,-2.108733,tidal_brackish,tidal_brackish,tidal
2014_frome,F8,50.690398,-2.084783,tidal_brackish,tidal_brackish,tidal
