release_location,release_station
Lojstrup Mill fish farm,rel_gudena
La Patache,rel_loire1
Ancenis,rel_loire2
St Florent Le Vieil,rel_loire3
entre Paimboeuf et Cordemais,rel_loire4
Kambs,rel_warnow
Isabellagemaal,rel_leopoldkanaal1
Leopoldkanaal (Fred's caf‚),rel_leopoldkanaal2
Boerekreek,rel_leopoldkanaal3
Leopoldkanaal (Watervliet),rel_leopoldkanaal4
Grote Geul,rel_leopoldkanaal5
Leopoldkanaal (Noordstraat),rel_leopoldkanaal6
Zwartesluisbeek,rel_leopoldkanaal7
Legemeersbeek,rel_leopoldkanaal8
Leopoldkanaal (Stenenschuurbrug),rel_leopoldkanaal9
Leopoldkanaal (Oesterput),rel_leopoldkanaal10
downstream Grosse Batte Ourthe,rel_albertkanaal1
gear SO1,rel_albertkanaal2
gear upstream complex Diepenbeek,rel_albertkanaal3
gear upstream complex Hasselt,rel_albertkanaal4
uitzet Genk SO1,rel_albertkanaal5
gear upstream Diepenbeek,rel_albertkanaal6
gear upstream Hasselt,rel_albertkanaal7
gear upstream Genk,rel_albertkanaal8
Diepenbeek,rel_albertkanaal9
Hasselt,rel_albertkanaal10
Genk,rel_albertkanaal11
upstream complex Genk marina,rel_albertkanaal12
HH5,rel_albertkanaal13
Stratford St Mary,rel_stour1
30 m upstream Flatford mill,rel_stour2
Downstream East Burton eel rack,rel_frome
downstream eel rack at Cotterstock,rel_nene
"Zeeschelde (Lepelstraat, Rupelmonde)",rel_schelde1
"Zeeschelde (Killeweg, Dendermonde)",rel_schelde2
"Zeeschelde (Bergenmeersen, Wichelen)",rel_schelde3
"Zeeschelde (ferryboad, Kastel)",rel_schelde4
"Zeeschelde (ring canal, Merelbeke)",rel_schelde5
Dijle (weir Mechelen Nekkerspoel),rel_dijle
ca. 3 km upstream Bois-Jolis dam,rel_fremur
Downstream confluent Grote Nete and Molse Nete,rel_grotenete1
Grote Nete 200 m upstream deployment gn-14,rel_grotenete2
Wildersedijk Grote Nete,rel_grotenete3
Suderpolder polder,rel_superpolder1
Markiezaat,rel_markiezaat
Suderpolder Hintzum boezem,rel_superpolder2
Suderpolder Tzum boezem,rel_superpolder3
elvestrand,rel_emmn1
elvemunning,rel_emmn2
Grand Lieu Lake,rel_esgl
near Miro,rel_mondego
Zeimena Kaltanenai,rel_semp1
Siesartis,rel_semp2
Zeimena Jusine,rel_semp3
Sventoji,rel_semp4
Neris,rel_semp5
Zeimena Pabrade,rel_semp6
Prie Kauno HE,rel_semp7
Noordzeekanaal,rel_noordzeekanaal1
Willem I,rel_noordzeekanaal2
Kadoelen1,rel_noordzeekanaal3
Kadoelen2,rel_noordzeekanaal4
Overtoom,rel_noordzeekanaal5
Spaarndam,rel_noordzeekanaal6
Halfweg,rel_noordzeekanaal7
Katwijk1,rel_noordzeekanaal8
Katwijk2,rel_noordzeekanaal9
Vinkeveen binnenzijde,rel_noordzeekanaal10
Vinkeveen buitenzijde,rel_noordzeekanaal11
Kortenhoef binnenzijde,rel_noordzeekanaal12
Kortenhoef buitenzijde,rel_noordzeekanaal13
Zaangemaal1,rel_noordzeekanaal14
Zaangemaal2,rel_noordzeekanaal15
Markermeer Uitdam,rel_noordzeekanaal16
Markermeer Hoorn,rel_noordzeekanaal17
