animal_project_code,release_station,upstream_stations
2011_Loire,rel_loire1,"99V, 114R"
2011_Loire,rel_loire2,
2011_Loire,rel_loire3,
2011_Loire,rel_loire4,"33V, 40R, 50R, StationGIP_Pellerin, 2R, 18R, 13V, 38R, 25V, 46R, 31V, 72R, 71V, 74R, 85V, 90R, 99V, 114R"
2013_Stour,rel_stour1,
2013_Stour,rel_stour2,"stour_6, stour_5, stour_4, stour_3, stour_2, stour_1"
2014_Nene,rel_nene,Nene1
2017_Fremur,rel_fremur,"F9, F8, F7, F6, F5, F4, F3, F2, F1"
2011_Warnow,rel_warnow,W1
nedap_meuse,rel_nedap_meuse,"GrensMaas_Bharen_vis, Maas_maastricht"
life4fish,rel_life4fish1,
life4fish,rel_life4fish2,
life4fish,rel_life4fish3,
life4fish,rel_life4fish4,
life4fish,rel_life4fish5,
life4fish,rel_life4fish6,
2015_phd_verhelst_eel,rel_dijle,"M-3, M-2, M-1"
2015_phd_verhelst_eel,rel_schelde1,"s-7, s-6, du-Hamveer, s-5, s-4c, s-4b, s-4a, s-Vlassenbroek, s-Dendermonde, s-Dendermonde2, s-4, s-3, s-2a, s-Wichelen, s-Wetteren, s-2, s-1"
2015_phd_verhelst_eel,rel_schelde2,"s-Dendermonde, s-Dendermonde2, s-4, s-3, s-2a, s-Wichelen, s-Wetteren, s-2, s-1"
2015_phd_verhelst_eel,rel_schelde3,"s-2a, s-Wichelen, s-Wetteren, s-2, s-1"
2015_phd_verhelst_eel,rel_schelde4," s-4a, s-Vlassenbroek, s-Dendermonde, s-Dendermonde2, s-4, s-3, s-2a, s-Wichelen, s-Wetteren, s-2, s-1"
2015_phd_verhelst_eel,rel_schelde5,
DAK,rel_markiezaat,"Markiezaat-6, Markiezaat-7, Markiezaat-8"
2012_leopoldkanaal,rel_leopoldkanaal1,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-9, bh-10, bh-11, bh-12, bh-13, bh-14, bh-15, bh-16, bh-17, bh-18, bh-19, bh-20, bh-21, bh-22, bh-23, bh-24, bh-25, bh-26, bh-27, bh-28, bh-29, bh-30, "
2012_leopoldkanaal,rel_leopoldkanaal2,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6"
2012_leopoldkanaal,rel_leopoldkanaal3,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-22, bh-24"
2012_leopoldkanaal,rel_leopoldkanaal4,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-9, bh-10, bh-11, bh-22"
2012_leopoldkanaal,rel_leopoldkanaal5,
2012_leopoldkanaal,rel_leopoldkanaal6,"bh-24, bh-25, bh-26, bh-27, bh-28, bh-29, bh-30"
2012_leopoldkanaal,rel_leopoldkanaal7,"bh-25, bh-26, bh-27, bh-28, bh-29, bh-30"
2012_leopoldkanaal,rel_leopoldkanaal8,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-9, bh-10, bh-11, bh-12, bh-13, bh-14, bh-15, bh-22"
2012_leopoldkanaal,rel_leopoldkanaal9,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-9, bh-10, bh-11, bh-12, bh-13, bh-22, bh-24"
2012_leopoldkanaal,rel_leopoldkanaal10,"bh-1, bh-2, bh-3, bh-4, bh-5, bh-6, bh-7, bh-8, bh-9, bh-10, bh-11, bh-12, bh-13, bh-14, bh-15, bh-16, bh-17, bh-18, bh-19"
Noordzeekanaal,rel_noordzeekanaal1,"Overtoom 1, Zaangemaal 3, Willem 2 sluis 2, Oranjesluis, ARK Noord"
Noordzeekanaal,rel_noordzeekanaal2,Kadoelen 5
Noordzeekanaal,rel_noordzeekanaal3,
Noordzeekanaal,rel_noordzeekanaal4,
Noordzeekanaal,rel_noordzeekanaal5,Koog ad Zaan
Noordzeekanaal,rel_noordzeekanaal6,"Cruquius, Zwanenburg"
Noordzeekanaal,rel_noordzeekanaal7,"Cruquius, Zwanenburg"
Noordzeekanaal,rel_noordzeekanaal8,Katwijk 3
Noordzeekanaal,rel_noordzeekanaal9,Katwijk 3
Noordzeekanaal,rel_noordzeekanaal10,
Noordzeekanaal,rel_noordzeekanaal11,"Vinkeveen gemaal, Vinkeveen sluis, ARK Zuid"
Noordzeekanaal,rel_noordzeekanaal12,Loosdrecht 1
Noordzeekanaal,rel_noordzeekanaal13,"Loosdrecht2a sluis, Loosdracht 2b gemaal, Loosdrecht 1, ARK Zuid"
Noordzeekanaal,rel_noordzeekanaal14,
Noordzeekanaal,rel_noordzeekanaal15,Koog ad Zaan
Noordzeekanaal,rel_noordzeekanaal16,
Noordzeekanaal,rel_noordzeekanaal17,
