"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","has_migration_started"
"1","A69-1008-101",1,"2004_Gudena","rel_gudena","none",56.364919,9.900337,2004-05-10 12:00:00,2004-05-10 12:00:00,1,NA,NA,NA,0,0,TRUE,2413.504321,2,2004-05-10 19:34:31,2413.504321,27271,0.0885007634850207,TRUE
"2","A69-1008-101",2,"2004_Gudena","GUD2","VR2-1908",56.38312088,9.901577397,2004-05-10 19:34:31,2004-05-10 19:34:31,1,27271,2413.504321,0.088501,2413.504321,2413.504321,TRUE,16105.172315,3,2004-05-11 04:48:57,13691.667994,33266,0.411581434317321,TRUE
"3","A69-1008-101",3,"2004_Gudena","RAN1","VR2-3538",56.45735379,10.01770257,2004-05-11 04:48:57,2004-05-11 05:20:53,22,33266,13774.473623,0.414071,16187.977944,16105.172315,TRUE,30890.016591,4,2004-05-11 23:47:11,14784.844276,68294,0.216488187483527,TRUE
"4","A69-1008-101",4,"2004_Gudena","UGEL1","VR2-3536",56.48324094,10.2181103,2004-05-11 23:47:11,2004-05-12 03:43:47,186,66378,14784.844277,0.222737,30972.822221,30890.016591,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"5","A69-1008-101",5,"2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-05-12 23:31:00,2004-05-13 00:56:34,74,71233,399.864462,0.005613,31372.686683,30490.15213,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"6","A69-1008-101",6,"2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-05-13 04:02:19,2004-05-13 05:50:21,55,NA,NA,NA,31372.686683,30490.15213,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"7","A69-1008-101",7,"2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-14 21:31:20,2004-05-14 22:45:00,19,142859,13385.164794,0.093695,44757.851477,17104.987336,FALSE,30490.15213,10,2004-09-09 00:08:34,13385.164794,10118234,0.00132287559212408,TRUE
"8","A69-1008-101",8,"2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-24 14:38:06,2004-05-24 16:16:16,57,NA,NA,NA,44757.851477,17104.987336,FALSE,30490.15213,10,2004-09-09 00:08:34,13385.164794,9279028,0.00144251798722883,TRUE
"9","A69-1008-101",9,"2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-25 02:28:48,2004-05-25 02:41:48,14,NA,NA,NA,44757.851477,17104.987336,FALSE,30490.15213,10,2004-09-09 00:08:34,13385.164794,9236386,0.00144917771886103,TRUE
"10","A69-1008-101",10,"2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-09 00:08:34,2004-09-09 00:59:26,21,9235606,13385.164794,0.001449,58143.016271,30490.15213,NA,NA,NA,NA,NA,NA,NA,TRUE
"11","A69-1008-101",11,"2004_Gudena","UGEL1","VR2-3536",56.48324094,10.2181103,2004-09-09 05:10:36,2004-09-09 05:10:36,1,15070,399.864462,0.026534,58542.880733,30890.016591,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"12","A69-1008-101",12,"2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-09 11:16:17,2004-09-09 12:06:41,53,21941,399.864462,0.018225,58942.745195,30490.15213,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"13","A69-1008-101",13,"2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-11 10:28:08,2004-09-11 11:46:20,44,NA,NA,NA,58942.745195,30490.15213,FALSE,NA,NA,NA,NA,NA,NA,TRUE
