"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","migration"
"1","A69-1601-20817",1,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-21 21:30:00,2014-10-21 21:30:00,1,NA,NA,NA,0,0,FALSE,5199.904243,3,2014-11-11 19:05:43,5199.904243,1805743,0.00287964801358776,FALSE
"2","A69-1601-20817",2,"2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-11 18:07:52,2014-11-11 18:10:13,2,1802272,3674.748244,0.002039,3674.748244,3674.748244,TRUE,12079.524635,4,2014-11-12 00:09:27,8404.776391,21695,0.387406148467389,TRUE
"3","A69-1601-20817",3,"2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-11 19:05:43,2014-11-11 19:05:43,1,3330,1525.155999,0.458005,5199.904243,5199.904243,TRUE,12079.524635,4,2014-11-12 00:09:27,6879.620392,18224,0.377503313871817,TRUE
"4","A69-1601-20817",4,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 00:09:27,2014-11-12 00:24:15,14,18224,6879.620392,0.377503,12079.524635,12079.524635,NA,NA,NA,NA,NA,NA,NA,TRUE
"5","A69-1601-20817",5,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 00:25:04,2014-11-12 00:25:04,1,49,2338.776258,47.730128,14418.300893,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"6","A69-1601-20817",6,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 00:25:25,2014-11-12 00:25:58,2,21,2338.776258,111.370298,16757.077151,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"7","A69-1601-20817",7,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 00:26:14,2014-11-12 00:31:07,8,16,2338.776258,146.173516,19095.853409,14418.300893,NA,NA,NA,NA,NA,NA,NA,FALSE
"8","A69-1601-20818",8,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-29 20:10:00,2014-10-29 20:10:00,1,NA,NA,NA,0,0,FALSE,5199.904243,3,2014-11-11 19:24:32,5199.904243,1120472,0.00464081587313204,FALSE
"9","A69-1601-20818",9,"2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-11 18:32:45,2014-11-11 18:39:08,3,1117365,3674.748244,0.003289,3674.748244,3674.748244,TRUE,12079.524635,4,2014-11-12 17:24:31,8404.776391,82306,0.102116205270576,TRUE
"10","A69-1601-20818",10,"2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-11 19:24:32,2014-11-11 19:24:32,1,2724,1525.155999,0.559896,5199.904243,5199.904243,TRUE,12079.524635,4,2014-11-12 17:24:31,6879.620392,79199,0.0868649906185684,TRUE
"11","A69-1601-20818",11,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 17:24:31,2014-11-12 17:36:02,13,79199,6879.620392,0.086865,12079.524635,12079.524635,NA,NA,NA,NA,NA,NA,NA,TRUE
"12","A69-1601-20818",12,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 17:36:16,2014-11-12 17:36:16,1,14,2338.776258,167.055447,14418.300893,14418.300893,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"13","A69-1601-20818",13,"2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 17:36:47,2014-11-12 17:36:47,1,31,2338.776258,75.444395,16757.077151,12079.524635,NA,NA,NA,NA,NA,NA,NA,FALSE
"14","A69-1601-20818",14,"2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 17:36:51,2014-11-12 17:40:34,6,4,2338.776258,584.694065,19095.853409,14418.300893,NA,NA,NA,NA,NA,NA,NA,FALSE
"15","A69-1601-20819",15,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-29 20:23:00,2014-10-29 20:23:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"16","A69-1601-20820",16,"2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-29 21:33:00,2014-10-29 21:33:00,1,NA,NA,NA,0,0,FALSE,5199.904243,3,2014-11-08 04:48:50,5199.904243,803750,0.0064695542681182,FALSE
"17","A69-1601-20820",17,"2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-08 03:22:56,2014-11-08 03:57:43,7,798596,3674.748244,0.004602,3674.748244,3674.748244,TRUE,12079.524635,4,2014-11-08 23:08:49,8404.776391,71153,0.118122586412379,TRUE
"18","A69-1601-20820",18,"2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-08 04:48:50,2014-11-08 04:48:50,1,3067,1525.155999,0.497279,5199.904243,5199.904243,TRUE,12079.524635,4,2014-11-08 23:08:49,6879.620392,65999,0.104238251973515,TRUE
