"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed"
"1","A69-1601-26500",1,"2019_Grotenete","rel_grotenete1","none",51.144779,5.003906,2019-10-09 17:30:00,2019-10-09 17:30:00,1,NA,NA,NA,0,0,FALSE,7635.421578,4,2019-12-14 22:38:28,7635.421578,5720908,0.0013346520478917
"2","A69-1601-26500",2,"2019_Grotenete","gn-14","VR2W-122358",51.138267,4.996319,2019-12-14 18:43:45,2019-12-14 18:43:45,1,5706825,1048.509145,0.000184,1048.509145,1048.509145,TRUE,7635.421578,4,2019-12-14 22:38:28,6586.912433,14083,0.467720828871689
"3","A69-1601-26500",3,"2019_Grotenete","gn-13","VR2W-124066",51.119771,4.990306,2019-12-14 20:03:57,2019-12-14 20:06:33,2,4812,2389.94432,0.496663,3438.453465,3438.453465,TRUE,8742.48363,5,2019-12-14 23:07:27,5304.030165,11010,0.481746608991826
"4","A69-1601-26500",4,"2019_Grotenete","gn-11","VR2W-127720",51.09592,4.957142,2019-12-14 22:38:28,2019-12-14 22:38:28,1,9115,4338.377744,0.47596,7776.831209,7635.421578,TRUE,21357.312272,7,2019-12-15 04:09:01,13721.890694,19833,0.691871663086775
"5","A69-1601-26500",5,"2019_Grotenete","gn-10","VR2W-122324",51.091558,4.945793,2019-12-14 23:07:27,2019-12-14 23:09:40,2,1739,1107.062052,0.636608,8883.893261,8742.48363,TRUE,21357.312272,7,2019-12-15 04:09:01,12614.828642,18094,0.697182969050514
"6","A69-1601-26500",6,"2019_Grotenete","gn-9","VR2W-127109",51.081153,4.913762,2019-12-15 00:17:07,2019-12-15 00:19:42,2,4047,2855.524863,0.705591,11739.418124,11598.008493,TRUE,21357.312272,7,2019-12-15 04:09:01,9759.303779,13914,0.701401737746155
"7","A69-1601-26500",7,"2019_Grotenete","gn-7","VR2W-122340",51.061848,4.787587,2019-12-15 04:09:01,2019-12-15 04:11:04,2,13759,9817.88091,0.713561,21557.299034,21357.312272,TRUE,31338.233487,9,2019-12-15 18:38:13,9980.921215,52152,0.191381370129621
"8","A69-1601-26500",8,"2019_Grotenete","gn-6","VR2W-122333",51.078636,4.757592,2019-12-15 05:29:40,2019-12-15 05:31:44,2,4716,3296.955011,0.6991,24854.254045,24654.267283,TRUE,31338.233487,9,2019-12-15 18:38:13,6683.966204,47313,0.141271240546996
"9","A69-1601-26500",9,"2019_Grotenete","gn-5","VR2W-122332",51.125942,4.718199,2019-12-15 18:38:13,2019-12-15 18:45:45,5,47189,6683.966204,0.141642,31538.220249,31338.233487,TRUE,39887.614896,11,2019-12-15 23:05:41,8549.381409,16048,0.532738123691426
"10","A69-1601-26500",10,"2019_Grotenete","gn-4","VR2W-122353",51.135075,4.664932,2019-12-15 21:28:33,2019-12-15 21:33:12,3,9768,4503.97007,0.461094,36042.190319,35783.626426,TRUE,42026.025211,12,2019-12-15 23:59:39,6242.398785,9066,0.688550494705493
"11","A69-1601-26500",11,"2019_Grotenete","gn-3","VR2W-122365",51.130352,4.617316,2019-12-15 23:05:41,2019-12-15 23:07:47,2,5549,4186.83712,0.754521,40229.027439,39887.614896,TRUE,46288.624568,14,2019-12-16 01:14:56,6401.009672,7755,0.825404213023856
"12","A69-1601-26500",12,"2019_Grotenete","gn-2","VR2W-127721",51.135829,4.5937,2019-12-15 23:59:39,2019-12-16 00:17:41,6,3112,2138.410314,0.68715,42367.437753,42026.025211,TRUE,50682.615609,15,2019-12-16 02:34:10,8656.590398,9271,0.933727796138496
"13","A69-1601-26500",13,"2019_Grotenete","bn-3","VR2W-124063",51.126391,4.571903,2019-12-16 00:39:48,2019-12-16 00:42:41,3,1327,2189.87681,1.650246,44557.314563,44215.902021,TRUE,50682.615609,15,2019-12-16 02:34:10,6466.713588,6862,0.942394868551442
"14","A69-1601-26500",14,"2019_Grotenete","bn-2","VR2W-124078",51.117416,4.549158,2019-12-16 01:14:56,2019-12-16 01:17:33,2,1935,2072.722547,1.071174,46630.03711,46288.624568,TRUE,55176.559657,17,2019-12-16 21:17:17,8887.935089,72141,0.123202271787195
"15","A69-1601-26500",15,"2019_Grotenete","bn-1","VR2W-122351",51.093001,4.506837,2019-12-16 02:34:10,2019-12-16 03:09:47,14,4597,4393.991041,0.955839,51024.028151,50682.615609,FALSE,62601.734282,18,2019-12-16 23:12:37,11919.118673,74307,0.160403712611194
"16","A69-1601-26500",16,"2019_Grotenete","bn-1","VR2W-122351",51.093001,4.506837,2019-12-16 19:54:37,2019-12-16 20:13:44,10,NA,NA,NA,51024.028151,50682.615609,TRUE,62601.734282,18,2019-12-16 23:12:37,11919.118673,11880,1.00329281759259
"17","A69-1601-26500",17,"2019_Grotenete","bn-Walem","VR2W-122339",51.07183,4.45474,2019-12-16 21:17:17,2019-12-16 21:22:25,4,3813,4552.521179,1.193947,55576.54933,55176.559657,TRUE,62601.734282,18,2019-12-16 23:12:37,7425.174625,6920,1.07300211343931
"18","A69-1601-26500",18,"2019_Grotenete","ru-1","VR2W-122328",51.082273,4.366215,2019-12-16 23:12:37,2019-12-16 23:12:37,1,6612,7425.174625,1.122985,63001.723955,62601.734282,TRUE,78455.441441,20,2019-12-17 11:35:22,15853.707159,44565,0.355743456950522
"19","A69-1601-26500",19,"2019_Grotenete","me-7-2b","VR2W-113524",51.1008,4.330483,2019-12-17 00:01:15,2019-12-17 00:04:50,3,2918,3445.459128,1.18076,66447.183083,66047.19341,TRUE,78455.441441,20,2019-12-17 11:35:22,12408.248031,41647,0.297938579753644
"20","A69-1601-26500",20,"2019_Grotenete","s-9a","VR2W-127738",51.19068,4.33602,2019-12-17 11:35:22,2019-12-17 11:35:22,1,41432,12408.248032,0.299485,78855.431115,78455.441441,TRUE,86022.171044,21,2019-12-17 13:08:46,7566.729603,5604,1.35023725963597
"21","A69-1601-26500",21,"2019_Grotenete","s-10a","VR2W-127716",51.235423,4.396673,2019-12-17 13:08:46,2019-12-17 14:21:27,6,5604,7566.729602,1.350237,86422.160717,86022.171044,FALSE,100916.973052,23,2019-12-18 00:00:16,14894.802008,39090,0.381038680173957
"22","A69-1601-26500",22,"2019_Grotenete","s-10a","VR2W-127716",51.235423,4.396673,2019-12-17 20:30:41,2019-12-17 20:45:03,2,NA,NA,NA,86422.160717,86022.171044,TRUE,100916.973052,23,2019-12-18 00:00:16,14894.802008,12575,1.18447729685885
"23","A69-1601-26500",23,"2019_Grotenete","s-12","VR2W-127732",51.30305,4.28731,2019-12-18 00:00:16,2019-12-18 00:11:51,6,11713,14894.802008,1.271647,101316.962725,100916.973052,TRUE,125685.422688,24,2019-12-18 21:46:32,24768.449636,78376,0.316020843574564
"24","A69-1601-26500",24,"2019_Grotenete","ws-53A","VR2W-127731",51.411167,4.029233,2019-12-18 21:46:32,2019-12-18 21:46:32,1,77681,24968.452548,0.321423,126285.415273,125685.422688,TRUE,151259.367526,25,2019-12-20 05:34:22,25573.944838,114470,0.223411765860051
"25","A69-1601-26500",25,"2019_Grotenete","ws-borssele","VR2AR-546900",51.431616667,3.704916667,2019-12-20 05:34:22,2019-12-20 05:36:44,2,114470,25988.188083,0.227031,152273.603356,151259.367526,TRUE,167775.395905,26,2019-12-20 22:12:10,16516.028379,59868,0.275874062587693
"26","A69-1601-26500",26,"2019_Grotenete","ws-WN2","VR2Tx-480061",51.428174,3.462181,2019-12-20 22:12:10,2019-12-20 22:12:10,1,59726,17106.003018,0.286408,169379.606374,167775.395905,NA,NA,NA,NA,NA,NA,NA
"27","A69-1601-26501",27,"2019_Grotenete","rel_grotenete1","none",51.144779,5.003906,2019-10-09 17:30:00,2019-10-09 17:30:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"28","A69-1601-26502",28,"2019_Grotenete","rel_grotenete1","none",51.144779,5.003906,2019-10-02 13:00:00,2019-10-02 13:00:00,1,NA,NA,NA,0,0,FALSE,7635.421578,3,2019-11-01 20:51:00,7635.421578,2620260,0.00291399387007396
"29","A69-1601-26502",29,"2019_Grotenete","gn-13","VR2W-124066",51.119771,4.990306,2019-10-02 20:27:01,2019-10-02 20:28:46,2,26821,3438.453465,0.1282,3438.453465,3438.453465,FALSE,8742.48363,4,2019-11-01 21:25:37,5304.030165,2595516,0.00204353591540179
"30","A69-1601-26502",30,"2019_Grotenete","gn-11","VR2W-127720",51.09592,4.957142,2019-11-01 20:51:00,2019-11-01 20:53:25,2,2593334,4338.377744,0.001673,7776.831209,7635.421578,TRUE,21357.312272,6,2019-11-03 19:09:48,13721.890694,166728,0.082301057374886
"31","A69-1601-26502",31,"2019_Grotenete","gn-10","VR2W-122324",51.091558,4.945793,2019-11-01 21:25:37,2019-11-01 23:26:52,55,1932,1107.062052,0.573013,8883.893261,8742.48363,TRUE,21357.312272,6,2019-11-03 19:09:48,12614.828642,164651,0.0766155604399609
"32","A69-1601-26502",32,"2019_Grotenete","gn-9","VR2W-127109",51.081153,4.913762,2019-11-02 17:30:59,2019-11-02 17:35:09,3,65047,2855.524863,0.043899,11739.418124,11598.008493,TRUE,21357.312272,6,2019-11-03 19:09:48,9759.303779,92329,0.105701391534621
"33","A69-1601-26502",33,"2019_Grotenete","gn-7","VR2W-122340",51.061848,4.787587,2019-11-03 19:09:48,2019-11-03 19:16:51,5,92079,9817.88091,0.106625,21557.299034,21357.312272,TRUE,31338.233487,8,2019-11-04 01:20:57,9980.921215,22269,0.448197997889443
