"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","has_migration_started"
"1","A69-1602-10832",1,"DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-25 15:45:00,2018-10-25 15:45:00,1,NA,NA,NA,0,0,TRUE,63575.46396,2,2018-10-27 20:04:00,63575.46396,188340,0.337556886269513,TRUE
"2","A69-1602-10832",2,"DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-27 20:04:00,2018-10-27 22:37:00,55,188340,63575.46396,0.337557,63575.46396,63575.46396,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"3","A69-1602-10832",3,"DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-30 19:27:00,2018-10-30 19:45:00,16,NA,NA,NA,63575.46396,63575.46396,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"4","A69-1602-10832",4,"DAK","Markiezaat-7","VR2W-102061",51.509707,4.176225,2018-10-31 04:57:00,2018-10-31 04:57:00,1,33120,57107.124906,1.724249,120682.588866,10414.593974,FALSE,24348.250532,6,2018-10-31 22:06:00,13933.656558,61740,0.22568280787172,TRUE
"5","A69-1602-10832",5,"DAK","Markiezaat-7","VR2W-102061",51.509707,4.176225,2018-10-31 18:44:00,2018-10-31 20:15:00,20,NA,NA,NA,120682.588866,10414.593974,TRUE,24348.250532,6,2018-10-31 22:06:00,13933.656558,12120,1.14964163019802,TRUE
"6","A69-1602-10832",6,"DAK","Markiezaat-6","VR2W-103673",51.513097,4.218352,2018-10-31 22:06:00,2018-10-31 23:56:00,38,6660,17879.911477,2.684671,138562.500343,24348.250532,NA,NA,NA,NA,NA,NA,NA,TRUE
"7","A69-1602-10833",7,"DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-26 15:45:00,2018-10-26 15:45:00,1,NA,NA,NA,0,0,TRUE,63575.46396,2,2018-10-27 03:52:00,63575.46396,43620,1.45748427235213,TRUE
"8","A69-1602-10833",8,"DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-27 03:52:00,2018-10-27 05:23:00,69,43620,63575.46396,1.457484,63575.46396,63575.46396,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"9","A69-1602-10833",9,"DAK","Markiezaat-3","VR2W-103672",51.45897,4.229676,2018-10-27 19:37:00,2018-10-27 20:11:00,10,51240,14593.036242,0.284798,78168.500202,49182.365665,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"10","A69-1602-10833",10,"DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-27 23:13:00,2018-10-28 03:37:00,101,10920,13570.529104,1.242722,91739.029306,39919.68581,FALSE,49348.268525,13,2018-11-01 20:09:08,9428.582715,420968,0.0223973858226754,TRUE
