"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","has_migration_started"
"1","A69-1105-234",1,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8836.352958,3,2007-10-05 03:32:38,8836.352958,185558,0.0476204365104172,TRUE
"2","A69-1105-234",2,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 20:20:40,2007-10-03 20:43:21,3,73240,2840.740721,0.038787,2840.740721,2840.740721,TRUE,8836.352958,3,2007-10-05 03:32:38,5995.612237,112318,0.0533806890881248,TRUE
"3","A69-1105-234",3,"EMMN","45","VR2W-100568",70.021667,23.343333,2007-10-05 03:32:38,2007-10-05 04:18:33,2,110957,6078.42659,0.054782,8919.167311,8836.352958,FALSE,36046.391003,5,2007-10-06 17:04:34,27210.038045,135116,0.201382797337103,TRUE
"4","A69-1105-234",4,"EMMN","45","VR2W-100568",70.021667,23.343333,2007-10-05 17:28:09,2007-10-05 18:02:32,34,NA,NA,NA,8919.167311,8836.352958,TRUE,36046.391003,5,2007-10-06 17:04:34,27210.038045,84985,0.320174596046361,TRUE
"5","A69-1105-234",5,"EMMN","21","VR2W-100543",70.215,23.173167,2007-10-06 17:04:34,2007-10-06 17:14:25,11,82922,27385.8931,0.330261,36305.060411,36046.391003,NA,NA,NA,NA,NA,NA,NA,TRUE
"6","A69-1105-236",6,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8511.573024,3,2007-10-04 00:07:24,8511.573024,86844,0.0980099146054995,TRUE
"7","A69-1105-236",7,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 21:03:30,2007-10-03 21:32:23,24,75810,2840.740721,0.037472,2840.740721,2840.740721,TRUE,8511.573024,3,2007-10-04 00:07:24,5670.832303,11034,0.513941662407105,TRUE
"8","A69-1105-236",8,"EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-04 00:07:24,2007-10-04 00:11:29,4,9301,5753.646656,0.618605,8594.387377,8511.573024,NA,NA,NA,NA,NA,NA,NA,TRUE
"9","A69-1105-237",9,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"10","A69-1105-237",10,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-13 19:12:18,2007-10-13 19:16:07,6,933138,2840.740721,0.003044,2840.740721,2840.740721,NA,NA,NA,NA,NA,NA,NA,FALSE
"11","A69-1105-238",11,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8511.573024,3,2007-10-07 02:47:54,8511.573024,355674,0.0239308271731979,TRUE
"12","A69-1105-238",12,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-07 00:46:55,2007-10-07 00:47:48,3,348415,2840.740721,0.008153,2840.740721,2840.740721,TRUE,8511.573024,3,2007-10-07 02:47:54,5670.832303,7259,0.781213983055517,TRUE
"13","A69-1105-238",13,"EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-07 02:47:54,2007-10-07 02:52:24,7,7206,5753.646656,0.798452,8594.387377,8511.573024,TRUE,23425.738317,4,2007-10-08 00:39:36,14914.165293,78702,0.189501731760311,TRUE
"14","A69-1105-238",14,"EMMN","27","VR2W-100548",70.0845,23.032167,2007-10-08 00:39:36,2007-10-08 01:18:47,38,78432,14914.165294,0.190154,23508.552671,23425.738317,TRUE,34125.977805,5,2007-10-09 05:46:40,10700.239488,104824,0.102078145157598,TRUE
"15","A69-1105-238",15,"EMMN","3","VR2-4880",70.195333,22.987167,2007-10-09 05:46:40,2007-10-09 06:22:47,11,102473,13572.538722,0.13245,37081.091393,34125.977805,NA,NA,NA,NA,NA,NA,NA,TRUE
"16","A69-1105-238",16,"EMMN","8","VR2-6052",70.201,23.038667,2007-10-09 14:18:53,2007-10-09 14:26:48,7,28566,2198.334795,0.076956,39279.426188,34623.376838,NA,NA,NA,NA,NA,NA,NA,TRUE
"17","A69-1105-239",17,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8106.290122,4,2007-10-11 01:14:44,8106.290122,695684,0.0116522589595276,TRUE
"18","A69-1105-239",18,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 02:11:14,2007-10-09 02:34:48,24,526274,2840.740721,0.005398,2840.740721,2840.740721,FALSE,8106.290122,4,2007-10-11 01:14:44,5265.549401,169410,0.0310816917596364,TRUE
"19","A69-1105-239",19,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 12:16:01,2007-10-09 12:16:01,1,NA,NA,NA,2840.740721,2840.740721,TRUE,8106.290122,4,2007-10-11 01:14:44,5265.549401,133123,0.039554016969269,TRUE
"20","A69-1105-239",20,"EMMN","39","VR2W-100561",70.003333,23.315,2007-10-11 01:14:44,2007-10-11 01:39:38,17,133123,5348.363755,0.040176,8189.104476,8106.290122,TRUE,35196.774513,5,2007-10-16 17:46:08,27090.484391,491484,0.0551197686821951,TRUE
"21","A69-1105-239",21,"EMMN","14","VR2-6561",70.206667,23.100167,2007-10-16 17:46:08,2007-10-16 18:01:32,19,489990,27090.484391,0.055288,35279.588867,35196.774513,NA,NA,NA,NA,NA,NA,NA,TRUE
"22","A69-1105-240",22,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,FALSE,8272.25706,3,2007-10-18 17:33:15,8272.25706,1359195,0.0060861444163641,FALSE
"23","A69-1105-240",23,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-17 21:07:06,2007-10-17 21:12:23,9,1285626,2840.740721,0.00221,2840.740721,2840.740721,TRUE,8272.25706,3,2007-10-18 17:33:15,5431.516339,73569,0.0738288727453139,TRUE
"24","A69-1105-240",24,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-18 17:33:15,2007-10-18 17:46:53,14,73252,5514.330693,0.075279,8355.071414,8272.25706,TRUE,23425.738317,4,2007-10-20 16:51:09,15153.481257,170274,0.0889946865463899,TRUE
"25","A69-1105-240",25,"EMMN","27","VR2W-100548",70.0845,23.032167,2007-10-20 16:51:09,2007-10-20 17:24:13,14,169456,15153.481257,0.089424,23508.552671,23425.738317,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"26","A69-1105-240",26,"EMMN","29","VR2W-100551",70.084833,23.0635,2007-10-20 18:13:07,2007-10-20 18:23:58,6,2934,1266.247749,0.431577,24774.80042,22491.424444,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"27","A69-1105-240",27,"EMMN","29","VR2W-100551",70.084833,23.0635,2007-10-20 19:53:02,2007-10-20 20:50:15,23,NA,NA,NA,24774.80042,22491.424444,NA,NA,NA,NA,NA,NA,NA,TRUE
"28","A69-1105-244",28,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"29","A69-1105-244",29,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 18:23:59,2007-10-09 19:12:55,20,584639,2840.740721,0.004859,2840.740721,2840.740721,NA,NA,NA,NA,NA,NA,NA,FALSE
"30","A69-1105-245",30,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,FALSE,8040.348712,3,2007-10-19 02:14:42,8040.348712,1390482,0.00578241840742994,FALSE
"31","A69-1105-245",31,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-17 22:35:22,2007-10-17 22:40:56,4,1290922,2840.740721,0.002201,2840.740721,2840.740721,TRUE,8040.348712,3,2007-10-19 02:14:42,5199.607991,99560,0.0522258737545199,TRUE
"32","A69-1105-245",32,"EMMN","38","VR2W-100560",70.000167,23.310167,2007-10-19 02:14:42,2007-10-19 02:33:23,6,99226,5282.422345,0.053236,8123.163066,8040.348712,NA,NA,NA,NA,NA,NA,NA,TRUE
"33","A69-1105-245",33,"EMMN","42","VR2W-100564",70.012667,23.3305,2007-10-19 15:29:04,2007-10-19 15:29:04,1,46541,1725.982909,0.037085,9849.145975,8404.13988,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"34","A69-1105-245",34,"EMMN","42","VR2W-100564",70.012667,23.3305,2007-10-19 20:51:06,2007-10-19 21:16:17,30,NA,NA,NA,9849.145975,8404.13988,NA,NA,NA,NA,NA,NA,NA,TRUE
"35","A69-1105-246",35,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8272.25706,3,2007-10-04 03:52:24,8272.25706,100344,0.0824389805070557,TRUE
"36","A69-1105-246",36,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 18:21:16,2007-10-03 18:43:47,28,66076,2840.740721,0.042992,2840.740721,2840.740721,TRUE,8272.25706,3,2007-10-04 03:52:24,5431.516339,34268,0.158501118798879,TRUE
"37","A69-1105-246",37,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 03:52:24,2007-10-04 04:02:49,12,32917,5514.330693,0.167522,8355.071414,8272.25706,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"38","A69-1105-246",38,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 10:21:53,2007-10-04 10:21:53,1,NA,NA,NA,8355.071414,8272.25706,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"39","A69-1105-246",39,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-05 05:15:30,2007-10-05 05:36:01,7,NA,NA,NA,8355.071414,8272.25706,NA,NA,NA,NA,NA,NA,NA,TRUE
"40","A69-1105-246",40,"EMMN","44","VR2W-100567",70.019167,23.339667,2007-10-05 06:50:59,2007-10-05 07:21:29,12,4498,1725.982909,0.383722,10081.054323,8636.048227,NA,NA,NA,NA,NA,NA,NA,TRUE
"41","A69-1105-249",41,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8040.348712,3,2007-10-03 20:18:52,8040.348712,73132,0.109942962205327,TRUE
"42","A69-1105-249",42,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 17:20:41,2007-10-03 17:52:52,14,62441,2840.740721,0.045495,2840.740721,2840.740721,TRUE,8040.348712,3,2007-10-03 20:18:52,5199.607991,10691,0.486353754653447,TRUE
"43","A69-1105-249",43,"EMMN","38","VR2W-100560",70.000167,23.310167,2007-10-03 20:18:52,2007-10-03 20:22:45,2,8760,5282.422345,0.603016,8123.163066,8040.348712,TRUE,20564.262904,6,2007-10-09 23:21:10,12523.914192,529338,0.0236595789306643,TRUE
"44","A69-1105-249",44,"EMMN","36","VR2W-100558",69.993667,23.300167,2007-10-09 02:59:40,2007-10-09 03:04:24,7,455815,842.287866,0.001848,8965.450932,8223.35771,TRUE,20564.262904,6,2007-10-09 23:21:10,12340.905194,73290,0.168384570800928,TRUE
"45","A69-1105-249",45,"EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-09 18:00:43,2007-10-09 18:05:45,5,53779,3110.228383,0.057834,12075.679315,8511.573024,TRUE,20564.262904,6,2007-10-09 23:21:10,12052.68988,19227,0.626862738856816,TRUE
"46","A69-1105-249",46,"EMMN","35","VR2W-100557",70.085333,23.126467,2007-10-09 23:21:10,2007-10-09 23:31:37,13,18925,12052.68988,0.636866,24128.369195,20564.262904,TRUE,34910.075675,7,2007-10-10 19:05:48,14345.812771,71078,0.201831970103267,TRUE
"47","A69-1105-249",47,"EMMN","11","VR2-6059",70.203667,23.070167,2007-10-10 19:05:48,2007-10-10 19:57:15,37,70451,14463.049475,0.205292,38591.41867,34910.075675,NA,NA,NA,NA,NA,NA,NA,TRUE
"48","A69-1105-250",48,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8272.25706,3,2007-10-04 23:45:40,8272.25706,171940,0.0481113008026056,TRUE
"49","A69-1105-250",49,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-04 19:23:40,2007-10-04 19:59:49,29,156220,2840.740721,0.018184,2840.740721,2840.740721,TRUE,8272.25706,3,2007-10-04 23:45:40,5431.516339,15720,0.345516306552163,TRUE
"50","A69-1105-250",50,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 23:45:40,2007-10-04 23:45:40,1,13551,5514.330693,0.406932,8355.071414,8272.25706,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"51","A69-1105-250",51,"EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-05 05:26:23,2007-10-05 06:23:35,47,NA,NA,NA,8355.071414,8272.25706,NA,NA,NA,NA,NA,NA,NA,TRUE
"52","A69-1105-250",52,"EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-05 06:24:11,2007-10-05 12:08:32,295,36,1425.652651,39.601463,9780.724065,8511.573024,FALSE,NA,NA,NA,NA,NA,NA,TRUE
"53","A69-1105-250",53,"EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-05 15:31:32,2007-10-05 15:34:20,2,NA,NA,NA,9780.724065,8511.573024,NA,NA,NA,NA,NA,NA,NA,TRUE
"54","A69-1105-252",54,"EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03,2007-10-03,1,NA,NA,NA,0,0,TRUE,8106.290122,3,2007-10-04 21:17:43,8106.290122,163063,0.0497126271563751,TRUE
"55","A69-1105-252",55,"EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 22:22:39,2007-10-03 23:23:12,33,80559,2840.740721,0.035263,2840.740721,2840.740721,TRUE,8106.290122,3,2007-10-04 21:17:43,5265.549401,82504,0.063821746836517,TRUE
