"","acoustic_tag_id","row_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m","downstream_migration","first_dist_to_use","first_dist_to_use_idx","time_first_dist_to_use","delta_totdist","delta_t","migration_speed","has_migration_started"
"1","A69-1601-37992",1,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-11-20 16:00:00,2015-11-20 16:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"2","A69-1601-38317",2,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0,FALSE,5333.853459,3,2015-11-01 23:28:31,5333.853459,3223711,0.00165456936400316,FALSE
"3","A69-1601-38317",3,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-01 22:39:20,2015-11-01 23:25:29,67,3220760,4110.035206,0.001276,4110.035206,4110.035206,NA,NA,NA,NA,NA,NA,NA,FALSE
"4","A69-1601-38317",4,"ESGL","C9","VR2W-112241",47.1302,-1.69086,2015-11-01 23:28:31,2015-11-03 17:49:35,2186,182,1223.818253,6.724276,5333.853459,5333.853459,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"5","A69-1601-38317",5,"ESGL","C3","VR2W-112128",47.126098,-1.679072,2015-11-03 18:47:09,2015-11-03 18:54:20,8,3454,1389.5847,0.402312,6723.438159,4544.080158,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"6","A69-1601-38317",6,"ESGL","C2","VR2W-112126",47.1246,-1.67109,2015-11-03 19:22:46,2015-11-03 19:34:19,17,1706,1930.801706,1.131771,8654.239865,4012.755382,NA,NA,NA,NA,NA,NA,NA,FALSE
"7","A69-1601-38318",7,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0,FALSE,5758.006181,10,2016-01-08 05:19:56,5758.006181,9033596,0.000637399124446123,FALSE
"8","A69-1601-38318",8,"ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-10-11 21:50:44,2015-10-11 23:02:34,54,1403444,4451.33583,0.003172,4451.33583,4451.33583,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"9","A69-1601-38318",9,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-10 21:13:03,2015-11-10 23:02:34,140,2585429,341.300623,0.000132,4792.636453,4110.035206,FALSE,26756.789781,12,2016-01-09 01:39:23,22646.754575,5113580,0.00442874748708341,FALSE
"10","A69-1601-38318",10,"ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-11-11 00:24:23,2015-11-11 02:12:13,39,4909,341.300623,0.069525,5133.937076,4451.33583,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"11","A69-1601-38318",11,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-11 03:25:26,2015-11-11 03:25:26,1,4393,341.300623,0.077692,5475.237699,4110.035206,FALSE,26756.789781,12,2016-01-09 01:39:23,22646.754575,5091237,0.00444818313800752,FALSE
"12","A69-1601-38318",12,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-07 07:08:18,2016-01-07 07:08:18,1,NA,NA,NA,5475.237699,4110.035206,FALSE,26756.789781,12,2016-01-09 01:39:23,22646.754575,153065,0.147955146996374,FALSE
"13","A69-1601-38318",13,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-07 17:46:33,2016-01-07 17:58:29,6,NA,NA,NA,5475.237699,4110.035206,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"14","A69-1601-38318",14,"ESGL","C1","VR2W-112123",47.1237,-1.67011,2016-01-08 01:42:22,2016-01-08 02:24:33,65,27833,1689.614901,0.060705,7164.8526,3912.797191,TRUE,26756.789781,12,2016-01-09 01:39:23,22843.99259,86221,0.264946968719917,TRUE
"15","A69-1601-38318",15,"ESGL","C3","VR2W-112128",47.126098,-1.679072,2016-01-08 03:24:27,2016-01-08 03:49:10,21,3594,1830.843515,0.509417,8995.696115,4544.080158,TRUE,26756.789781,12,2016-01-09 01:39:23,22212.709623,80096,0.277326078992709,TRUE
"16","A69-1601-38318",16,"ESGL","AM3","VR2W-112259",47.1323,-1.69441,2016-01-08 05:19:56,2016-01-08 06:32:33,33,5446,1648.157726,0.302636,10643.853841,5758.006181,TRUE,26756.789781,12,2016-01-09 01:39:23,20998.7836,73167,0.286998012765318,TRUE
"17","A69-1601-38318",17,"ESGL","AV2","VR2W-112263",47.133,-1.70816,2016-01-08 06:32:49,2016-01-08 17:19:38,651,16,1041.288091,65.080506,11685.141932,6682.167737,TRUE,26756.789781,12,2016-01-09 01:39:23,20074.622044,68794,0.291807745501061,TRUE
"18","A69-1601-38318",18,"ESGL","B1","VR2W-112269",47.21,-1.82689,2016-01-09 01:39:23,2016-01-09 02:26:48,46,29985,20074.622044,0.669489,31759.763976,26756.789781,TRUE,31839.53308,13,2016-01-09 04:20:58,5082.743299,9695,0.524264393914389,TRUE
"19","A69-1601-38318",19,"ESGL","CN","VR2W-112273",47.237895,-1.870765,2016-01-09 04:20:58,2016-01-09 05:15:41,31,6850,5082.743299,0.742006,36842.507275,31839.53308,TRUE,38929.152074,14,2016-01-09 18:31:42,7089.618994,51044,0.138892308478959,TRUE
"20","A69-1601-38318",20,"ESGL","CA","VR2W-112274",47.267842,-1.94744,2016-01-09 18:31:42,2016-01-09 20:10:01,12,47761,7089.618994,0.14844,43932.126269,38929.152074,TRUE,45763.156537,15,2016-01-09 20:55:39,6834.004463,8637,0.791247477480607,TRUE
"21","A69-1601-38318",21,"ESGL","C","VR2W-112240",47.293933,-2.016633,2016-01-09 20:55:39,2016-01-09 20:55:39,1,2738,7068.257533,2.58154,51000.383802,45763.156537,NA,NA,NA,NA,NA,NA,NA,TRUE
"22","A69-1601-38319",22,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0,FALSE,5840.858279,5,2016-01-28 02:11:11,5840.858279,10750271,0.000543321957092989,FALSE
"23","A69-1601-38319",23,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-09 03:23:50,2016-01-09 03:23:50,1,9113030,4110.035206,0.000451,4110.035206,4110.035206,FALSE,26756.789781,10,2016-01-29 00:58:41,22646.754575,1719291,0.0131721474578765,FALSE
"24","A69-1601-38319",24,"ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-27 20:57:54,2016-01-27 21:18:53,21,NA,NA,NA,4110.035206,4110.035206,TRUE,26756.789781,10,2016-01-29 00:58:41,22646.754575,100847,0.224565476166867,TRUE
"25","A69-1601-38319",25,"ESGL","C13","VR2W-112250",47.1237,-1.69873,2016-01-27 23:41:03,2016-01-27 23:46:16,3,8530,1589.501083,0.186342,5699.536289,4982.660606,TRUE,26756.789781,10,2016-01-29 00:58:41,21774.129175,91058,0.239123736245031,TRUE
"26","A69-1601-38319",26,"ESGL","AM2","VR2W-112257",47.1319,-1.69705,2016-01-28 02:11:11,2016-01-28 02:12:41,2,8695,1023.90187,0.117758,6723.438159,5840.858279,FALSE,26756.789781,10,2016-01-29 00:58:41,20915.931502,82050,0.25491689825716,TRUE
"27","A69-1601-38319",27,"ESGL","AM1","VR2W-112256",47.1324,-1.69796,2016-01-28 02:14:24,2016-01-28 02:14:24,1,103,0,0,6723.438159,5840.858279,FALSE,26756.789781,10,2016-01-29 00:58:41,20915.931502,81857,0.255517933738104,TRUE
"28","A69-1601-38319",28,"ESGL","AM2","VR2W-112257",47.1319,-1.69705,2016-01-28 02:15:26,2016-01-28 02:15:26,1,62,0,0,6723.438159,5840.858279,FALSE,26756.789781,10,2016-01-29 00:58:41,20915.931502,81795,0.25571161442631,TRUE
"29","A69-1601-38319",29,"ESGL","AM1","VR2W-112256",47.1324,-1.69796,2016-01-28 02:15:42,2016-01-28 03:08:24,21,16,0,0,6723.438159,5840.858279,TRUE,26756.789781,10,2016-01-29 00:58:41,20915.931502,81779,0.255761644211839,TRUE
"30","A69-1601-38319",30,"ESGL","AV3","VR2W-112266",47.1319,-1.7121,2016-01-28 03:08:39,2016-01-28 03:21:23,14,15,1182.672331,78.844822,7906.11049,7023.530611,TRUE,26756.789781,10,2016-01-29 00:58:41,19733.25917,78602,0.25105288885779,TRUE
"31","A69-1601-38319",31,"ESGL","B1","VR2W-112269",47.21,-1.82689,2016-01-29 00:58:41,2016-01-29 01:39:37,15,77838,19733.25917,0.253517,27639.36966,26756.789781,FALSE,31839.53308,11,2016-01-31 18:01:19,5082.743299,234158,0.0217064687048916,TRUE
"32","A69-1601-38319",32,"ESGL","CN","VR2W-112273",47.237895,-1.870765,2016-01-31 18:01:19,2016-01-31 18:12:18,9,231702,5082.743299,0.021937,32722.112959,31839.53308,TRUE,38929.152074,12,2016-02-01 00:53:02,7089.618994,24703,0.286994251467433,TRUE
"33","A69-1601-38319",33,"ESGL","CA","VR2W-112274",47.267842,-1.94744,2016-02-01 00:53:02,2016-02-01 01:12:00,5,24044,7089.618994,0.29486,39811.731953,38929.152074,NA,NA,NA,NA,NA,NA,NA,TRUE
"34","A69-1601-38319",34,"ESGL","A","VR2W-112237",47.288033,-1.9939,2016-02-01 06:59:09,2016-02-01 07:08:47,8,20829,5137.269075,0.24664,44949.001028,43832.168079,NA,NA,NA,NA,NA,NA,NA,TRUE
"35","A69-1601-38320",35,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"36","A69-1601-38321",36,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
"37","A69-1601-38322",37,"ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0,FALSE,5758.006181,7,2015-11-05 23:35:01,5758.006181,3569701,0.00161302198167297,FALSE
"38","A69-1601-38322",38,"ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-10-11 00:24:05,2015-10-11 02:29:03,14,1326245,4451.33583,0.003356,4451.33583,4451.33583,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"39","A69-1601-38322",39,"ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-10-11 04:16:16,2015-10-11 05:35:11,13,NA,NA,NA,4451.33583,4451.33583,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"40","A69-1601-38322",40,"ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-10-11 16:55:33,2015-10-11 18:16:21,57,NA,NA,NA,4451.33583,4451.33583,FALSE,NA,NA,NA,NA,NA,NA,FALSE
"41","A69-1601-38322",41,"ESGL","C1","VR2W-112123",47.1237,-1.67011,2015-11-05 21:33:19,2015-11-05 21:59:03,21,2171818,2030.915524,0.000935,6482.251354,3912.797191,NA,NA,NA,NA,NA,NA,NA,FALSE
