"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","2011_Loire","A69-1206-1","rel_loire2","none","47.3664","-1.173",2010-11-25 00:00:00,2010-11-25 00:00:00,1
"2","2011_Loire","A69-1206-10","rel_loire1","none","47.3403","-1.255",2010-11-29 00:00:00,2010-11-29 00:00:00,1
"3","2011_Loire","A69-1206-11","rel_loire1","none","47.3403","-1.255",2010-11-29 00:00:00,2010-11-29 00:00:00,1
"4","2011_Loire","A69-1206-12","rel_loire1","none","47.3403","-1.255",2010-11-29 00:00:00,2010-11-29 00:00:00,1
"5","2011_Loire","A69-1206-121","rel_loire3","none","47.364211","-1.012256",2011-11-24 00:00:00,2011-11-24 00:00:00,1
"6","2011_Loire","A69-1206-121","99V","VR2W-112127","47.34226667","-1.25106667",2011-11-27 23:15:19,2011-11-27 23:18:19,2
"7","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-28 06:30:20,2011-11-28 06:30:20,1
"8","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-28 08:44:08,2011-11-28 09:27:16,38
"9","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-28 20:52:12,2011-11-28 21:41:30,22
"10","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-29 06:44:04,2011-11-29 07:28:51,22
"11","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-29 09:14:10,2011-11-29 09:54:39,32
"12","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-29 19:36:09,2011-11-29 19:49:19,12
"13","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-29 21:20:39,2011-11-29 21:27:39,3
"14","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-30 07:52:00,2011-11-30 08:28:08,12
"15","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-30 09:45:54,2011-11-30 10:30:59,61
"16","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-11-30 20:35:11,2011-12-01 00:12:56,448
"17","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-01 01:20:00,2011-12-01 01:20:00,1
"18","2011_Loire","A69-1206-121","40R","VR2W-112247","47.27866667","-1.89916667",2011-12-01 08:36:03,2011-12-01 08:36:03,1
"19","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-01 23:18:14,2011-12-01 23:18:14,1
"20","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-02 09:21:39,2011-12-02 11:59:54,42
"21","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-02 22:40:39,2011-12-03 00:05:30,16
"22","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-03 01:32:03,2011-12-03 02:18:45,18
"23","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-03 22:32:47,2011-12-04 01:37:02,35
"24","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-04 14:07:40,2011-12-04 14:56:58,3
"25","2011_Loire","A69-1206-121","74R","VR2W-112126","47.32935","-1.32191667",2011-12-05 00:02:55,2011-12-05 04:03:16,66
