"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","2013_Stour","1","rel_stour1","none","51.96949","0.97145",2014-01-13 15:45:00,2014-01-13 15:45:00,1
"2","2013_Stour","1","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:46:00,2014-01-13 15:52:00,2
"3","2013_Stour","1","stour_2","VR2W-stourdummy2","51.961682","0.993104",2014-01-13 18:29:00,2014-01-13 18:29:00,1
"4","2013_Stour","1","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-13 18:34:00,2014-01-13 19:31:00,38
"5","2013_Stour","1","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-16 17:20:00,2014-01-16 17:27:00,7
"6","2013_Stour","1","stour_13","VR2W-stourdummy13","51.953715","1.0508453",2014-01-17 03:06:00,2014-01-17 03:06:00,1
"7","2013_Stour","10","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:23:00,2014-01-13 15:23:00,1
"8","2013_Stour","10","rel_stour1","none","51.96949","0.97145",2014-01-13 15:45:00,2014-01-13 15:45:00,1
"9","2013_Stour","10","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:48:00,2014-01-13 17:41:00,69
"10","2013_Stour","10","stour_2","VR2W-stourdummy2","51.961682","0.993104",2014-01-17 18:32:00,2014-01-17 18:33:00,2
"11","2013_Stour","10","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-17 18:36:00,2014-01-17 19:12:00,26
"12","2013_Stour","10","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-17 20:01:00,2014-01-17 20:08:00,7
"13","2013_Stour","10","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2014-01-20 17:46:00,2014-01-20 18:30:00,45
"14","2013_Stour","10","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2014-01-20 19:20:00,2014-01-20 19:24:00,5
"15","2013_Stour","10","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-21 16:43:00,2014-01-21 17:23:00,14
"16","2013_Stour","10","stour_21","VR2W-stourdummy21","51.953781","1.1725204",2014-01-21 18:58:00,2014-01-21 19:47:00,36
"17","2013_Stour","10","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2014-01-22 04:21:00,2014-01-22 04:22:00,2
"18","2013_Stour","10","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2014-01-22 04:32:00,2014-01-22 04:38:00,7
"19","2013_Stour","100","stour_1","VR2W-stourdummy1","51.96949","0.97145",2013-11-26 17:26:00,2013-11-26 17:26:00,1
"20","2013_Stour","100","rel_stour1","none","51.96949","0.97145",2013-11-26 17:40:00,2013-11-26 17:40:00,1
"21","2013_Stour","100","stour_1","VR2W-stourdummy1","51.96949","0.97145",2013-11-26 17:58:00,2013-11-26 23:36:00,45
"22","2013_Stour","100","stour_3","VR2W-stourdummy3","51.961941","0.993163",2013-12-24 18:38:00,2013-12-24 19:11:00,21
"23","2013_Stour","100","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2013-12-24 20:04:00,2013-12-24 20:09:00,5
"24","2013_Stour","100","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2013-12-24 23:14:00,2013-12-24 23:30:00,17
"25","2013_Stour","100","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2013-12-25 00:18:00,2013-12-25 00:38:00,21
"26","2013_Stour","100","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2013-12-25 05:49:00,2013-12-25 06:08:00,20
"27","2013_Stour","100","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2013-12-25 16:01:00,2013-12-25 16:45:00,31
"28","2013_Stour","100","stour_21","VR2W-stourdummy21","51.953781","1.1725204",2013-12-25 18:41:00,2013-12-25 18:54:00,12
"29","2013_Stour","100","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2013-12-25 20:40:00,2013-12-25 20:53:00,8
"30","2013_Stour","100","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2013-12-25 20:54:00,2013-12-25 21:08:00,13
"31","2013_Stour","101","rel_stour1","none","51.96949","0.97145",2013-11-26 17:40:00,2013-11-26 17:40:00,1
"32","2013_Stour","101","stour_1","VR2W-stourdummy1","51.96949","0.97145",2013-11-26 17:41:00,2013-11-26 17:41:00,1
"33","2013_Stour","101","stour_2","VR2W-stourdummy2","51.961682","0.993104",2013-12-18 18:47:00,2013-12-18 18:47:00,1
"34","2013_Stour","101","stour_3","VR2W-stourdummy3","51.961941","0.993163",2013-12-18 18:49:00,2013-12-18 19:19:00,14
"35","2013_Stour","101","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2013-12-18 20:26:00,2013-12-18 20:29:00,3
"36","2013_Stour","101","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2013-12-18 23:25:00,2013-12-18 23:35:00,11
"37","2013_Stour","101","stour_16","VR2W-stourdummy16","51.955617","1.05831",2013-12-18 23:36:00,2013-12-18 23:38:00,3
"38","2013_Stour","101","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2013-12-19 01:10:00,2013-12-19 01:10:00,1
"39","2013_Stour","101","stour_20","VR2W-stourdummy20","51.950508","1.1701495",2013-12-19 17:58:00,2013-12-19 17:58:00,1
"40","2013_Stour","101","stour_24","VR2W-stourdummy24","51.948847","1.2650766",2013-12-20 05:33:00,2013-12-20 05:44:00,7
"41","2013_Stour","101","stour_24","VR2W-stourdummy24","51.948847","1.2650766",2013-12-20 13:17:00,2013-12-20 13:46:00,9
"42","2013_Stour","101","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2013-12-21 14:54:00,2013-12-21 14:55:00,2
"43","2013_Stour","11","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:31:00,2014-01-13 15:31:00,1
"44","2013_Stour","11","rel_stour1","none","51.96949","0.97145",2014-01-13 15:45:00,2014-01-13 15:45:00,1
"45","2013_Stour","11","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:53:00,2014-01-13 17:19:00,51
"46","2013_Stour","11","stour_2","VR2W-stourdummy2","51.961682","0.993104",2014-01-13 19:16:00,2014-01-13 19:19:00,4
"47","2013_Stour","11","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-13 19:24:00,2014-01-13 20:23:00,47
"48","2013_Stour","11","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-13 22:17:00,2014-01-14 07:26:00,146
"49","2013_Stour","11","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-16 16:06:00,2014-01-16 17:16:00,66
"50","2013_Stour","11","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-16 18:08:00,2014-01-16 18:11:00,3
"51","2013_Stour","11","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2014-01-17 19:39:00,2014-01-17 19:49:00,11
"52","2013_Stour","11","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2014-01-17 20:33:00,2014-01-17 22:19:00,92
"53","2013_Stour","11","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-19 01:03:00,2014-01-19 01:48:00,31
"54","2013_Stour","11","stour_20","VR2W-stourdummy20","51.950508","1.1701495",2014-01-19 03:19:00,2014-01-19 03:24:00,4
"55","2013_Stour","11","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2014-01-19 04:58:00,2014-01-19 04:58:00,1
"56","2013_Stour","11","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2014-01-19 05:02:00,2014-01-19 05:33:00,25
"57","2013_Stour","12","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:35:00,2014-01-13 15:35:00,1
"58","2013_Stour","12","rel_stour1","none","51.96949","0.97145",2014-01-13 15:45:00,2014-01-13 15:45:00,1
"59","2013_Stour","12","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:47:00,2014-01-13 18:10:00,55
"60","2013_Stour","12","stour_2","VR2W-stourdummy2","51.961682","0.993104",2014-01-16 23:12:00,2014-01-16 23:30:00,9
"61","2013_Stour","12","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-17 01:04:00,2014-01-17 03:01:00,45
"62","2013_Stour","12","stour_10","VR2W-stourdummy10","51.954727","1.026006",2014-01-17 04:09:00,2014-01-17 04:09:00,1
"63","2013_Stour","12","stour_13","VR2W-stourdummy13","51.953715","1.0508453",2014-01-17 18:56:00,2014-01-17 19:17:00,19
"64","2013_Stour","12","stour_15","VR2W-stourdummy15","51.952997","1.053912",2014-01-19 17:15:00,2014-01-19 17:24:00,10
"65","2013_Stour","12","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2014-01-19 18:49:00,2014-01-19 18:53:00,5
"66","2013_Stour","12","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-19 20:21:00,2014-01-19 20:28:00,3
"67","2013_Stour","12","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-20 15:13:00,2014-01-20 15:13:00,1
"68","2013_Stour","12","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-21 16:20:00,2014-01-21 17:00:00,27
"69","2013_Stour","12","stour_20","VR2W-stourdummy20","51.950508","1.1701495",2014-01-21 18:49:00,2014-01-21 19:19:00,19
"70","2013_Stour","12","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2014-02-01 14:42:00,2014-02-01 14:44:00,3
"71","2013_Stour","12","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2014-02-01 14:53:00,2014-02-01 15:02:00,5
"72","2013_Stour","13","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 12:33:00,2014-01-13 15:38:00,42
"73","2013_Stour","13","rel_stour1","none","51.96949","0.97145",2014-01-13 15:45:00,2014-01-13 15:45:00,1
"74","2013_Stour","13","stour_1","VR2W-stourdummy1","51.96949","0.97145",2014-01-13 15:46:00,2014-01-13 16:48:00,11
"75","2013_Stour","13","stour_2","VR2W-stourdummy2","51.961682","0.993104",2014-01-13 18:40:00,2014-01-13 18:41:00,2
"76","2013_Stour","13","stour_3","VR2W-stourdummy3","51.961941","0.993163",2014-01-13 18:43:00,2014-01-13 19:33:00,45
"77","2013_Stour","13","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-13 20:16:00,2014-01-13 20:23:00,7
"78","2013_Stour","13","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2014-01-17 18:38:00,2014-01-17 18:50:00,13
"79","2013_Stour","13","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2014-01-17 19:20:00,2014-01-17 19:22:00,3
"80","2013_Stour","13","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2014-01-17 21:55:00,2014-01-17 22:48:00,46
"81","2013_Stour","13","stour_20","VR2W-stourdummy20","51.950508","1.1701495",2014-01-18 01:55:00,2014-01-18 02:05:00,10
"82","2013_Stour","13","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2014-01-18 03:32:00,2014-01-18 03:37:00,6
"83","2013_Stour","13","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2014-01-18 03:39:00,2014-01-18 03:58:00,15
"84","2013_Stour","14","stour_1","VR2W-stourdummy1","51.96949","0.97145",2013-12-29 15:26:00,2013-12-29 15:58:00,4
"85","2013_Stour","14","rel_stour1","none","51.96949","0.97145",2013-12-29 16:35:00,2013-12-29 16:35:00,1
"86","2013_Stour","14","stour_3","VR2W-stourdummy3","51.961941","0.993163",2013-12-29 18:29:00,2013-12-29 19:17:00,36
"87","2013_Stour","14","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2013-12-29 20:31:00,2013-12-29 21:44:00,15
"88","2013_Stour","14","stour_13","VR2W-stourdummy13","51.953715","1.0508453",2013-12-29 23:24:00,2013-12-29 23:48:00,22
"89","2013_Stour","14","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2013-12-30 00:22:00,2013-12-30 00:31:00,9
"90","2013_Stour","14","stour_18","VR2W-stourdummy18","51.949731","1.1028213",2013-12-30 01:44:00,2013-12-30 02:18:00,23
"91","2013_Stour","14","stour_23","VR2W-stourdummy23","51.951523","1.2558098",2013-12-30 22:22:00,2013-12-30 22:22:00,1
"92","2013_Stour","14","stour_25","VR2W-stourdummy25","51.950917","1.2705109",2013-12-30 22:26:00,2013-12-30 22:38:00,11
"93","2013_Stour","15","rel_stour1","none","51.96949","0.97145",2013-12-29 16:35:00,2013-12-29 16:35:00,1
"94","2013_Stour","15","stour_1","VR2W-stourdummy1","51.96949","0.97145",2013-12-29 16:43:00,2013-12-29 17:22:00,36
"95","2013_Stour","15","stour_4","VR2W-stourdummy4","51.96285","0.994314",2014-01-03 17:49:00,2014-01-03 17:50:00,2
"96","2013_Stour","15","stour_5","VR2W-stourdummy5","51.959644","1.0196169",2014-01-03 18:41:00,2014-01-03 18:45:00,4
"97","2013_Stour","15","stour_14","VR2W-stourdummy14","51.956033","1.0575771",2014-01-03 20:55:00,2014-01-03 21:09:00,15
"98","2013_Stour","15","stour_17","VR2W-stourdummy17","51.948438","1.0691403",2014-01-04 08:30:00,2014-01-04 08:33:00,4
"99","2013_Stour","15","stour_21","VR2W-stourdummy21","51.953781","1.1725204",2014-01-05 23:21:00,2014-01-05 23:54:00,12
