"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","2014_Frome","A69-1601-20817","rel_frome","none","50.688068","-2.257873",2014-10-21 21:30:00,2014-10-21 21:30:00,1
"2","2014_Frome","A69-1601-20817","F1","VR2W-103011","50.681696","-2.21012",2014-11-11 18:07:52,2014-11-11 18:10:13,2
"3","2014_Frome","A69-1601-20817","F6","VR2W-105212","50.680533","-2.190656",2014-11-11 19:05:43,2014-11-11 19:05:43,1
"4","2014_Frome","A69-1601-20817","F7","VR2W-123747","50.683685","-2.108733",2014-11-12 00:09:27,2014-11-12 00:24:15,14
"5","2014_Frome","A69-1601-20817","F8","VR2W-123749","50.690398","-2.084783",2014-11-12 00:25:04,2014-11-12 00:25:04,1
"6","2014_Frome","A69-1601-20817","F7","VR2W-123747","50.683685","-2.108733",2014-11-12 00:25:25,2014-11-12 00:25:58,2
"7","2014_Frome","A69-1601-20817","F8","VR2W-123749","50.690398","-2.084783",2014-11-12 00:26:14,2014-11-12 00:31:07,8
"8","2014_Frome","A69-1601-20818","rel_frome","none","50.688068","-2.257873",2014-10-29 20:10:00,2014-10-29 20:10:00,1
"9","2014_Frome","A69-1601-20818","F1","VR2W-103011","50.681696","-2.21012",2014-11-11 18:32:45,2014-11-11 18:39:08,3
"10","2014_Frome","A69-1601-20818","F6","VR2W-105212","50.680533","-2.190656",2014-11-11 19:24:32,2014-11-11 19:24:32,1
"11","2014_Frome","A69-1601-20818","F7","VR2W-123747","50.683685","-2.108733",2014-11-12 17:24:31,2014-11-12 17:36:02,13
"12","2014_Frome","A69-1601-20818","F8","VR2W-123749","50.690398","-2.084783",2014-11-12 17:36:16,2014-11-12 17:36:16,1
"13","2014_Frome","A69-1601-20818","F7","VR2W-123747","50.683685","-2.108733",2014-11-12 17:36:47,2014-11-12 17:36:47,1
"14","2014_Frome","A69-1601-20818","F8","VR2W-123749","50.690398","-2.084783",2014-11-12 17:36:51,2014-11-12 17:40:34,6
