"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","2019_Grotenete","A69-1601-26500","rel_grotenete1","none","51.144779","5.003906",2019-10-09 17:30:00,2019-10-09 17:30:00,1
"2","2019_Grotenete","A69-1601-26500","gn-14","VR2W-122358","51.138267","4.996319",2019-12-14 18:43:45,2019-12-14 18:43:45,1
"3","2019_Grotenete","A69-1601-26500","gn-13","VR2W-124066","51.119771","4.990306",2019-12-14 20:03:57,2019-12-14 20:06:33,2
"4","2019_Grotenete","A69-1601-26500","gn-11","VR2W-127720","51.09592","4.957142",2019-12-14 22:38:28,2019-12-14 22:38:28,1
"5","2019_Grotenete","A69-1601-26500","gn-10","VR2W-122324","51.091558","4.945793",2019-12-14 23:07:27,2019-12-14 23:09:40,2
"6","2019_Grotenete","A69-1601-26500","gn-9","VR2W-127109","51.081153","4.913762",2019-12-15 00:17:07,2019-12-15 00:19:42,2
"7","2019_Grotenete","A69-1601-26500","gn-7","VR2W-122340","51.061848","4.787587",2019-12-15 04:09:01,2019-12-15 04:11:04,2
"8","2019_Grotenete","A69-1601-26500","gn-6","VR2W-122333","51.078636","4.757592",2019-12-15 05:29:40,2019-12-15 05:31:44,2
"9","2019_Grotenete","A69-1601-26500","gn-5","VR2W-122332","51.125942","4.718199",2019-12-15 18:38:13,2019-12-15 18:45:45,5
"10","2019_Grotenete","A69-1601-26500","gn-4","VR2W-122353","51.135075","4.664932",2019-12-15 21:28:33,2019-12-15 21:33:12,3
"11","2019_Grotenete","A69-1601-26500","gn-3","VR2W-122365","51.130352","4.617316",2019-12-15 23:05:41,2019-12-15 23:07:47,2
"12","2019_Grotenete","A69-1601-26500","gn-2","VR2W-127721","51.135829","4.5937",2019-12-15 23:59:39,2019-12-16 00:17:41,6
"13","2019_Grotenete","A69-1601-26500","bn-3","VR2W-124063","51.126391","4.571903",2019-12-16 00:39:48,2019-12-16 00:42:41,3
"14","2019_Grotenete","A69-1601-26500","bn-2","VR2W-124078","51.117416","4.549158",2019-12-16 01:14:56,2019-12-16 01:17:33,2
"15","2019_Grotenete","A69-1601-26500","bn-1","VR2W-122351","51.093001","4.506837",2019-12-16 02:34:10,2019-12-16 03:09:47,14
"16","2019_Grotenete","A69-1601-26500","bn-1","VR2W-122351","51.093001","4.506837",2019-12-16 19:54:37,2019-12-16 20:13:44,10
"17","2019_Grotenete","A69-1601-26500","bn-Walem","VR2W-122339","51.07183","4.45474",2019-12-16 21:17:17,2019-12-16 21:22:25,4
"18","2019_Grotenete","A69-1601-26500","ru-1","VR2W-122328","51.082273","4.366215",2019-12-16 23:12:37,2019-12-16 23:12:37,1
"19","2019_Grotenete","A69-1601-26500","me-7-2b","VR2W-113524","51.1008","4.330483",2019-12-17 00:01:15,2019-12-17 00:04:50,3
"20","2019_Grotenete","A69-1601-26500","s-9a","VR2W-127738","51.19068","4.33602",2019-12-17 11:35:22,2019-12-17 11:35:22,1
"21","2019_Grotenete","A69-1601-26500","s-10a","VR2W-127716","51.235423","4.396673",2019-12-17 13:08:46,2019-12-17 14:21:27,6
"22","2019_Grotenete","A69-1601-26500","s-10a","VR2W-127716","51.235423","4.396673",2019-12-17 20:30:41,2019-12-17 20:45:03,2
"23","2019_Grotenete","A69-1601-26500","s-12","VR2W-127732","51.30305","4.28731",2019-12-18 00:00:16,2019-12-18 00:11:51,6
"24","2019_Grotenete","A69-1601-26500","ws-53A","VR2W-127731","51.411167","4.029233",2019-12-18 21:46:32,2019-12-18 21:46:32,1
"25","2019_Grotenete","A69-1601-26500","ws-borssele","VR2AR-546900","51.431616667","3.704916667",2019-12-20 05:34:22,2019-12-20 05:36:44,2
"26","2019_Grotenete","A69-1601-26500","ws-WN2","VR2Tx-480061","51.428174","3.462181",2019-12-20 22:12:10,2019-12-20 22:12:10,1
"27","2019_Grotenete","A69-1601-26501","rel_grotenete1","none","51.144779","5.003906",2019-10-09 17:30:00,2019-10-09 17:30:00,1
"28","2019_Grotenete","A69-1601-26502","rel_grotenete1","none","51.144779","5.003906",2019-10-02 13:00:00,2019-10-02 13:00:00,1
"29","2019_Grotenete","A69-1601-26502","gn-13","VR2W-124066","51.119771","4.990306",2019-10-02 20:27:01,2019-10-02 20:28:46,2
"30","2019_Grotenete","A69-1601-26502","gn-11","VR2W-127720","51.09592","4.957142",2019-11-01 20:51:00,2019-11-01 20:53:25,2
"31","2019_Grotenete","A69-1601-26502","gn-10","VR2W-122324","51.091558","4.945793",2019-11-01 21:25:37,2019-11-01 23:26:52,55
"32","2019_Grotenete","A69-1601-26502","gn-9","VR2W-127109","51.081153","4.913762",2019-11-02 17:30:59,2019-11-02 17:35:09,3
"33","2019_Grotenete","A69-1601-26502","gn-7","VR2W-122340","51.061848","4.787587",2019-11-03 19:09:48,2019-11-03 19:16:51,5
"34","2019_Grotenete","A69-1601-26502","gn-6","VR2W-122333","51.078636","4.757592",2019-11-03 20:43:18,2019-11-03 20:43:18,1
"35","2019_Grotenete","A69-1601-26502","gn-5","VR2W-122332","51.125942","4.718199",2019-11-04 01:20:57,2019-11-04 01:23:28,2
"36","2019_Grotenete","A69-1601-26502","gn-4","VR2W-122353","51.135075","4.664932",2019-11-04 17:06:56,2019-11-04 17:10:26,3
"37","2019_Grotenete","A69-1601-26502","gn-3","VR2W-122365","51.130352","4.617316",2019-11-04 19:10:26,2019-11-04 19:40:33,15
"38","2019_Grotenete","A69-1601-26502","gn-2","VR2W-127721","51.135829","4.5937",2019-11-04 22:05:25,2019-11-04 22:50:13,13
"39","2019_Grotenete","A69-1601-26502","bn-3","VR2W-124063","51.126391","4.571903",2019-11-04 23:18:19,2019-11-04 23:23:18,3
"40","2019_Grotenete","A69-1601-26502","bn-2","VR2W-124078","51.117416","4.549158",2019-11-05 00:01:23,2019-11-05 00:06:46,4
"41","2019_Grotenete","A69-1601-26502","bn-1","VR2W-122351","51.093001","4.506837",2019-11-05 01:20:24,2019-11-05 01:32:41,8
"42","2019_Grotenete","A69-1601-26502","bn-Walem","VR2W-122339","51.07183","4.45474",2019-11-05 02:59:16,2019-11-05 03:07:24,4
"43","2019_Grotenete","A69-1601-26502","ru-1","VR2W-122328","51.082273","4.366215",2019-11-05 12:29:49,2019-11-05 13:01:40,10
"44","2019_Grotenete","A69-1601-26502","me-7-2b","VR2W-113524","51.1008","4.330483",2019-11-05 14:02:46,2019-11-05 14:11:57,4
"45","2019_Grotenete","A69-1601-26502","s-8","VR2W-112295","51.14319","4.33078",2019-11-05 23:30:27,2019-11-05 23:32:08,2
"46","2019_Grotenete","A69-1601-26502","s-9a","VR2W-127738","51.19068","4.33602",2019-11-06 00:24:07,2019-11-06 00:30:20,5
"47","2019_Grotenete","A69-1601-26502","s-10a","VR2W-127716","51.235423","4.396673",2019-11-06 01:49:13,2019-11-06 01:53:59,4
"48","2019_Grotenete","A69-1601-26502","s-12","VR2W-127732","51.30305","4.28731",2019-11-06 14:12:35,2019-11-06 14:14:10,2
"49","2019_Grotenete","A69-1601-26502","s-STD3","VR2W-134898","51.330504","4.270161",2019-11-06 15:45:58,2019-11-06 15:51:46,2
"50","2019_Grotenete","A69-1601-26502","ws-42A","VR2W-127735","51.42251303","4.032860596",2019-11-07 04:40:13,2019-11-07 04:43:51,2
"51","2019_Grotenete","A69-1601-26502","ws-HW6","VR2W-127725","51.43484","4.02702",2019-11-07 09:31:41,2019-11-07 10:42:31,10
"52","2019_Grotenete","A69-1601-26502","ws-18","VR2W-115447","51.3482621","3.8147323",2019-11-07 17:00:12,2019-11-07 17:00:12,1
"53","2019_Grotenete","A69-1601-26502","ws-16","VR2W-122346","51.3544901","3.795027",2019-11-07 17:48:30,2019-11-07 17:53:55,4
"54","2019_Grotenete","A69-1601-26502","ws-16","VR2W-122346","51.3544901","3.795027",2019-11-07 23:17:34,2019-11-07 23:17:34,1
"55","2019_Grotenete","A69-1601-26502","ws-12A","VR2W-124071","51.3648799","3.765539",2019-11-08 00:03:12,2019-11-08 00:05:07,2
"56","2019_Grotenete","A69-1601-26502","ws-15","VR2W-120878","51.386465","3.7080085",2019-11-08 01:20:59,2019-11-08 01:22:23,2
"57","2019_Grotenete","A69-1601-26503","rel_grotenete1","none","51.144779","5.003906",2019-10-02 13:00:00,2019-10-02 13:00:00,1
"58","2019_Grotenete","A69-1601-26503","gn-14","VR2W-122358","51.138267","4.996319",2019-11-27 18:43:17,2019-11-27 18:44:41,2
"59","2019_Grotenete","A69-1601-26503","gn-13","VR2W-124066","51.119771","4.990306",2019-11-27 19:45:06,2019-11-27 19:46:54,2
"60","2019_Grotenete","A69-1601-26503","gn-11","VR2W-127720","51.09592","4.957142",2019-11-27 21:49:40,2019-11-27 21:51:08,2
"61","2019_Grotenete","A69-1601-26503","gn-10","VR2W-122324","51.091558","4.945793",2019-11-27 22:13:56,2019-11-27 22:16:19,2
"62","2019_Grotenete","A69-1601-26503","gn-9","VR2W-127109","51.081153","4.913762",2019-11-27 23:27:05,2019-11-27 23:29:05,2
"63","2019_Grotenete","A69-1601-26503","gn-7","VR2W-122340","51.061848","4.787587",2019-12-01 18:00:30,2019-12-01 18:57:22,28
"64","2019_Grotenete","A69-1601-26503","gn-7","VR2W-122340","51.061848","4.787587",2019-12-01 23:19:02,2019-12-02 00:21:34,12
"65","2019_Grotenete","A69-1601-26503","gn-7","VR2W-122340","51.061848","4.787587",2019-12-02 02:03:42,2019-12-02 03:17:17,7
"66","2019_Grotenete","A69-1601-26503","gn-7","VR2W-122340","51.061848","4.787587",2019-12-02 04:25:07,2019-12-08 05:50:12,3995
