"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","DAK","A69-1602-10832","rel_markiezaat","none","51.485749","4.231882",2018-10-25 15:45:00,2018-10-25 15:45:00,1
"2","DAK","A69-1602-10832","Markiezaat-5","VR2W-102053","51.483798","4.228604",2018-10-27 20:04:00,2018-10-27 22:37:00,55
"3","DAK","A69-1602-10832","Markiezaat-5","VR2W-102053","51.483798","4.228604",2018-10-30 19:27:00,2018-10-30 19:45:00,16
"4","DAK","A69-1602-10832","Markiezaat-7","VR2W-102061","51.509707","4.176225",2018-10-31 04:57:00,2018-10-31 04:57:00,1
"5","DAK","A69-1602-10832","Markiezaat-7","VR2W-102061","51.509707","4.176225",2018-10-31 18:44:00,2018-10-31 20:15:00,20
"6","DAK","A69-1602-10832","Markiezaat-6","VR2W-103673","51.513097","4.218352",2018-10-31 22:06:00,2018-10-31 23:56:00,38
"7","DAK","A69-1602-10833","rel_markiezaat","none","51.485749","4.231882",2018-10-26 15:45:00,2018-10-26 15:45:00,1
"8","DAK","A69-1602-10833","Markiezaat-5","VR2W-102053","51.483798","4.228604",2018-10-27 03:52:00,2018-10-27 05:23:00,69
"9","DAK","A69-1602-10833","Markiezaat-3","VR2W-103672","51.45897","4.229676",2018-10-27 19:37:00,2018-10-27 20:11:00,10
"10","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-27 23:13:00,2018-10-28 03:37:00,101
"11","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-28 16:16:00,2018-10-28 17:49:00,10
"12","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-28 23:23:00,2018-10-28 23:37:00,3
"13","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-29 02:10:00,2018-10-29 02:10:00,1
"14","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-29 03:48:00,2018-10-29 05:03:00,8
"15","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-29 13:05:00,2018-10-29 14:47:00,7
"16","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-29 16:50:00,2018-10-29 18:52:00,53
"17","DAK","A69-1602-10833","Markiezaat-1","VR2W-103671","51.40197","4.235801",2018-10-29 19:55:00,2018-10-29 23:04:00,77
"18","DAK","A69-1602-10833","s-12","VR2W-127732","51.30305","4.28731",2018-10-31 18:49:26,2018-10-31 18:57:11,12
"19","DAK","A69-1602-10833","ak-41","VR2W-126195","51.239128","4.397469",2018-11-01 20:09:08,2018-11-01 20:09:08,1
"20","DAK","A69-1602-10833","s-10a","VR2W-127716","51.235423","4.396673",2018-11-04 14:34:54,2018-11-04 14:47:33,9
"21","DAK","A69-1602-10833","s-11","VR2W-127728","51.29646","4.2857",2018-11-04 17:25:42,2018-11-04 17:28:15,3
"22","DAK","A69-1602-10833","ws-55","VR2W-127734","51.40221","4.02998",2018-11-11 17:08:46,2018-11-11 17:19:47,15
"23","DAK","A69-1602-10833","ws-18","VR2W-115447","51.3482621","3.8147323",2018-11-11 22:39:36,2018-11-11 23:01:33,23
"24","DAK","A69-1602-10833","ws-2C","VR2W-122329","51.4169613","3.7188079",2018-11-12 08:26:10,2018-11-12 08:29:21,5
"25","DAK","A69-1602-10834","rel_markiezaat","none","51.485749","4.231882",2018-10-27 15:45:00,2018-10-27 15:45:00,1
