"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","DAK","A69-1602-10817","rel_suderpolder1","none","53.16028","5.535724",2018-10-18 12:45:00,2018-10-18 12:45:00,1
"2","DAK","A69-1602-10817","Suderpolder-1","VR2W-114178","53.165585","5.552393",2018-12-09 20:18:00,2018-12-19 08:40:00,11162
"3","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-19 10:45:00,2018-12-19 10:45:00,1
"4","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-19 13:17:00,2018-12-19 14:20:00,5
"5","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-19 15:22:00,2018-12-20 01:26:00,242
"6","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2019-01-10 22:44:00,2019-01-11 02:14:00,53
"7","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2019-01-11 04:26:00,2019-01-11 04:26:00,1
"8","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2019-01-11 08:48:00,2019-01-11 13:50:00,116
"9","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2019-01-11 15:37:00,2019-01-11 18:39:00,88
"10","DAK","A69-1602-10817","Suderpolder-2","VR2W-114164","53.165045","5.552381",2019-01-11 21:00:00,2019-01-12 01:42:00,30
"11","DAK","A69-1602-10818","rel_suderpolder1","none","53.16028","5.535724",2018-10-18 12:45:00,2018-10-18 12:45:00,1
"12","DAK","A69-1602-10818","Suderpolder-1","VR2W-114178","53.165585","5.552393",2018-12-07 20:19:00,2018-12-07 23:12:00,93
"13","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-08 00:19:00,2018-12-08 02:36:00,50
"14","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-08 05:19:00,2018-12-09 03:49:00,1133
"15","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-09 05:40:00,2018-12-09 06:07:00,4
"16","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-09 16:15:00,2018-12-09 18:43:00,30
"17","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-09 20:02:00,2018-12-09 20:10:00,7
"18","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-09 21:36:00,2018-12-09 21:47:00,8
"19","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-09 23:28:00,2018-12-10 00:44:00,14
"20","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-10 04:43:00,2018-12-10 05:12:00,9
"21","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-10 06:17:00,2018-12-10 09:41:00,146
"22","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-11 05:07:00,2018-12-20 05:26:00,10688
"23","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-20 19:23:00,2018-12-21 17:23:00,1087
"24","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-21 21:12:00,2018-12-22 04:56:00,202
"25","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-22 06:48:00,2018-12-22 13:11:00,183
"26","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-22 16:13:00,2018-12-22 16:45:00,32
"27","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-22 17:55:00,2018-12-22 17:55:00,1
"28","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-22 19:12:00,2018-12-22 20:11:00,5
"29","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-22 22:26:00,2018-12-23 09:01:00,441
"30","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-23 10:02:00,2018-12-23 11:40:00,32
"31","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-23 15:58:00,2018-12-23 16:56:00,52
"32","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-23 19:17:00,2018-12-23 19:26:00,2
"33","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-23 22:03:00,2018-12-23 22:21:00,2
"34","DAK","A69-1602-10818","Suderpolder-2","VR2W-114164","53.165045","5.552381",2018-12-24 02:23:00,2018-12-24 12:29:00,418
