"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","EMMN","A69-1105-234","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"2","EMMN","A69-1105-234","59","VR2-6743","69.972376","23.398833",2007-10-03 20:20:40,2007-10-03 20:43:21,3
"3","EMMN","A69-1105-234","45","VR2W-100568","70.021667","23.343333",2007-10-05 03:32:38,2007-10-05 04:18:33,2
"4","EMMN","A69-1105-234","45","VR2W-100568","70.021667","23.343333",2007-10-05 17:28:09,2007-10-05 18:02:32,34
"5","EMMN","A69-1105-234","21","VR2W-100543","70.215","23.173167",2007-10-06 17:04:34,2007-10-06 17:14:25,11
"6","EMMN","A69-1105-236","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"7","EMMN","A69-1105-236","59","VR2-6743","69.972376","23.398833",2007-10-03 21:03:30,2007-10-03 21:32:23,24
"8","EMMN","A69-1105-236","43","VR2W-100566","70.0165","23.337333",2007-10-04 00:07:24,2007-10-04 00:11:29,4
"9","EMMN","A69-1105-237","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"10","EMMN","A69-1105-237","59","VR2-6743","69.972376","23.398833",2007-10-13 19:12:18,2007-10-13 19:16:07,6
"11","EMMN","A69-1105-238","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"12","EMMN","A69-1105-238","59","VR2-6743","69.972376","23.398833",2007-10-07 00:46:55,2007-10-07 00:47:48,3
"13","EMMN","A69-1105-238","43","VR2W-100566","70.0165","23.337333",2007-10-07 02:47:54,2007-10-07 02:52:24,7
"14","EMMN","A69-1105-238","27","VR2W-100548","70.0845","23.032167",2007-10-08 00:39:36,2007-10-08 01:18:47,38
"15","EMMN","A69-1105-238","3","VR2-4880","70.195333","22.987167",2007-10-09 05:46:40,2007-10-09 06:22:47,11
"16","EMMN","A69-1105-238","8","VR2-6052","70.201","23.038667",2007-10-09 14:18:53,2007-10-09 14:26:48,7
"17","EMMN","A69-1105-239","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"18","EMMN","A69-1105-239","59","VR2-6743","69.972376","23.398833",2007-10-09 02:11:14,2007-10-09 02:34:48,24
"19","EMMN","A69-1105-239","59","VR2-6743","69.972376","23.398833",2007-10-09 12:16:01,2007-10-09 12:16:01,1
"20","EMMN","A69-1105-239","39","VR2W-100561","70.003333","23.315",2007-10-11 01:14:44,2007-10-11 01:39:38,17
"21","EMMN","A69-1105-239","14","VR2-6561","70.206667","23.100167",2007-10-16 17:46:08,2007-10-16 18:01:32,19
"22","EMMN","A69-1105-240","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"23","EMMN","A69-1105-240","59","VR2-6743","69.972376","23.398833",2007-10-17 21:07:06,2007-10-17 21:12:23,9
"24","EMMN","A69-1105-240","40","VR2W-100562","70.006333","23.319167",2007-10-18 17:33:15,2007-10-18 17:46:53,14
"25","EMMN","A69-1105-240","27","VR2W-100548","70.0845","23.032167",2007-10-20 16:51:09,2007-10-20 17:24:13,14
"26","EMMN","A69-1105-240","29","VR2W-100551","70.084833","23.0635",2007-10-20 18:13:07,2007-10-20 18:23:58,6
"27","EMMN","A69-1105-240","29","VR2W-100551","70.084833","23.0635",2007-10-20 19:53:02,2007-10-20 20:50:15,23
"28","EMMN","A69-1105-244","rel_emmn1","none","69.95785","23.344467",2007-10-03 00:00:00,2007-10-03 00:00:00,1
"29","EMMN","A69-1105-244","59","VR2-6743","69.972376","23.398833",2007-10-09 18:23:59,2007-10-09 19:12:55,20
