"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","ESGL","A69-1601-37992","rel_esgl","none","47.0924","-1.65511",2015-11-20 16:00:00,2015-11-20 16:00:00,1
"2","ESGL","A69-1601-38317","rel_esgl","none","47.0924","-1.65511",2015-09-25 16:00:00,2015-09-25 16:00:00,1
"3","ESGL","A69-1601-38317","C8","VR2W-112239","47.1198","-1.68606",2015-11-01 22:39:20,2015-11-01 23:25:29,67
"4","ESGL","A69-1601-38317","C9","VR2W-112241","47.1302","-1.69086",2015-11-01 23:28:31,2015-11-03 17:49:35,2186
"5","ESGL","A69-1601-38317","C3","VR2W-112128","47.126098","-1.679072",2015-11-03 18:47:09,2015-11-03 18:54:20,8
"6","ESGL","A69-1601-38317","C2","VR2W-112126","47.1246","-1.67109",2015-11-03 19:22:46,2015-11-03 19:34:19,17
"7","ESGL","A69-1601-38318","rel_esgl","none","47.0924","-1.65511",2015-09-25 16:00:00,2015-09-25 16:00:00,1
"8","ESGL","A69-1601-38318","C7","VR2W-112235","47.1224","-1.68732",2015-10-11 21:50:44,2015-10-11 23:02:34,54
"9","ESGL","A69-1601-38318","C8","VR2W-112239","47.1198","-1.68606",2015-11-10 21:13:03,2015-11-10 23:02:34,140
"10","ESGL","A69-1601-38318","C7","VR2W-112235","47.1224","-1.68732",2015-11-11 00:24:23,2015-11-11 02:12:13,39
"11","ESGL","A69-1601-38318","C8","VR2W-112239","47.1198","-1.68606",2015-11-11 03:25:26,2015-11-11 03:25:26,1
"12","ESGL","A69-1601-38318","C8","VR2W-112239","47.1198","-1.68606",2016-01-07 07:08:18,2016-01-07 07:08:18,1
"13","ESGL","A69-1601-38318","C8","VR2W-112239","47.1198","-1.68606",2016-01-07 17:46:33,2016-01-07 17:58:29,6
"14","ESGL","A69-1601-38318","C1","VR2W-112123","47.1237","-1.67011",2016-01-08 01:42:22,2016-01-08 02:24:33,65
"15","ESGL","A69-1601-38318","C3","VR2W-112128","47.126098","-1.679072",2016-01-08 03:24:27,2016-01-08 03:49:10,21
"16","ESGL","A69-1601-38318","AM3","VR2W-112259","47.1323","-1.69441",2016-01-08 05:19:56,2016-01-08 06:32:33,33
"17","ESGL","A69-1601-38318","AV2","VR2W-112263","47.133","-1.70816",2016-01-08 06:32:49,2016-01-08 17:19:38,651
"18","ESGL","A69-1601-38318","B1","VR2W-112269","47.21","-1.82689",2016-01-09 01:39:23,2016-01-09 02:26:48,46
"19","ESGL","A69-1601-38318","CN","VR2W-112273","47.237895","-1.870765",2016-01-09 04:20:58,2016-01-09 05:15:41,31
"20","ESGL","A69-1601-38318","CA","VR2W-112274","47.267842","-1.94744",2016-01-09 18:31:42,2016-01-09 20:10:01,12
"21","ESGL","A69-1601-38318","C","VR2W-112240","47.293933","-2.016633",2016-01-09 20:55:39,2016-01-09 20:55:39,1
"22","ESGL","A69-1601-38318","C7","VR2W-112235","47.1224","-1.68732",2016-07-01 17:58:29,2016-07-01 17:58:29,1
"23","ESGL","A69-1601-38318","C3","VR2W-112128","47.126098","-1.679072",2016-08-01 03:24:27,2016-08-01 03:49:10,21
