"","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"1","SEMP","A69-1601-17234","rel_semp7","none","54.874169","24.001905",2014-05-30 08:00:00,2014-05-30 08:00:00,1
"2","SEMP","A69-1601-17234","above-kaunas-2","VR2W-125066","54.874228","24.001093",2014-05-30 09:50:00,2014-05-30 11:14:00,13
"3","SEMP","A69-1601-17235","rel_semp7","none","54.874169","24.001905",2014-05-30 08:00:00,2014-05-30 08:00:00,1
"4","SEMP","A69-1601-17235","above-kaunas-3","VR2W-125067","54.873063","23.999205",2014-05-30 09:48:00,2014-05-30 10:00:00,5
"5","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-05-30 13:44:00,2014-05-30 14:39:00,21
"6","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-09 07:26:00,2014-06-09 09:42:00,75
"7","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-13 10:12:00,2014-06-13 11:30:00,6
"8","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-15 21:14:00,2014-06-15 23:14:00,45
"9","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-20 21:41:00,2014-06-20 22:56:00,24
"10","SEMP","A69-1601-17235","above-kaunas-3","VR2W-125067","54.873063","23.999205",2014-06-20 22:57:00,2014-06-20 23:05:00,9
"11","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-20 23:06:00,2014-06-20 23:11:00,6
"12","SEMP","A69-1601-17235","above-kaunas-3","VR2W-125067","54.873063","23.999205",2014-06-20 23:13:00,2014-06-20 23:13:00,1
"13","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-06-20 23:14:00,2014-06-20 23:54:00,20
"14","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-07-05 23:18:00,2014-07-06 00:31:00,25
"15","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-07-06 22:09:00,2014-07-06 22:20:00,12
"16","SEMP","A69-1601-17235","above-kaunas-3","VR2W-125067","54.873063","23.999205",2014-07-06 22:21:00,2014-07-06 22:34:00,13
"17","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-07-06 22:35:00,2014-07-06 22:35:00,1
"18","SEMP","A69-1601-17235","above-kaunas-3","VR2W-125067","54.873063","23.999205",2014-07-06 22:36:00,2014-07-06 22:37:00,2
"19","SEMP","A69-1601-17235","above-kaunas-4","VR2W-125071","54.873579","23.999337",2014-07-06 22:38:00,2014-07-06 23:21:00,20
