"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1008-101","2004_Gudena","rel_gudena","none",56.364919,9.900337,2004-05-10 12:00:00,2004-05-10 12:00:00,1,NA,NA,NA,0,0
"2","A69-1008-101","2004_Gudena","GUD2","VR2-1908",56.38312088,9.901577397,2004-05-10 19:34:31,2004-05-10 19:34:31,1,27271,2413.504321,0.088501,2413.504321,2413.504321
"3","A69-1008-101","2004_Gudena","RAN1","VR2-3538",56.45735379,10.01770257,2004-05-11 04:48:57,2004-05-11 05:20:53,22,33266,13774.473623,0.414071,16187.977944,16105.172315
"4","A69-1008-101","2004_Gudena","UGEL1","VR2-3536",56.48324094,10.2181103,2004-05-11 23:47:11,2004-05-12 03:43:47,186,66378,14784.844277,0.222737,30972.822221,30890.016591
"5","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-05-12 23:31:00,2004-05-13 00:56:34,74,71233,399.864462,0.005613,31372.686683,30490.15213
"6","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-05-13 04:02:19,2004-05-13 05:50:21,55,NA,NA,NA,31372.686683,30490.15213
"7","A69-1008-101","2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-14 21:31:20,2004-05-14 22:45:00,19,142859,13385.164794,0.093695,44757.851477,17104.987336
"8","A69-1008-101","2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-24 14:38:06,2004-05-24 16:16:16,57,NA,NA,NA,44757.851477,17104.987336
"9","A69-1008-101","2004_Gudena","RAN2","VR2-1909",56.45552792,10.03316608,2004-05-25 02:28:48,2004-05-25 02:41:48,14,NA,NA,NA,44757.851477,17104.987336
"10","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-09 00:08:34,2004-09-09 00:59:26,21,9235606,13385.164794,0.001449,58143.016271,30490.15213
"11","A69-1008-101","2004_Gudena","UGEL1","VR2-3536",56.48324094,10.2181103,2004-09-09 05:10:36,2004-09-09 05:10:36,1,15070,399.864462,0.026534,58542.880733,30890.016591
"12","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-09 11:16:17,2004-09-09 12:06:41,53,21941,399.864462,0.018225,58942.745195,30490.15213
"13","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-11 10:28:08,2004-09-11 11:46:20,44,NA,NA,NA,58942.745195,30490.15213
"14","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-13 11:03:17,2004-09-13 11:58:48,70,NA,NA,NA,58942.745195,30490.15213
"15","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-15 10:39:47,2004-09-15 11:57:14,65,NA,NA,NA,58942.745195,30490.15213
"16","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-17 10:18:21,2004-09-17 11:04:32,57,NA,NA,NA,58942.745195,30490.15213
"17","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-19 09:53:26,2004-09-19 09:58:02,4,NA,NA,NA,58942.745195,30490.15213
"18","A69-1008-101","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-09-19 11:24:36,2004-09-19 12:07:17,42,NA,NA,NA,58942.745195,30490.15213
"19","A69-1008-101","2004_Gudena","GUD2","VR2-1908",56.38312088,9.901577397,2004-12-10 15:13:17,2004-12-10 15:13:17,1,7095960,28159.453438,0.003968,87102.198633,2413.504321
"20","A69-1008-102","2004_Gudena","rel_gudena","none",56.364919,9.900337,2004-05-10 12:00:00,2004-05-10 12:00:00,1,NA,NA,NA,0,0
"21","A69-1008-102","2004_Gudena","GUD2","VR2-1908",56.38312088,9.901577397,2004-05-10 20:50:12,2004-05-10 20:50:43,2,31812,2413.504321,0.075868,2413.504321,2413.504321
"22","A69-1008-102","2004_Gudena","RAN1","VR2-3538",56.45735379,10.01770257,2004-05-11 05:48:05,2004-05-11 06:28:12,19,32242,13774.473623,0.427221,16187.977944,16105.172315
"23","A69-1008-102","2004_Gudena","UGEL2","VR2-3539",56.47968471,10.21517113,2004-06-02 20:31:25,2004-06-02 21:57:49,68,1951393,14384.979815,0.007372,30572.957759,30490.15213
"24","A69-1008-103","2004_Gudena","rel_gudena","none",56.364919,9.900337,2004-05-18 12:00:00,2004-05-18 12:00:00,1,NA,NA,NA,0,0
"25","A69-1008-103","2004_Gudena","GUD2","VR2-1908",56.38312088,9.901577397,2004-05-18 23:03:40,2004-05-18 23:05:17,3,39820,2413.504321,0.06061,2413.504321,2413.504321
"26","A69-1008-103","2004_Gudena","RAN1","VR2-3538",56.45735379,10.01770257,2004-05-19 02:59:29,2004-05-19 03:22:04,10,14052,13774.473623,0.98025,16187.977944,16105.172315
"27","A69-1008-104","2004_Gudena","rel_gudena","none",56.364919,9.900337,2004-05-18 12:00:00,2004-05-18 12:00:00,1,NA,NA,NA,0,0
