"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1206-1","2011_Loire","rel_loire2","none",47.3664,-1.173,2010-11-25,2010-11-25,1,NA,NA,NA,0,0
"2","A69-1206-10","2011_Loire","rel_loire1","none",47.3403,-1.255,2010-11-29,2010-11-29,1,NA,NA,NA,0,0
"3","A69-1206-11","2011_Loire","rel_loire1","none",47.3403,-1.255,2010-11-29,2010-11-29,1,NA,NA,NA,0,0
"4","A69-1206-12","2011_Loire","rel_loire1","none",47.3403,-1.255,2010-11-29,2010-11-29,1,NA,NA,NA,0,0
"5","A69-1206-121","2011_Loire","rel_loire3","none",47.364211,-1.012256,2011-11-24,2011-11-24,1,NA,NA,NA,0,0
"6","A69-1206-121","2011_Loire","99V","VR2W-112127",47.34226667,-1.25106667,2011-11-27 23:15:19,2011-11-27 23:18:19,2,342919,19729.667822,0.057534,19729.667822,19729.667822
"7","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-28 06:30:20,2011-11-28 06:30:20,1,25921,5854.767264,0.22587,25584.435086,25584.435087
"8","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-28 08:44:08,2011-11-28 09:27:16,38,NA,NA,NA,25584.435086,25584.435087
"9","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-28 20:52:12,2011-11-28 21:41:30,22,NA,NA,NA,25584.435086,25584.435087
"10","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-29 06:44:04,2011-11-29 07:28:51,22,NA,NA,NA,25584.435086,25584.435087
"11","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-29 09:14:10,2011-11-29 09:54:39,32,NA,NA,NA,25584.435086,25584.435087
"12","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-29 19:36:09,2011-11-29 19:49:19,12,NA,NA,NA,25584.435086,25584.435087
"13","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-29 21:20:39,2011-11-29 21:27:39,3,NA,NA,NA,25584.435086,25584.435087
"14","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-30 07:52:00,2011-11-30 08:28:08,12,NA,NA,NA,25584.435086,25584.435087
"15","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-30 09:45:54,2011-11-30 10:30:59,61,NA,NA,NA,25584.435086,25584.435087
"16","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-11-30 20:35:11,2011-12-01 00:12:56,448,NA,NA,NA,25584.435086,25584.435087
"17","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-01 01:20:00,2011-12-01 01:20:00,1,NA,NA,NA,25584.435086,25584.435087
"18","A69-1206-121","2011_Loire","40R","VR2W-112247",47.27866667,-1.89916667,2011-12-01 08:36:03,2011-12-01 08:36:03,1,26163,54888.268066,2.097935,80472.703152,80472.703153
"19","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-01 23:18:14,2011-12-01 23:18:14,1,52931,54888.268066,1.036978,135360.971218,25584.435087
"20","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-02 09:21:39,2011-12-02 11:59:54,42,NA,NA,NA,135360.971218,25584.435087
"21","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-02 22:40:39,2011-12-03 00:05:30,16,NA,NA,NA,135360.971218,25584.435087
"22","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-03 01:32:03,2011-12-03 02:18:45,18,NA,NA,NA,135360.971218,25584.435087
"23","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-03 22:32:47,2011-12-04 01:37:02,35,NA,NA,NA,135360.971218,25584.435087
"24","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-04 14:07:40,2011-12-04 14:56:58,3,NA,NA,NA,135360.971218,25584.435087
"25","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-05 00:02:55,2011-12-05 04:03:16,66,NA,NA,NA,135360.971218,25584.435087
"26","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-06 02:34:16,2011-12-06 03:38:30,4,NA,NA,NA,135360.971218,25584.435087
"27","A69-1206-121","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-12 05:45:49,2011-12-12 05:45:49,1,NA,NA,NA,135360.971218,25584.435087
"28","A69-1206-121","2011_Loire","71V","VR2W-112249",47.3278,-1.32295,2011-12-14 06:27:01,2011-12-14 08:54:51,108,175272,241.342432,0.001377,135602.31365,25767.214251
"29","A69-1206-121","2011_Loire","71V","VR2W-112249",47.3278,-1.32295,2011-12-14 19:06:54,2011-12-14 21:33:26,214,NA,NA,NA,135602.31365,25767.214251
"30","A69-1206-121","2011_Loire","71V","VR2W-112249",47.3278,-1.32295,2011-12-15 07:07:19,2011-12-15 09:18:43,224,NA,NA,NA,135602.31365,25767.214251
"31","A69-1206-121","2011_Loire","71V","VR2W-112249",47.3278,-1.32295,2011-12-16 07:58:00,2011-12-16 09:27:48,16,NA,NA,NA,135602.31365,25767.214251
"32","A69-1206-121","2011_Loire","33V","VR2W-112254",47.27776666,-1.90511666,2011-12-18 17:17:39,2011-12-18 17:17:39,1,200991,55064.051245,0.273963,190666.364895,80831.265496
"33","A69-1206-121","2011_Loire","30R","VR2W-112255",47.29393334,-2.01663334,2011-12-18 23:28:24,2011-12-18 23:37:05,23,22245,9292.591459,0.417738,199958.956354,90006.73042
"34","A69-1206-121","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-19 02:57:25,2011-12-19 02:57:25,1,12020,12936.809281,1.076274,212895.765635,102777.960005
"35","A69-1206-121","2011_Loire","17V_Vignettes","VR2W-112231",47.26625,-2.1881,2011-12-19 03:08:16,2011-12-19 03:09:42,2,651,1231.032116,1.890986,214126.797751,103950.428853
"36","A69-1206-123","2011_Loire","rel_loire3","none",47.364211,-1.012256,2011-11-24,2011-11-24,1,NA,NA,NA,0,0
"37","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 20:58:47,2011-12-15 21:06:13,14,1889927,36415.572464,0.019268,36415.572464,36415.572464
"38","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:06:36,2011-12-15 21:07:50,5,NA,NA,NA,36415.572464,36415.572464
"39","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:09:14,2011-12-15 21:10:33,2,NA,NA,NA,36415.572464,36415.572464
"40","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:11:09,2011-12-15 21:11:09,1,NA,NA,NA,36415.572464,36415.572464
"41","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:11:35,2011-12-15 21:11:57,2,NA,NA,NA,36415.572464,36415.572464
"42","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:12:40,2011-12-15 21:12:40,1,NA,NA,NA,36415.572464,36415.572464
"43","A69-1206-123","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-15 21:13:06,2011-12-15 21:13:06,1,NA,NA,NA,36415.572464,36415.572464
"44","A69-1206-123","2011_Loire","38R","VR2W-112242",47.24713333,-1.43838333,2011-12-15 21:50:41,2011-12-15 22:14:36,22,2255,2479.170325,1.09941,38894.742789,38894.742789
"45","A69-1206-123","2011_Loire","13V","VR2W-112125",47.23221667,-1.47123333,2011-12-15 23:10:26,2011-12-15 23:11:15,2,3350,3220.646092,0.961387,42115.388881,41705.446008
"46","A69-1206-123","2011_Loire","StationGIP_Pellerin","VR2W-112124",47.203825,-1.75758889,2011-12-16 03:49:59,2011-12-16 03:51:54,6,16724,24257.171018,1.450441,66372.559899,65962.617026
"47","A69-1206-123","2011_Loire","50R","VR2W-112123",47.20571667,-1.7579,2011-12-16 10:55:03,2011-12-16 10:55:46,3,25389,199.916383,0.007874,66572.476282,66045.406874
"48","A69-1206-123","2011_Loire","33V","VR2W-112254",47.27776666,-1.90511666,2011-12-16 11:09:37,2011-12-16 11:11:01,4,831,14785.858622,17.79285,81358.334904,80831.265496
"49","A69-1206-123","2011_Loire","29bisV","VR2W-112259",47.29875,-2.04523333,2011-12-16 13:10:40,2011-12-16 13:10:59,2,7179,11782.120893,1.641192,93140.455797,92496.259854
"50","A69-1206-123","2011_Loire","24bisR","VR2W-112235",47.28713334,-2.17019999,2011-12-16 14:57:57,2011-12-16 15:02:52,5,6418,9830.144477,1.531652,102970.600274,101664.085549
"51","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:25:05,2011-12-16 15:25:05,1,1333,1489.480641,1.11739,104460.080915,102777.960005
"52","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:25:46,2011-12-16 15:25:46,1,41,1248.26271,30.445432,105708.343625,104026.222715
"53","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:26:00,2011-12-16 15:26:51,3,14,1248.26271,89.161622,106956.606335,102777.960005
"54","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:27:12,2011-12-16 15:27:12,1,21,1248.26271,59.441081,108204.869045,104026.222715
"55","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:27:19,2011-12-16 15:27:19,1,7,1248.26271,178.323244,109453.131755,102777.960005
"56","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:28:14,2011-12-16 15:28:37,2,55,1248.26271,22.695686,110701.394465,104026.222715
"57","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:29:03,2011-12-16 15:29:03,1,26,1248.26271,48.010104,111949.657175,102777.960005
"58","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:29:19,2011-12-16 15:29:19,1,16,1248.26271,78.016419,113197.919885,104026.222715
"59","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:29:33,2011-12-16 15:29:33,1,14,1248.26271,89.161622,114446.182595,102777.960005
"60","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:29:42,2011-12-16 15:29:42,1,9,1248.26271,138.695857,115694.445305,104026.222715
"61","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:29:50,2011-12-16 15:29:50,1,8,1248.26271,156.032839,116942.708015,102777.960005
"62","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:29:57,2011-12-16 15:29:57,1,7,1248.26271,178.323244,118190.970725,104026.222715
"63","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:30:14,2011-12-16 15:30:27,2,17,1248.26271,73.427218,119439.233435,102777.960005
"64","A69-1206-123","2011_Loire","20R_BasseNazaire","VR2W-112260",47.26900001,-2.19073333,2011-12-16 15:31:03,2011-12-16 15:31:03,1,36,1248.26271,34.673964,120687.496145,104026.222715
"65","A69-1206-123","2011_Loire","19V_Mindin","VR2W-112233",47.27488333,-2.17811667,2011-12-16 15:31:46,2011-12-16 15:31:46,1,43,1248.26271,29.029365,121935.758855,102777.960005
"66","A69-1206-123","2011_Loire","17V_Vignettes","VR2W-112231",47.26625,-2.1881,2011-12-16 15:41:12,2011-12-16 15:45:43,12,566,1231.032116,2.174968,123166.790971,103950.428853
"67","A69-1206-123","2011_Loire","50R","VR2W-112123",47.20571667,-1.7579,2011-12-16 21:22:50,2011-12-16 21:22:50,1,20227,37905.02198,1.873981,161071.812951,66045.406874
"68","A69-1206-125","2011_Loire","rel_loire3","none",47.364211,-1.012256,2011-11-24,2011-11-24,1,NA,NA,NA,0,0
"69","A69-1206-125","2011_Loire","40R","VR2W-112247",47.27866667,-1.89916667,2011-12-01 08:36:32,2011-12-01 08:37:02,2,635792,80472.703153,0.126571,80472.703153,80472.703153
"70","A69-1206-125","2011_Loire","74R","VR2W-112126",47.32935,-1.32191667,2011-12-16 04:11:46,2011-12-16 04:11:46,1,1280084,54888.268066,0.042879,135360.971219,25584.435087
"71","A69-1206-125","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-16 06:25:30,2011-12-16 06:32:15,17,8024,10831.137377,1.349843,146192.108596,36415.572464
"72","A69-1206-125","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-16 06:32:47,2011-12-16 06:35:05,3,NA,NA,NA,146192.108596,36415.572464
"73","A69-1206-125","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-16 06:38:21,2011-12-16 06:38:21,1,NA,NA,NA,146192.108596,36415.572464
"74","A69-1206-125","2011_Loire","46R","VR2W-112257",47.26436667,-1.42156667,2011-12-16 06:39:39,2011-12-16 06:39:39,1,NA,NA,NA,146192.108596,36415.572464
"75","A69-1206-125","2011_Loire","18R","VR2W-112128",47.23335,-1.47186667,2011-12-16 22:56:20,2011-12-16 22:56:20,1,58601,5365.605156,0.091562,151557.713752,41664.051085
"76","A69-1206-125","2011_Loire","33V","VR2W-112254",47.27776666,-1.90511666,2011-12-17 13:11:39,2011-12-17 13:17:27,3,51319,39167.214411,0.763211,190724.928163,80831.265496
