"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","1","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,NA,NA,NA,0,0
"2","1","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:46:00,2014-01-13 15:52:00,2,60,0,0,0,0
"3","1","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-13 18:29:00,2014-01-13 18:29:00,1,9420,2430.414919,0.258006,2430.414919,2430.414919
"4","1","2013_Stour","stour_3","VR2W-stourdummy3",51.961941,0.993163,2014-01-13 18:34:00,2014-01-13 19:31:00,38,300,0,0,2430.414919,2430.414919
"5","1","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-16 17:20:00,2014-01-16 17:27:00,7,251340,2094.503517,0.008333,4524.918436,4524.918437
"6","1","2013_Stour","stour_13","VR2W-stourdummy13",51.953715,1.0508453,2014-01-17 03:06:00,2014-01-17 03:06:00,1,34740,2537.128389,0.073032,7062.046825,7003.284492
"7","2","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,2,NA,NA,NA,0,0
"8","2","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:50:00,2014-01-13 17:01:00,33,300,0,0,0,0
"9","2","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-16 17:43:00,2014-01-16 17:44:00,2,261720,2430.414919,0.009286,2430.414919,2430.414919
"10","2","2013_Stour","stour_3","VR2W-stourdummy3",51.961941,0.993163,2014-01-16 17:45:00,2014-01-16 18:01:00,11,60,0,0,2430.414919,2430.414919
"11","2","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-16 19:23:00,2014-01-16 19:28:00,6,4920,2094.503517,0.425712,4524.918436,4524.918437
"12","2","2013_Stour","stour_14","VR2W-stourdummy14",51.956033,1.0575771,2014-01-24 17:50:00,2014-01-24 18:37:00,8,685320,3121.253496,0.004554,7646.171932,7587.409599
"13","2","2013_Stour","stour_17","VR2W-stourdummy17",51.948438,1.0691403,2014-01-24 19:54:00,2014-01-24 19:59:00,6,4620,1211.080729,0.262139,8857.252661,8455.265959
"14","2","2013_Stour","stour_18","VR2W-stourdummy18",51.949731,1.1028213,2014-01-24 22:03:00,2014-01-24 22:37:00,17,7440,3230.524703,0.43421,12087.777364,11685.790663
"15","2","2013_Stour","stour_13","VR2W-stourdummy20",51.950508,1.1701495,2014-01-25 18:46:00,2014-01-25 18:46:00,1,72540,4682.506171,0.064551,16770.283535,7003.284492
"16","2","2013_Stour","stour_20","VR2W-stourdummy20",51.950508,1.1701495,2014-01-25 18:47:00,2014-01-25 18:47:00,1,60,9789.357368,163.155956,26559.640903,16792.64186
"17","2","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-25 20:46:00,2014-01-25 21:12:00,14,7140,6116.417505,0.856641,32676.058408,22909.059366
"18","2","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-25 21:13:00,2014-01-25 21:14:00,2,60,1101.444131,18.357402,33777.502539,24010.503497
"19","3","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:40:00,2014-01-13 15:40:00,1,NA,NA,NA,0,0
"20","3","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,300,0,0,0,0
"21","3","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:49:00,2014-01-13 15:58:00,2,240,0,NA,0,0
"22","3","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-16 20:29:00,2014-01-16 20:38:00,5,275460,2430.414919,0.008823,2430.414919,2430.414919
"23","3","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-16 21:41:00,2014-01-16 21:46:00,6,3780,2094.503517,0.554101,4524.918436,4524.918437
"24","3","2013_Stour","stour_13","VR2W-stourdummy13",51.953715,1.0508453,2014-01-25 17:16:00,2014-01-25 18:10:00,49,761400,2537.128389,0.003332,7062.046825,7003.284492
"25","3","2013_Stour","stour_17","VR2W-stourdummy17",51.948438,1.0691403,2014-01-25 18:35:00,2014-01-25 18:48:00,12,1500,1451.981467,0.967988,8514.028292,8455.265959
"26","3","2013_Stour","stour_21","VR2W-stourdummy21",51.953781,1.1725204,2014-01-25 22:38:00,2014-01-25 22:48:00,11,13800,8637.769755,0.625925,17151.798047,17093.035714
"27","3","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-26 05:26:00,2014-01-26 06:21:00,22,23880,5816.023651,0.243552,22967.821698,22909.059366
"28","3","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-26 06:23:00,2014-01-26 06:24:00,2,120,1101.444131,9.178701,24069.265829,24010.503497
"29","3","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-26 06:26:00,2014-01-26 06:39:00,13,120,1101.444131,9.178701,25170.70996,22909.059366
"30","3","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-26 06:40:00,2014-01-26 06:42:00,3,60,1101.444131,18.357402,26272.154091,24010.503497
"31","3","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-26 06:43:00,2014-01-26 06:47:00,5,60,1101.444131,18.357402,27373.598222,22909.059366
"32","3","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-26 06:48:00,2014-01-26 07:14:00,23,60,1101.444131,18.357402,28475.042353,24010.503497
"33","4","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:43:00,2014-01-13 15:43:00,1,NA,NA,NA,0,0
"34","4","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,120,0,0,0,0
"35","4","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:47:00,2014-01-13 16:39:00,11,120,0,NA,0,0
"36","4","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 17:49:00,2014-01-13 17:57:00,9,NA,NA,NA,0,0
"37","4","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-13 19:23:00,2014-01-13 19:24:00,2,5160,2430.414919,0.471011,2430.414919,2430.414919
"38","4","2013_Stour","stour_3","VR2W-stourdummy3",51.961941,0.993163,2014-01-13 19:25:00,2014-01-14 00:15:00,248,60,0,0,2430.414919,2430.414919
"39","4","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-14 01:05:00,2014-01-14 01:44:00,7,3000,2094.503517,0.698168,4524.918436,4524.918437
"40","4","2013_Stour","stour_13","VR2W-stourdummy13",51.953715,1.0508453,2014-01-16 18:22:00,2014-01-16 18:42:00,14,232680,2537.128389,0.010904,7062.046825,7003.284492
"41","4","2013_Stour","stour_17","VR2W-stourdummy17",51.948438,1.0691403,2014-01-16 19:09:00,2014-01-16 19:13:00,5,1620,1451.981467,0.896285,8514.028292,8455.265959
"42","4","2013_Stour","stour_18","VR2W-stourdummy18",51.949731,1.1028213,2014-01-17 16:51:00,2014-01-17 18:17:00,73,77880,3230.524703,0.041481,11744.552995,11685.790663
"43","4","2013_Stour","stour_21","VR2W-stourdummy21",51.953781,1.1725204,2014-01-19 16:42:00,2014-01-19 17:22:00,26,167100,5407.245052,0.032359,17151.798047,17093.035714
"44","4","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-19 22:18:00,2014-01-19 22:18:00,1,17760,5816.023651,0.327479,22967.821698,22909.059366
"45","4","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-20 02:56:00,2014-01-20 03:03:00,5,NA,NA,NA,22967.821698,22909.059366
"46","4","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-20 03:04:00,2014-01-20 03:19:00,15,60,1101.444131,18.357402,24069.265829,24010.503497
"47","5","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:43:00,2014-01-13 15:43:00,1,NA,NA,NA,0,0
"48","5","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,120,0,0,0,0
"49","5","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:55:00,2014-01-13 15:55:00,1,600,0,NA,0,0
"50","5","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-13 19:02:00,2014-01-13 19:03:00,2,11220,2430.414919,0.216615,2430.414919,2430.414919
"51","5","2013_Stour","stour_3","VR2W-stourdummy3",51.961941,0.993163,2014-01-13 19:05:00,2014-01-13 19:12:00,7,120,0,0,2430.414919,2430.414919
"52","5","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-13 19:55:00,2014-01-13 19:59:00,5,2580,2094.503517,0.811823,4524.918436,4524.918437
"53","5","2013_Stour","stour_14","VR2W-stourdummy14",51.956033,1.0575771,2014-01-28 23:20:00,2014-01-28 23:27:00,8,1308060,3121.253496,0.002386,7646.171932,7587.409599
"54","5","2013_Stour","stour_17","VR2W-stourdummy17",51.948438,1.0691403,2014-01-28 23:55:00,2014-01-29 00:01:00,6,1680,1211.080729,0.720881,8857.252661,8455.265959
"55","5","2013_Stour","stour_18","VR2W-stourdummy18",51.949731,1.1028213,2014-01-29 01:03:00,2014-01-29 01:25:00,12,3720,3230.524703,0.868421,12087.777364,11685.790663
"56","5","2013_Stour","stour_20","VR2W-stourdummy20",51.950508,1.1701495,2014-01-29 03:49:00,2014-01-29 03:59:00,9,8640,5106.851198,0.591071,17194.628562,16792.64186
"57","5","2013_Stour","stour_20","VR2W-stourdummy20",51.950508,1.1701495,2014-01-29 05:45:00,2014-01-29 05:58:00,5,NA,NA,NA,17194.628562,16792.64186
"58","5","2013_Stour","stour_21","VR2W-stourdummy21",51.953781,1.1725204,2014-01-30 00:57:00,2014-01-30 00:59:00,3,68340,300.393854,0.004396,17495.022416,17093.035714
"59","5","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-30 04:34:00,2014-01-30 05:30:00,3,12900,5816.023651,0.450855,23311.046067,22909.059366
"60","5","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-30 11:36:00,2014-01-30 12:35:00,16,NA,NA,NA,23311.046067,22909.059366
"61","6","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:32:00,2014-01-13 15:32:00,1,NA,NA,NA,0,0
"62","6","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,780,0,0,0,0
"63","6","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:56:00,2014-01-13 17:43:00,73,660,0,NA,0,0
"64","6","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-17 17:02:00,2014-01-17 17:14:00,13,NA,NA,NA,0,0
"65","6","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-17 18:29:00,2014-01-17 18:29:00,1,4500,2430.414919,0.540092,2430.414919,2430.414919
"66","6","2013_Stour","stour_3","VR2W-stourdummy3",51.961941,0.993163,2014-01-17 18:34:00,2014-01-17 18:46:00,11,300,0,0,2430.414919,2430.414919
"67","6","2013_Stour","stour_5","VR2W-stourdummy5",51.959644,1.0196169,2014-01-17 19:37:00,2014-01-17 19:43:00,7,3060,2094.503517,0.684478,4524.918436,4524.918437
"68","6","2013_Stour","stour_13","VR2W-stourdummy13",51.953715,1.0508453,2014-01-19 04:10:00,2014-01-19 05:31:00,74,116820,2537.128389,0.021718,7062.046825,7003.284492
"69","6","2013_Stour","stour_13","VR2W-stourdummy13",51.953715,1.0508453,2014-01-20 03:26:00,2014-01-20 03:57:00,27,NA,NA,NA,7062.046825,7003.284492
"70","6","2013_Stour","stour_17","VR2W-stourdummy17",51.948438,1.0691403,2014-01-20 04:29:00,2014-01-20 04:45:00,12,1920,1451.981467,0.75624,8514.028292,8455.265959
"71","6","2013_Stour","stour_18","VR2W-stourdummy18",51.949731,1.1028213,2014-01-20 06:07:00,2014-01-20 08:00:00,65,4920,3230.524703,0.656611,11744.552995,11685.790663
"72","6","2013_Stour","stour_21","VR2W-stourdummy21",51.953781,1.1725204,2014-01-20 13:32:00,2014-01-20 14:38:00,34,19920,5407.245052,0.271448,17151.798047,17093.035714
"73","6","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-20 16:43:00,2014-01-20 16:50:00,7,7500,5816.023651,0.77547,22967.821698,22909.059366
"74","6","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-20 16:51:00,2014-01-20 16:53:00,2,60,1101.444131,18.357402,24069.265829,24010.503497
"75","6","2013_Stour","stour_23","VR2W-stourdummy23",51.951523,1.2558098,2014-01-20 16:54:00,2014-01-20 16:55:00,2,60,1101.444131,18.357402,25170.70996,22909.059366
"76","6","2013_Stour","stour_25","VR2W-stourdummy25",51.950917,1.2705109,2014-01-20 16:56:00,2014-01-20 17:14:00,17,60,1101.444131,18.357402,26272.154091,24010.503497
"77","7","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:44:00,2014-01-13 15:44:00,1,NA,NA,NA,0,0
"78","7","2013_Stour","rel_stour1","none",51.96949,0.97145,2014-01-13 15:45:00,2014-01-13 15:45:00,1,60,0,0,0,0
"79","7","2013_Stour","stour_1","VR2W-stourdummy1",51.96949,0.97145,2014-01-13 15:48:00,2014-01-13 15:57:00,3,180,0,NA,0,0
"80","7","2013_Stour","stour_2","VR2W-stourdummy2",51.961682,0.993104,2014-01-16 18:01:00,2014-01-16 18:02:00,2,266640,2430.414919,0.009115,2430.414919,2430.414919
