"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1601-20817","2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-21 21:30:00,2014-10-21 21:30:00,1,NA,NA,NA,0,0
"2","A69-1601-20817","2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-11 18:07:52,2014-11-11 18:10:13,2,1802272,3674.748244,0.002039,3674.748244,3674.748244
"3","A69-1601-20817","2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-11 19:05:43,2014-11-11 19:05:43,1,3330,1525.155999,0.458005,5199.904243,5199.904243
"4","A69-1601-20817","2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 00:09:27,2014-11-12 00:24:15,14,18224,6879.620392,0.377503,12079.524635,12079.524635
"5","A69-1601-20817","2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 00:25:04,2014-11-12 00:25:04,1,49,2338.776258,47.730128,14418.300893,14418.300893
"6","A69-1601-20817","2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 00:25:25,2014-11-12 00:25:58,2,21,2338.776258,111.370298,16757.077151,12079.524635
"7","A69-1601-20817","2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 00:26:14,2014-11-12 00:31:07,8,16,2338.776258,146.173516,19095.853409,14418.300893
"8","A69-1601-20818","2014_Frome","rel_frome","none",50.688068,-2.257873,2014-10-29 20:10:00,2014-10-29 20:10:00,1,NA,NA,NA,0,0
"9","A69-1601-20818","2014_Frome","F1","VR2W-103011",50.681696,-2.21012,2014-11-11 18:32:45,2014-11-11 18:39:08,3,1117365,3674.748244,0.003289,3674.748244,3674.748244
"10","A69-1601-20818","2014_Frome","F6","VR2W-105212",50.680533,-2.190656,2014-11-11 19:24:32,2014-11-11 19:24:32,1,2724,1525.155999,0.559896,5199.904243,5199.904243
"11","A69-1601-20818","2014_Frome","F7","VR2W-123747",50.683685,-2.108733,2014-11-12 17:24:31,2014-11-12 17:36:02,13,79199,6879.620392,0.086865,12079.524635,12079.524635
"12","A69-1601-20818","2014_Frome","F8","VR2W-123749",50.690398,-2.084783,2014-11-12 17:36:16,2014-11-12 17:36:16,1,14,2338.776258,167.055447,14418.300893,14418.300893
