"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1601-20942","2014_Nene","rel_nene","none",52.501614,-0.457053,2014-10-31 10:00:00,2014-10-31 10:00:00,1,NA,NA,NA,0,0
"2","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-10-31 14:30:28,2014-10-31 15:27:59,8,16228,100.095425,0.006168,100.095425,-100.095425
"3","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-01 04:19:21,2014-11-01 04:43:16,12,NA,NA,NA,100.095425,-100.095425
"4","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-01 11:34:38,2014-11-01 13:08:35,4,NA,NA,NA,100.095425,-100.095425
"5","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-01 14:46:09,2014-11-01 18:22:26,11,NA,NA,NA,100.095425,-100.095425
"6","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-02 05:04:59,2014-11-02 05:04:59,1,NA,NA,NA,100.095425,-100.095425
"7","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-02 06:26:52,2014-11-02 08:27:25,6,NA,NA,NA,100.095425,-100.095425
"8","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-02 11:12:42,2014-11-02 11:12:42,1,NA,NA,NA,100.095425,-100.095425
"9","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-02 12:25:27,2014-11-02 12:27:03,2,NA,NA,NA,100.095425,-100.095425
"10","A69-1601-20942","2014_Nene","Nene1","VR2W-100351",52.501359,-0.457504,2014-11-02 14:11:01,2014-11-02 14:11:01,1,NA,NA,NA,100.095425,-100.095425
