"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1602-10832","DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-25 15:45:00,2018-10-25 15:45:00,1,NA,NA,NA,0,0
"2","A69-1602-10832","DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-27 20:04:00,2018-10-27 22:37:00,55,188340,63575.46396,0.337557,63575.46396,63575.46396
"3","A69-1602-10832","DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-30 19:27:00,2018-10-30 19:45:00,16,NA,NA,NA,63575.46396,63575.46396
"4","A69-1602-10832","DAK","Markiezaat-7","VR2W-102061",51.509707,4.176225,2018-10-31 04:57:00,2018-10-31 04:57:00,1,33120,57107.124906,1.724249,120682.588866,10414.593974
"5","A69-1602-10832","DAK","Markiezaat-7","VR2W-102061",51.509707,4.176225,2018-10-31 18:44:00,2018-10-31 20:15:00,20,NA,NA,NA,120682.588866,10414.593974
"6","A69-1602-10832","DAK","Markiezaat-6","VR2W-103673",51.513097,4.218352,2018-10-31 22:06:00,2018-10-31 23:56:00,38,6660,17879.911477,2.684671,138562.500343,24348.250532
"7","A69-1602-10833","DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-26 15:45:00,2018-10-26 15:45:00,1,NA,NA,NA,0,0
"8","A69-1602-10833","DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-27 03:52:00,2018-10-27 05:23:00,69,43620,63575.46396,1.457484,63575.46396,63575.46396
"9","A69-1602-10833","DAK","Markiezaat-3","VR2W-103672",51.45897,4.229676,2018-10-27 19:37:00,2018-10-27 20:11:00,10,51240,14593.036242,0.284798,78168.500202,49182.365665
"10","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-27 23:13:00,2018-10-28 03:37:00,101,10920,13570.529104,1.242722,91739.029306,39919.68581
"11","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-28 16:16:00,2018-10-28 17:49:00,10,NA,NA,NA,91739.029306,39919.68581
"12","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-28 23:23:00,2018-10-28 23:37:00,3,NA,NA,NA,91739.029306,39919.68581
"13","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-29 02:10:00,2018-10-29 02:10:00,1,NA,NA,NA,91739.029306,39919.68581
"14","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-29 03:48:00,2018-10-29 05:03:00,8,NA,NA,NA,91739.029306,39919.68581
"15","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-29 13:05:00,2018-10-29 14:47:00,7,NA,NA,NA,91739.029306,39919.68581
"16","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-29 16:50:00,2018-10-29 18:52:00,53,NA,NA,NA,91739.029306,39919.68581
"17","A69-1602-10833","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-29 19:55:00,2018-10-29 23:04:00,77,NA,NA,NA,91739.029306,39919.68581
"18","A69-1602-10833","DAK","s-12","VR2W-127732",51.30305,4.28731,2018-10-31 18:49:26,2018-10-31 18:57:11,12,157526,16282.27837,0.103362,108021.307676,25045.053577
"19","A69-1602-10833","DAK","ak-41","VR2W-126195",51.239128,4.397469,2018-11-01 20:09:08,2018-11-01 20:09:08,1,90717,25710.861085,0.283418,133732.168761,49348.268525
"20","A69-1602-10833","DAK","s-10a","VR2W-127716",51.235423,4.396673,2018-11-04 14:34:54,2018-11-04 14:47:33,9,239146,25862.426467,0.108145,159594.595228,24396.671911
"21","A69-1602-10833","DAK","s-11","VR2W-127728",51.29646,4.2857,2018-11-04 17:25:42,2018-11-04 17:28:15,3,9489,98821.983834,10.414373,258416.579062,75336.141776
"22","A69-1602-10833","DAK","ws-55","VR2W-127734",51.40221,4.02998,2018-11-11 17:08:46,2018-11-11 17:19:47,15,603631,30943.668777,0.051263,289360.247839,48201.397841
"23","A69-1602-10833","DAK","ws-18","VR2W-115447",51.3482621,3.8147323,2018-11-11 22:39:36,2018-11-11 23:01:33,23,19189,49302.043813,2.569287,338662.291652,2940.525999
"24","A69-1602-10833","DAK","ws-2C","VR2W-122329",51.4169613,3.7188079,2018-11-12 08:26:10,2018-11-12 08:29:21,5,33877,641.239606,0.018928,339303.531258,2382.137922
"25","A69-1602-10834","DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-27 15:45:00,2018-10-27 15:45:00,1,NA,NA,NA,0,0
"26","A69-1602-10834","DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-31 18:00:00,2018-10-31 18:23:00,22,353700,63575.46396,0.179744,63575.46396,63575.46396
"27","A69-1602-10834","DAK","Markiezaat-4","VR2W-102058",51.462835,4.225819,2018-10-31 19:55:00,2018-10-31 23:59:00,134,5520,482.727423,0.087451,64058.191383,63492.661246
"28","A69-1602-10834","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-01 02:49:00,2018-11-01 03:15:00,19,10200,27880.824685,2.733414,91939.016068,39919.68581
"29","A69-1602-10834","DAK","ws-55","VR2W-127734",51.40221,4.02998,2018-11-01 12:12:39,2018-11-01 12:14:04,3,32259,88121.083652,2.731674,180060.09972,48201.397841
"30","A69-1602-10834","DAK","ws-53","VR2W-127737",51.41651283,4.027360624,2018-11-01 12:32:24,2018-11-01 12:35:18,4,1100,73394.86618,66.722606,253454.9659,25193.468338
"31","A69-1602-10834","DAK","ws-2C","VR2W-122329",51.4169613,3.7188079,2018-11-02 00:54:14,2018-11-02 00:54:14,1,44336,24441.22389,0.551273,277896.18979,2382.137922
"32","A69-1602-10835","DAK","rel_markiezaat","none",51.485749,4.231882,2018-10-28 15:45:00,2018-10-28 15:45:00,1,NA,NA,NA,0,0
"33","A69-1602-10835","DAK","Markiezaat-5","VR2W-102053",51.483798,4.228604,2018-10-30 19:11:00,2018-10-30 19:37:00,20,185160,63575.46396,0.343354,63575.46396,63575.46396
"34","A69-1602-10835","DAK","Markiezaat-3","VR2W-103672",51.45897,4.229676,2018-10-30 21:21:00,2018-10-30 21:50:00,12,6240,14593.036242,2.338628,78168.500202,49182.365665
"35","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-10-31 00:46:00,2018-10-31 00:46:00,1,10560,13570.529104,1.285088,91739.029306,39919.68581
"36","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-01 17:44:00,2018-11-01 19:36:00,42,NA,NA,NA,91739.029306,39919.68581
"37","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-02 04:00:00,2018-11-02 04:00:00,1,NA,NA,NA,91739.029306,39919.68581
"38","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-04 17:22:00,2018-11-05 20:26:00,414,NA,NA,NA,91739.029306,39919.68581
"39","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-05 22:02:00,2018-11-06 05:51:00,97,NA,NA,NA,91739.029306,39919.68581
"40","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-06 07:13:00,2018-11-06 09:57:00,18,NA,NA,NA,91739.029306,39919.68581
"41","A69-1602-10835","DAK","Markiezaat-1","VR2W-103671",51.40197,4.235801,2018-11-06 12:01:00,2018-11-06 13:12:00,5,NA,NA,NA,91739.029306,39919.68581
