"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1105-234","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"2","A69-1105-234","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 20:20:40,2007-10-03 20:43:21,3,73240,2840.740721,0.038787,2840.740721,2840.740721
"3","A69-1105-234","EMMN","45","VR2W-100568",70.021667,23.343333,2007-10-05 03:32:38,2007-10-05 04:18:33,2,110957,6078.42659,0.054782,8919.167311,8836.352958
"4","A69-1105-234","EMMN","45","VR2W-100568",70.021667,23.343333,2007-10-05 17:28:09,2007-10-05 18:02:32,34,NA,NA,NA,8919.167311,8836.352958
"5","A69-1105-234","EMMN","21","VR2W-100543",70.215,23.173167,2007-10-06 17:04:34,2007-10-06 17:14:25,11,82922,27385.8931,0.330261,36305.060411,36046.391003
"6","A69-1105-236","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"7","A69-1105-236","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 21:03:30,2007-10-03 21:32:23,24,75810,2840.740721,0.037472,2840.740721,2840.740721
"8","A69-1105-236","EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-04 00:07:24,2007-10-04 00:11:29,4,9301,5753.646656,0.618605,8594.387377,8511.573024
"9","A69-1105-237","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"10","A69-1105-237","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-13 19:12:18,2007-10-13 19:16:07,6,933138,2840.740721,0.003044,2840.740721,2840.740721
"11","A69-1105-238","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"12","A69-1105-238","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-07 00:46:55,2007-10-07 00:47:48,3,348415,2840.740721,0.008153,2840.740721,2840.740721
"13","A69-1105-238","EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-07 02:47:54,2007-10-07 02:52:24,7,7206,5753.646656,0.798452,8594.387377,8511.573024
"14","A69-1105-238","EMMN","27","VR2W-100548",70.0845,23.032167,2007-10-08 00:39:36,2007-10-08 01:18:47,38,78432,14914.165294,0.190154,23508.552671,23425.738317
"15","A69-1105-238","EMMN","3","VR2-4880",70.195333,22.987167,2007-10-09 05:46:40,2007-10-09 06:22:47,11,102473,13572.538722,0.13245,37081.091393,34125.977805
"16","A69-1105-238","EMMN","8","VR2-6052",70.201,23.038667,2007-10-09 14:18:53,2007-10-09 14:26:48,7,28566,2198.334795,0.076956,39279.426188,34623.376838
"17","A69-1105-239","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"18","A69-1105-239","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 02:11:14,2007-10-09 02:34:48,24,526274,2840.740721,0.005398,2840.740721,2840.740721
"19","A69-1105-239","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 12:16:01,2007-10-09 12:16:01,1,NA,NA,NA,2840.740721,2840.740721
"20","A69-1105-239","EMMN","39","VR2W-100561",70.003333,23.315,2007-10-11 01:14:44,2007-10-11 01:39:38,17,133123,5348.363755,0.040176,8189.104476,8106.290122
"21","A69-1105-239","EMMN","14","VR2-6561",70.206667,23.100167,2007-10-16 17:46:08,2007-10-16 18:01:32,19,489990,27090.484391,0.055288,35279.588867,35196.774513
"22","A69-1105-240","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"23","A69-1105-240","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-17 21:07:06,2007-10-17 21:12:23,9,1285626,2840.740721,0.00221,2840.740721,2840.740721
"24","A69-1105-240","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-18 17:33:15,2007-10-18 17:46:53,14,73252,5514.330693,0.075279,8355.071414,8272.25706
"25","A69-1105-240","EMMN","27","VR2W-100548",70.0845,23.032167,2007-10-20 16:51:09,2007-10-20 17:24:13,14,169456,15153.481257,0.089424,23508.552671,23425.738317
"26","A69-1105-240","EMMN","29","VR2W-100551",70.084833,23.0635,2007-10-20 18:13:07,2007-10-20 18:23:58,6,2934,1266.247749,0.431577,24774.80042,22491.424444
"27","A69-1105-240","EMMN","29","VR2W-100551",70.084833,23.0635,2007-10-20 19:53:02,2007-10-20 20:50:15,23,NA,NA,NA,24774.80042,22491.424444
"28","A69-1105-244","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"29","A69-1105-244","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-09 18:23:59,2007-10-09 19:12:55,20,584639,2840.740721,0.004859,2840.740721,2840.740721
"30","A69-1105-245","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"31","A69-1105-245","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-17 22:35:22,2007-10-17 22:40:56,4,1290922,2840.740721,0.002201,2840.740721,2840.740721
"32","A69-1105-245","EMMN","38","VR2W-100560",70.000167,23.310167,2007-10-19 02:14:42,2007-10-19 02:33:23,6,99226,5282.422345,0.053236,8123.163066,8040.348712
"33","A69-1105-245","EMMN","42","VR2W-100564",70.012667,23.3305,2007-10-19 15:29:04,2007-10-19 15:29:04,1,46541,1725.982909,0.037085,9849.145975,8404.13988
"34","A69-1105-245","EMMN","42","VR2W-100564",70.012667,23.3305,2007-10-19 20:51:06,2007-10-19 21:16:17,30,NA,NA,NA,9849.145975,8404.13988
"35","A69-1105-246","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"36","A69-1105-246","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 18:21:16,2007-10-03 18:43:47,28,66076,2840.740721,0.042992,2840.740721,2840.740721
"37","A69-1105-246","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 03:52:24,2007-10-04 04:02:49,12,32917,5514.330693,0.167522,8355.071414,8272.25706
"38","A69-1105-246","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 10:21:53,2007-10-04 10:21:53,1,NA,NA,NA,8355.071414,8272.25706
"39","A69-1105-246","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-05 05:15:30,2007-10-05 05:36:01,7,NA,NA,NA,8355.071414,8272.25706
"40","A69-1105-246","EMMN","44","VR2W-100567",70.019167,23.339667,2007-10-05 06:50:59,2007-10-05 07:21:29,12,4498,1725.982909,0.383722,10081.054323,8636.048227
"41","A69-1105-249","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"42","A69-1105-249","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 17:20:41,2007-10-03 17:52:52,14,62441,2840.740721,0.045495,2840.740721,2840.740721
"43","A69-1105-249","EMMN","38","VR2W-100560",70.000167,23.310167,2007-10-03 20:18:52,2007-10-03 20:22:45,2,8760,5282.422345,0.603016,8123.163066,8040.348712
"44","A69-1105-249","EMMN","36","VR2W-100558",69.993667,23.300167,2007-10-09 02:59:40,2007-10-09 03:04:24,7,455815,842.287866,0.001848,8965.450932,8223.35771
"45","A69-1105-249","EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-09 18:00:43,2007-10-09 18:05:45,5,53779,3110.228383,0.057834,12075.679315,8511.573024
"46","A69-1105-249","EMMN","35","VR2W-100557",70.085333,23.126467,2007-10-09 23:21:10,2007-10-09 23:31:37,13,18925,12052.68988,0.636866,24128.369195,20564.262904
"47","A69-1105-249","EMMN","11","VR2-6059",70.203667,23.070167,2007-10-10 19:05:48,2007-10-10 19:57:15,37,70451,14463.049475,0.205292,38591.41867,34910.075675
"48","A69-1105-250","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"49","A69-1105-250","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-04 19:23:40,2007-10-04 19:59:49,29,156220,2840.740721,0.018184,2840.740721,2840.740721
"50","A69-1105-250","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-04 23:45:40,2007-10-04 23:45:40,1,13551,5514.330693,0.406932,8355.071414,8272.25706
"51","A69-1105-250","EMMN","40","VR2W-100562",70.006333,23.319167,2007-10-05 05:26:23,2007-10-05 06:23:35,47,NA,NA,NA,8355.071414,8272.25706
"52","A69-1105-250","EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-05 06:24:11,2007-10-05 12:08:32,295,36,1425.652651,39.601463,9780.724065,8511.573024
"53","A69-1105-250","EMMN","43","VR2W-100566",70.0165,23.337333,2007-10-05 15:31:32,2007-10-05 15:34:20,2,NA,NA,NA,9780.724065,8511.573024
"54","A69-1105-252","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"55","A69-1105-252","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-03 22:22:39,2007-10-03 23:23:12,33,80559,2840.740721,0.035263,2840.740721,2840.740721
"56","A69-1105-252","EMMN","39","VR2W-100561",70.003333,23.315,2007-10-04 21:17:43,2007-10-04 21:35:50,29,78871,5348.363755,0.067812,8189.104476,8106.290122
"57","A69-1105-252","EMMN","31","VR2W-100553",70.084833,23.084667,2007-10-05 19:02:01,2007-10-05 19:56:35,84,77171,13709.405299,0.17765,21898.509775,21815.695421
"58","A69-1105-252","EMMN","28","VR2W-100550",70.085,23.0525,2007-10-05 19:56:41,2007-10-05 20:53:09,26,6,1366.273278,227.712213,23264.783053,22850.034823
"59","A69-1105-252","EMMN","25","VR2W-100547",70.085,23.021833,2007-10-05 20:55:02,2007-10-05 23:49:36,224,113,1266.247749,11.205732,24531.030802,23784.348696
"60","A69-1105-252","EMMN","24","VR2W-100546",70.085167,23.010833,2007-10-08 01:27:18,2007-10-08 03:12:10,66,178662,441.593848,0.002472,24972.62465,24142.959075
"61","A69-1105-252","EMMN","26","VR2-5352",70.085,23.0425,2007-10-08 03:12:18,2007-10-08 03:38:59,46,8,1266.247749,158.280969,26238.872399,23208.645201
"62","A69-1105-253","EMMN","rel_emmn1","none",69.95785,23.344467,2007-10-03 00:00:00,2007-10-03 00:00:00,1,NA,NA,NA,0,0
"63","A69-1105-253","EMMN","59","VR2-6743",69.972376,23.398833,2007-10-17 22:00:09,2007-10-17 22:12:47,8,1288809,2840.740721,0.002204,2840.740721,2840.740721
"64","A69-1105-253","EMMN","42","VR2W-100564",70.012667,23.3305,2007-10-19 01:29:26,2007-10-19 01:56:32,16,98199,5646.213512,0.057498,8486.954233,8404.13988
"65","A69-1105-253","EMMN","29","VR2W-100551",70.084833,23.0635,2007-10-20 00:33:02,2007-10-20 01:36:17,14,81390,14087.284565,0.173084,22574.238798,22491.424444
"66","A69-1105-253","EMMN","27","VR2W-100548",70.0845,23.032167,2007-10-20 01:36:42,2007-10-20 03:03:28,92,25,1266.247749,50.64991,23840.486547,23425.738317
