"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1601-37992","ESGL","rel_esgl","none",47.0924,-1.65511,2015-11-20 16:00:00,2015-11-20 16:00:00,1,NA,NA,NA,0,0
"2","A69-1601-38317","ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0
"3","A69-1601-38317","ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-01 22:39:20,2015-11-01 23:25:29,67,3220760,4110.035206,0.001276,4110.035206,4110.035206
"4","A69-1601-38317","ESGL","C9","VR2W-112241",47.1302,-1.69086,2015-11-01 23:28:31,2015-11-03 17:49:35,2186,182,1223.818253,6.724276,5333.853459,5333.853459
"5","A69-1601-38317","ESGL","C3","VR2W-112128",47.126098,-1.679072,2015-11-03 18:47:09,2015-11-03 18:54:20,8,3454,1389.5847,0.402312,6723.438159,4544.080158
"6","A69-1601-38317","ESGL","C2","VR2W-112126",47.1246,-1.67109,2015-11-03 19:22:46,2015-11-03 19:34:19,17,1706,1930.801706,1.131771,8654.239865,4012.755382
"7","A69-1601-38318","ESGL","rel_esgl","none",47.0924,-1.65511,2015-09-25 16:00:00,2015-09-25 16:00:00,1,NA,NA,NA,0,0
"8","A69-1601-38318","ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-10-11 21:50:44,2015-10-11 23:02:34,54,1403444,4451.33583,0.003172,4451.33583,4451.33583
"9","A69-1601-38318","ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-10 21:13:03,2015-11-10 23:02:34,140,2585429,341.300623,0.000132,4792.636453,4110.035206
"10","A69-1601-38318","ESGL","C7","VR2W-112235",47.1224,-1.68732,2015-11-11 00:24:23,2015-11-11 02:12:13,39,4909,341.300623,0.069525,5133.937076,4451.33583
"11","A69-1601-38318","ESGL","C8","VR2W-112239",47.1198,-1.68606,2015-11-11 03:25:26,2015-11-11 03:25:26,1,4393,341.300623,0.077692,5475.237699,4110.035206
"12","A69-1601-38318","ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-07 07:08:18,2016-01-07 07:08:18,1,NA,NA,NA,5475.237699,4110.035206
"13","A69-1601-38318","ESGL","C8","VR2W-112239",47.1198,-1.68606,2016-01-07 17:46:33,2016-01-07 17:58:29,6,NA,NA,NA,5475.237699,4110.035206
"14","A69-1601-38318","ESGL","C1","VR2W-112123",47.1237,-1.67011,2016-01-08 01:42:22,2016-01-08 02:24:33,65,27833,1689.614901,0.060705,7164.8526,3912.797191
