"","...1","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1",1,"PTN-Silver-eel-Mondego","A69-1601-19210","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"2",2,"PTN-Silver-eel-Mondego","A69-1601-19210","R1","VR2W-125699",40.283,-8.266,2015-11-14 21:53:50,2015-11-15 02:17:41,163,104030,1671.881643,0.016071,1671.881643,1671.881643
"3",3,"PTN-Silver-eel-Mondego","A69-1601-19210","R1","VR2W-125699",40.283,-8.266,2015-11-15 03:52:08,2015-11-15 04:01:01,8,NA,NA,NA,1671.881643,1671.881643
"4",4,"PTN-Silver-eel-Mondego","A69-1601-19210","R2","VR2W-125700",40.208,-8.434,2016-01-04 21:01:26,2016-01-04 21:22:09,4,4381225,24952.180689,0.005695,26624.062332,26624.062332
"5",5,"PTN-Silver-eel-Mondego","A69-1601-19210","R7","VR2W-125708",40.145,-8.842,2016-01-09 10:26:33,2016-01-09 10:26:33,1,392664,45361.332462,0.115522,71985.394794,71985.394793
"6",6,"PTN-Silver-eel-Mondego","A69-1601-19212","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"7",7,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-15 22:45:39,2015-11-15 22:45:39,1,193539,1671.881643,0.008638,1671.881643,1671.881643
"8",8,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-16 01:26:15,2015-11-16 04:17:59,59,NA,NA,NA,1671.881643,1671.881643
"9",9,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-16 05:22:23,2015-11-16 06:24:36,20,NA,NA,NA,1671.881643,1671.881643
"10",10,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-16 18:32:54,2015-11-17 06:32:03,629,NA,NA,NA,1671.881643,1671.881643
"11",11,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-17 19:14:50,2015-11-17 19:14:50,1,NA,NA,NA,1671.881643,1671.881643
"12",12,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-17 20:35:22,2015-11-17 21:33:19,2,NA,NA,NA,1671.881643,1671.881643
"13",13,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-17 23:28:53,2015-11-17 23:28:53,1,NA,NA,NA,1671.881643,1671.881643
"14",14,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-18 03:19:10,2015-11-18 04:51:21,60,NA,NA,NA,1671.881643,1671.881643
"15",15,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-18 22:28:27,2015-11-18 23:13:07,22,NA,NA,NA,1671.881643,1671.881643
"16",16,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-19 00:15:48,2015-11-19 01:04:05,16,NA,NA,NA,1671.881643,1671.881643
"17",17,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-19 12:47:20,2015-11-19 12:47:20,1,NA,NA,NA,1671.881643,1671.881643
"18",18,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-19 20:54:56,2015-11-19 22:08:58,4,NA,NA,NA,1671.881643,1671.881643
"19",19,"PTN-Silver-eel-Mondego","A69-1601-19212","R1","VR2W-125699",40.283,-8.266,2015-11-19 23:18:48,2015-11-19 23:18:48,1,NA,NA,NA,1671.881643,1671.881643
"20",20,"PTN-Silver-eel-Mondego","A69-1601-19212","R2","VR2W-125700",40.208,-8.434,2016-01-05 23:22:41,2016-01-05 23:40:01,5,4061033,24952.180689,0.006144,26624.062332,26624.062332
"21",21,"PTN-Silver-eel-Mondego","A69-1601-19213","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"22",22,"PTN-Silver-eel-Mondego","A69-1601-19213","R1","VR2W-125699",40.283,-8.266,2015-11-17 01:32:52,2015-11-17 01:58:35,19,289972,1671.881643,0.005766,1671.881643,1671.881643
"23",23,"PTN-Silver-eel-Mondego","A69-1601-19213","R1","VR2W-125699",40.283,-8.266,2015-11-17 04:56:18,2015-11-17 05:32:01,26,NA,NA,NA,1671.881643,1671.881643
"24",24,"PTN-Silver-eel-Mondego","A69-1601-19214","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
