"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","5000","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-05 22:00:00,2002-09-05 22:00:00,1,NA,NA,NA,0,0
"2","5000","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-09-23 22:29:00,2002-09-23 22:29:00,1,1556940,3738.074687,0.002401,3738.074687,3738.074687
"3","5000","nedap_meuse","Maas_Afferden","NEDAP16",51.63281,6.00403,2002-11-13 03:15:00,2002-11-13 03:15:00,1,4337160,74562.214054,0.017191,78300.288741,78241.717519
"4","5000","nedap_meuse","Maas_Sambeek_ben_stu","NEDAP40",51.6419,5.98526,2002-11-13 03:24:00,2002-11-13 03:24:00,1,540,1672.523866,3.097266,79972.812607,79738.527718
"5","5000","nedap_meuse","Maas_Balgoij","NEDAP19",51.77503,5.71819,2002-11-13 07:24:00,2002-11-13 07:24:00,1,14400,29423.728796,2.043314,109396.541403,109162.256514
"6","5000","nedap_meuse","Maas_Lith_dorp","NEDAP32",51.81067,5.4323,2002-11-13 11:43:00,2002-11-13 11:43:00,1,15540,24889.127489,1.601617,134285.668892,134051.384003
"7","5000","nedap_meuse","BergscheMaas_CVeer","NEDAP2",51.71876,4.98076,2002-11-13 18:50:00,2002-11-13 18:50:00,1,25620,38521.960235,1.503589,172807.629127,172573.344238
"8","5001","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-23 22:00:00,2002-09-23 22:00:00,1,NA,NA,NA,0,0
"9","5001","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-08 22:15:00,2002-10-08 22:25:00,3,1296900,12849.141464,0.009908,12849.141464,12849.141464
"10","5001","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-27 19:53:00,2002-10-27 19:53:00,1,NA,NA,NA,12849.141464,12849.141464
"11","5002","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-10 22:00:00,2002-09-10 22:00:00,1,NA,NA,NA,0,0
"12","5002","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-10-27 18:15:00,2002-10-27 18:15:00,1,4047300,3738.074687,0.000924,3738.074687,3738.074687
"13","5002","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-27 21:08:00,2002-10-27 21:08:00,1,10380,9169.638,0.883395,12907.712687,12849.141464
"14","5002","nedap_meuse","Maas_Linne_dorp","NEDAP25",51.16075,5.94233,2002-10-30 03:24:00,2002-10-30 03:24:00,1,195360,0,0,12907.712687,12849.141464
"15","5002","nedap_meuse","Maas_Afferden","NEDAP16",51.63281,6.00403,2003-01-05 01:09:00,2003-01-05 01:09:00,1,5780700,68071.114015,0.011776,80978.826702,78241.717519
"16","5002","nedap_meuse","Maas_Sambeek_ben_stu","NEDAP40",51.6419,5.98526,2003-01-05 01:17:00,2003-01-05 01:17:00,1,480,1672.523866,3.484425,82651.350568,79738.527718
"17","5002","nedap_meuse","Maas_Balgoij","NEDAP19",51.77503,5.71819,2003-01-05 05:22:00,2003-01-05 05:22:00,1,14700,29423.728796,2.001614,112075.079364,109162.256514
"18","5002","nedap_meuse","Maas_Lith_dorp","NEDAP32",51.81067,5.4323,2003-01-05 09:27:00,2003-01-05 09:27:00,1,14700,24889.127489,1.693138,136964.206853,134051.384003
"19","5003","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-05 22:00:00,2002-09-05 22:00:00,1,NA,NA,NA,0,0
"20","5003","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-09-13 23:40:00,2002-09-13 23:40:00,1,697200,3738.074687,0.005362,3738.074687,3738.074687
"21","5004","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-05 22:00:00,2002-09-05 22:00:00,1,NA,NA,NA,0,0
"22","5004","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-09-23 01:07:00,2002-09-23 01:07:00,1,1480020,3738.074687,0.002526,3738.074687,3738.074687
"23","5004","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-10-28 18:16:00,2002-10-28 18:16:00,1,NA,NA,NA,3738.074687,3738.074687
"24","5004","nedap_meuse","Maas_Afferden","NEDAP16",51.63281,6.00403,2003-06-22 07:34:00,2003-06-22 07:34:00,1,20438280,74562.214054,0.003648,78300.288741,78241.717519
"25","5004","nedap_meuse","Maas_Sambeek_ben_stu","NEDAP40",51.6419,5.98526,2003-06-22 09:39:00,2003-06-22 09:39:00,1,7500,1672.523866,0.223003,79972.812607,79738.527718
"26","5004","nedap_meuse","Maas_Balgoij","NEDAP19",51.77503,5.71819,2003-06-24 00:02:00,2003-06-24 00:02:00,1,138180,29423.728796,0.212938,109396.541403,109162.256514
"27","5004","nedap_meuse","Maas_Alphen_wkc","NEDAP17",51.81115,5.45427,2003-06-25 23:20:00,2003-06-25 23:20:00,1,170280,23348.099006,0.137116,132744.640409,132510.355519
"28","5004","nedap_meuse","Maas_Alphen_wkc","NEDAP17",51.81115,5.45427,2003-06-26 01:56:00,2003-06-26 01:56:00,1,NA,NA,NA,132744.640409,132510.355519
"29","5004","nedap_meuse","Maas_Alphen_wkc","NEDAP17",51.81115,5.45427,2003-06-26 21:21:00,2003-06-26 21:25:00,3,NA,NA,NA,132744.640409,132510.355519
"30","5004","nedap_meuse","Maas_Lith_dorp","NEDAP32",51.81067,5.4323,2003-06-26 22:27:00,2003-06-26 22:27:00,1,3720,1541.028483,0.414255,134285.668892,134051.384003
"31","5004","nedap_meuse","BergscheMaas_CVeer","NEDAP2",51.71876,4.98076,2003-06-29 00:35:00,2003-06-29 00:35:00,1,180480,38521.960235,0.213442,172807.629127,172573.344238
"32","5004","nedap_meuse","OudeMaas_Spijkenisse","NEDAP49",51.84173,4.41701,2003-07-02 00:32:00,2003-07-02 00:32:00,1,259020,50669.69966,0.195621,223477.328787,211800.045705
"33","5004","nedap_meuse","OudeMaas_Spijkenisse","NEDAP49",51.84173,4.41701,2003-07-06 21:11:00,2003-07-06 21:21:00,4,NA,NA,NA,223477.328787,211800.045705
"34","5004","nedap_meuse","OudeMaas_Spijkenisse","NEDAP49",51.84173,4.41701,2003-07-07 01:22:00,2003-07-07 01:22:00,1,NA,NA,NA,223477.328787,211800.045705
"35","5004","nedap_meuse","OudeMaas_Spijkenisse","NEDAP49",51.84173,4.41701,2003-07-07 03:19:00,2003-07-07 03:19:00,1,NA,NA,NA,223477.328787,211800.045705
"36","5005","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-10 22:00:00,2002-09-10 22:00:00,1,NA,NA,NA,0,0
"37","5005","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-09-14 20:33:00,2002-09-14 20:33:00,1,340380,3738.074687,0.010982,3738.074687,3738.074687
"38","5005","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-23 19:13:00,2002-10-23 19:13:00,1,3364800,9169.638,0.002725,12907.712687,12849.141464
"39","5005","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-23 23:06:00,2002-10-23 23:06:00,1,NA,NA,NA,12907.712687,12849.141464
"40","5005","nedap_meuse","Maas_Linne_dorp","NEDAP25",51.16075,5.94233,2002-10-27 14:18:00,2002-10-27 14:18:00,1,313920,0,0,12907.712687,12849.141464
"41","5005","nedap_meuse","Maas_Afferden","NEDAP16",51.63281,6.00403,2002-10-28 06:57:00,2002-10-28 06:57:00,1,59940,68071.114015,1.135654,80978.826702,78241.717519
"42","5005","nedap_meuse","Maas_Sambeek_ben_stu","NEDAP40",51.6419,5.98526,2002-10-28 07:20:00,2002-10-28 07:20:00,1,1380,1672.523866,1.211974,82651.350568,79738.527718
"43","5005","nedap_meuse","Maas_Balgoij","NEDAP19",51.77503,5.71819,2002-10-28 15:21:00,2002-10-28 15:21:00,1,28860,29423.728796,1.019533,112075.079364,109162.256514
"44","5005","nedap_meuse","Maas_Alphen_wkc","NEDAP17",51.81115,5.45427,2002-10-28 21:55:00,2002-10-28 21:55:00,1,23640,23348.099006,0.987652,135423.17837,132510.355519
"45","5005","nedap_meuse","Maas_Lith_dorp","NEDAP32",51.81067,5.4323,2002-10-28 22:14:00,2002-10-28 22:14:00,1,1140,1541.028483,1.351779,136964.206853,134051.384003
"46","5005","nedap_meuse","BergscheMaas_CVeer","NEDAP2",51.71876,4.98076,2002-10-29 08:08:00,2002-10-29 08:08:00,1,35640,38521.960235,1.080863,175486.167088,172573.344238
"47","5006","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-24 22:00:00,2002-09-24 22:00:00,1,NA,NA,NA,0,0
"48","5006","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-10-26 22:55:00,2002-10-26 22:55:00,1,2768100,3738.074687,0.00135,3738.074687,3738.074687
"49","5006","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-10-27 01:26:00,2002-10-27 01:26:00,1,9060,9169.638,1.012101,12907.712687,12849.141464
"50","5006","nedap_meuse","Maas_Linne_dorp","NEDAP25",51.16075,5.94233,2002-10-28 19:32:00,2002-10-28 19:32:00,1,151560,0,0,12907.712687,12849.141464
"51","5006","nedap_meuse","Maas_Afferden","NEDAP16",51.63281,6.00403,2002-11-12 18:13:00,2002-11-12 18:13:00,1,1291260,68071.114015,0.052717,80978.826702,78241.717519
"52","5006","nedap_meuse","Maas_Sambeek_ben_stu","NEDAP40",51.6419,5.98526,2002-11-12 18:25:00,2002-11-12 18:25:00,1,720,1672.523866,2.32295,82651.350568,79738.527718
"53","5006","nedap_meuse","Maas_Balgoij","NEDAP19",51.77503,5.71819,2002-11-12 22:49:00,2002-11-12 22:49:00,1,15840,29423.728796,1.857559,112075.079364,109162.256514
"54","5006","nedap_meuse","Maas_Lith_dorp","NEDAP32",51.81067,5.4323,2002-11-13 03:09:00,2002-11-13 03:09:00,1,15600,24889.127489,1.595457,136964.206853,134051.384003
"55","5006","nedap_meuse","BergscheMaas_CVeer","NEDAP2",51.71876,4.98076,2002-12-30 21:32:00,2002-12-30 21:32:00,1,4126980,38521.960235,0.009334,175486.167088,172573.344238
"56","5006","nedap_meuse","HV_Stellendam_noord","NEDAP8",51.83465,4.05227,2003-01-04 01:00:00,2003-01-04 01:00:00,1,358080,72261.699644,0.201803,247747.866732,241129.227345
"57","5007","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-05 22:00:00,2002-09-05 22:00:00,1,NA,NA,NA,0,0
"58","5007","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2003-01-06 22:33:00,2003-01-06 23:15:00,15,10629180,3738.074687,0.000352,3738.074687,3738.074687
"59","5007","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2003-03-16 03:35:00,2003-03-16 04:23:00,4,NA,NA,NA,3738.074687,3738.074687
"60","5008","nedap_meuse","rel_nedap_meuse","none",51.10986,5.82025,2002-09-24 22:00:00,2002-09-24 22:00:00,1,NA,NA,NA,0,0
"61","5008","nedap_meuse","GrensMaas_Sweert","NEDAP7",51.13185,5.8415,2002-09-27 07:36:00,2002-09-27 07:36:00,1,207360,3738.074687,0.018027,3738.074687,3738.074687
"62","5008","nedap_meuse","Maas_Linne_wkc","NEDAP30",51.16075,5.94233,2002-09-30 21:18:00,2002-09-30 21:22:00,2,308520,9169.638,0.029721,12907.712687,12849.141464
