"","acoustic_tag_id","animal_project_code","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"1","A69-1601-17234","SEMP","rel_semp7","none",54.874169,24.001905,2014-05-30 08:00:00,2014-05-30 08:00:00,1,NA,NA,NA,0,0
"2","A69-1601-17234","SEMP","above-kaunas-2","VR2W-125066",54.874228,24.001093,2014-05-30 09:50:00,2014-05-30 11:14:00,13,6600,0,0,0,0
"3","A69-1601-17235","SEMP","rel_semp7","none",54.874169,24.001905,2014-05-30 08:00:00,2014-05-30 08:00:00,1,NA,NA,NA,0,0
"4","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-05-30 09:48:00,2014-05-30 10:00:00,5,6480,200.052864,0.030872,200.052864,200.052864
"5","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-05-30 13:44:00,2014-05-30 14:39:00,21,13440,0,0,200.052864,200.052864
"6","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-09 07:26:00,2014-06-09 09:42:00,75,NA,NA,NA,200.052864,200.052864
"7","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-13 10:12:00,2014-06-13 11:30:00,6,NA,NA,NA,200.052864,200.052864
"8","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-15 21:14:00,2014-06-15 23:14:00,45,NA,NA,NA,200.052864,200.052864
"9","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-20 21:41:00,2014-06-20 22:56:00,24,NA,NA,NA,200.052864,200.052864
"10","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-06-20 22:57:00,2014-06-20 23:05:00,9,60,0,0,200.052864,200.052864
"11","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-20 23:06:00,2014-06-20 23:11:00,6,60,0,0,200.052864,200.052864
"12","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-06-20 23:13:00,2014-06-20 23:13:00,1,120,0,0,200.052864,200.052864
"13","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-06-20 23:14:00,2014-06-20 23:54:00,20,60,0,0,200.052864,200.052864
"14","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-05 23:18:00,2014-07-06 00:31:00,25,NA,NA,NA,200.052864,200.052864
"15","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-06 22:09:00,2014-07-06 22:20:00,12,NA,NA,NA,200.052864,200.052864
"16","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-07-06 22:21:00,2014-07-06 22:34:00,13,60,0,0,200.052864,200.052864
"17","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-06 22:35:00,2014-07-06 22:35:00,1,60,0,0,200.052864,200.052864
"18","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-07-06 22:36:00,2014-07-06 22:37:00,2,60,0,0,200.052864,200.052864
"19","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-06 22:38:00,2014-07-06 23:21:00,20,60,0,0,200.052864,200.052864
"20","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-26 19:28:00,2014-07-26 19:36:00,2,NA,NA,NA,200.052864,200.052864
"21","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-26 20:43:00,2014-07-26 20:44:00,2,NA,NA,NA,200.052864,200.052864
"22","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-07-26 20:45:00,2014-07-26 20:45:00,1,60,0,0,200.052864,200.052864
"23","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-26 20:46:00,2014-07-26 20:49:00,4,60,0,0,200.052864,200.052864
"24","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-07-26 20:50:00,2014-07-26 20:50:00,1,60,0,0,200.052864,200.052864
"25","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-26 20:51:00,2014-07-26 20:54:00,3,60,0,0,200.052864,200.052864
"26","A69-1601-17235","SEMP","above-kaunas-3","VR2W-125067",54.873063,23.999205,2014-07-26 20:55:00,2014-07-26 21:03:00,7,60,0,0,200.052864,200.052864
"27","A69-1601-17235","SEMP","above-kaunas-4","VR2W-125071",54.873579,23.999337,2014-07-26 21:04:00,2014-07-26 21:27:00,15,60,0,0,200.052864,200.052864
"28","A69-1601-17236","SEMP","rel_semp7","none",54.874169,24.001905,2014-05-30 08:00:00,2014-05-30 08:00:00,1,NA,NA,NA,0,0
"29","A69-1601-17236","SEMP","above-kaunas-2","VR2W-125066",54.874228,24.001093,2014-05-30 09:46:00,2014-05-30 12:42:00,48,6360,0,0,0,0
"30","A69-1601-17236","SEMP","below-kaunas-4","VR2W-125063",54.876396,23.999052,2014-05-30 19:02:00,2014-05-30 20:55:00,70,22800,282.831143,0.012405,282.831143,282.831143
"31","A69-1601-17236","SEMP","Rusne-4","VR2W-125069",55.233365,21.440105,2014-10-21 20:47:02,2014-10-21 21:02:47,7,12441122,215261.837229,0.017302,215544.668372,215544.668373
"32","A69-1601-17236","SEMP","Rusne-3","VR2W-125065",55.249009,21.433182,2014-10-21 21:15:36,2014-10-21 21:58:48,26,769,1931.047597,2.511115,217475.715969,217358.563493
"33","A69-1601-17236","SEMP","Rusne-2","VR2W-125059",55.270805,21.410735,2014-10-21 22:02:52,2014-10-21 22:29:02,10,244,2945.463911,12.071573,220421.17988,220304.027404
"34","A69-1601-17236","SEMP","klaipeda-3","VR2W-125068",55.695975,21.12433,2014-10-28 18:24:49,2014-10-28 19:20:21,42,590147,73641.627142,0.124785,294062.807022,293945.654545
"35","A69-1601-17236","SEMP","klaipeda-1","VR2W-125058",55.718779,21.104573,2014-10-28 21:07:43,2014-10-28 21:28:57,17,6442,2945.341802,0.457209,297008.148824,296773.843871
"36","A69-1601-17236","SEMP","klaipeda-2","VR2W-125062",55.727228,21.081867,2014-10-28 21:50:26,2014-10-28 22:03:42,11,1289,1848.757752,1.434257,298856.906576,298622.601623
"37","A69-1601-17237","SEMP","rel_semp7","none",54.874169,24.001905,2014-05-30 08:00:00,2014-05-30 08:00:00,1,NA,NA,NA,0,0
"38","A69-1601-17237","SEMP","above-kaunas-2","VR2W-125066",54.874228,24.001093,2014-05-30 09:52:00,2014-05-30 11:35:00,39,6720,0,0,0,0
"39","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-05-30 13:02:00,2014-05-30 16:52:00,147,5220,0,0,0,0
"40","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-05-30 19:04:00,2014-05-30 21:30:00,87,NA,NA,NA,0,0
"41","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-05-30 21:31:00,2014-06-01 17:18:00,1957,60,0,0,0,0
"42","A69-1601-17237","SEMP","below-kaunas-4","VR2W-125063",54.876396,23.999052,2014-06-01 18:29:00,2014-06-02 02:30:00,364,4260,282.831143,0.066392,282.831143,282.831143
"43","A69-1601-17237","SEMP","below-kaunas-4","VR2W-125063",54.876396,23.999052,2014-06-02 07:03:00,2014-06-02 11:33:00,148,NA,NA,NA,282.831143,282.831143
"44","A69-1601-17237","SEMP","below-kaunas-4","VR2W-125063",54.876396,23.999052,2014-06-02 15:03:00,2014-06-02 16:57:00,11,NA,NA,NA,282.831143,282.831143
"45","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 18:00:00,2014-06-02 18:02:00,3,3780,282.831143,0.074823,565.662286,0
"46","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 18:05:00,2014-06-02 18:05:00,1,180,0,0,565.662286,0
"47","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 18:06:00,2014-06-02 19:33:00,67,60,0,0,565.662286,0
"48","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 19:34:00,2014-06-02 19:34:00,1,60,0,0,565.662286,0
"49","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 19:35:00,2014-06-02 19:50:00,14,60,0,0,565.662286,0
"50","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 19:51:00,2014-06-02 19:51:00,1,60,0,0,565.662286,0
"51","A69-1601-17237","SEMP","below-kaunas-1","VR2W-125056",54.874708,23.999465,2014-06-02 19:53:00,2014-06-02 19:57:00,5,120,0,0,565.662286,0
"52","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 19:58:00,2014-06-02 20:03:00,6,60,0,0,565.662286,0
"53","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 20:04:00,2014-06-02 20:11:00,3,60,0,0,565.662286,0
"54","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 20:12:00,2014-06-02 20:12:00,1,60,0,0,565.662286,0
"55","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 20:13:00,2014-06-02 20:13:00,1,60,0,0,565.662286,0
"56","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 20:14:00,2014-06-02 20:17:00,2,60,0,0,565.662286,0
"57","A69-1601-17237","SEMP","below-kaunas-3","VR2W-125061",54.875486,24.000087,2014-06-02 20:18:00,2014-06-02 20:26:00,5,60,0,0,565.662286,0
"58","A69-1601-17237","SEMP","below-kaunas-2","VR2W-125060",54.874708,23.999465,2014-06-02 20:27:00,2014-06-02 20:39:00,6,60,0,0,565.662286,0
"59","A69-1601-17237","SEMP","below-kaunas-1","VR2W-125056",54.874708,23.999465,2014-06-02 20:41:00,2014-06-02 20:46:00,3,120,0,0,565.662286,0
