,acoustic_tag_id,animal_project_code,station_name,receiver_id,deploy_latitude,deploy_longitude,arrival,departure,detections,swimtime_s,swimdistance_m,speed_m_s,totaldistance_m,distance_to_source_m,downstream_migration,migration_speed,migration
1,A69-1008-209,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,24/11/2005 19:35,24/11/2005 19:35,2,4532,382.750135,0.084455,47697.3946,47638.83129,NA,NA,TRUE
2,A69-1008-227,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,10/11/2005 23:08,10/11/2005 23:25,20,4302,382.750135,0.08897,47697.3946,47638.83129,FALSE,NA,TRUE
3,A69-1008-213,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,28/10/2005 19:20,28/10/2005 19:33,12,72279,17148.67917,0.237257,47697.3946,47638.83129,NA,NA,TRUE
4,A69-1008-224,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,28/10/2005 5:34,28/10/2005 6:16,14,11067,382.750135,0.034585,47697.3946,47638.83129,FALSE,NA,TRUE
5,A69-1008-207,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,27/10/2005 23:31,27/10/2005 23:53,23,3827,382.750135,0.100013,48497.12352,47638.83129,NA,NA,TRUE
6,A69-1008-218,Gudena,UDBY1,VR2-3530,56.60799107,10.29949461,27/10/2005 22:20,27/10/2005 23:58,32,61841,16765.92903,0.271113,48114.37338,47256.08116,NA,NA,TRUE
7,A69-1008-192,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,27/10/2005 2:08,27/10/2005 2:14,2,3799,382.750135,0.10075,48745.6635,47638.83129,FALSE,NA,TRUE
8,A69-1008-217,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,26/10/2005 23:16,26/10/2005 23:48,24,3786,382.750135,0.101096,47697.3946,47638.83129,NA,NA,TRUE
9,A69-1008-198,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,25/10/2005 20:26,25/10/2005 20:30,8,4593,382.750135,0.083333,47697.3946,47638.83129,NA,NA,TRUE
10,A69-1008-216,Gudena,UDBY2,VR2-2567,56.60980547,10.30384199,25/10/2005 5:41,25/10/2005 5:44,5,4339,382.750135,0.088212,47697.3946,47638.83129,NA,NA,TRUE
