,animal_project_code,scientific_name,acoustic_tag_id,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,release_date_time,release_location,release_latitude,release_longitude,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,treatment_type
1,2004_Gudena,Anguilla anguilla,A69-1008-101,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,72,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,g,NA,NA,female,silver,NA
2,2004_Gudena,Anguilla anguilla,A69-1008-102,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,64,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,g,NA,NA,female,silver,NA
3,2004_Gudena,Anguilla anguilla,A69-1008-74,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,74,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,g,NA,NA,female,silver,NA
4,2004_Gudena,Anguilla anguilla,A69-1008-75,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,75,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,g,NA,NA,female,silver,NA
5,2004_Gudena,Anguilla anguilla,A69-1008-76,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,86,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037,g,NA,NA,female,silver,NA
6,2004_Gudena,Anguilla anguilla,A69-1008-77,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,87,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246,g,NA,NA,female,silver,NA
7,2004_Gudena,Anguilla anguilla,A69-1008-78,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,81,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,g,NA,NA,female,silver,NA
8,2004_Gudena,Anguilla anguilla,A69-1008-79,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,83,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,g,NA,NA,female,silver,NA
9,2004_Gudena,Anguilla anguilla,A69-1008-80,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,75,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,g,NA,NA,female,silver,NA
10,2004_Gudena,Anguilla anguilla,A69-1008-81,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,10/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,70,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,g,NA,NA,female,silver,NA
11,2004_Gudena,Anguilla anguilla,A69-1008-103,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,71,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,677,g,NA,NA,female,silver,NA
12,2004_Gudena,Anguilla anguilla,A69-1008-104,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,76,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,805,g,NA,NA,female,silver,NA
13,2004_Gudena,Anguilla anguilla,A69-1008-105,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,90,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,g,NA,NA,female,silver,NA
14,2004_Gudena,Anguilla anguilla,A69-1008-106,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,86,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,g,NA,NA,female,silver,NA
15,2004_Gudena,Anguilla anguilla,A69-1008-107,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,74,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,g,NA,NA,female,silver,NA
16,2004_Gudena,Anguilla anguilla,A69-1008-108,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,77,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,g,NA,NA,female,silver,NA
17,2004_Gudena,Anguilla anguilla,A69-1008-109,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,69,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,g,NA,NA,female,silver,NA
18,2004_Gudena,Anguilla anguilla,A69-1008-110,10/05/2004 0:00,Lojstrup Mill fish farm,56.364919,9.900337,Wolf trap,18/05/2004 12:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,72,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,g,NA,NA,female,silver,NA
19,2004_Gudena,Anguilla anguilla,A69-1008-180,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,60,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,g,NA,NA,female,silver,NA
20,2004_Gudena,Anguilla anguilla,A69-1008-181,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,57,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,g,NA,NA,female,silver,NA
21,2004_Gudena,Anguilla anguilla,A69-1008-182,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,62,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,g,NA,NA,female,silver,NA
22,2004_Gudena,Anguilla anguilla,A69-1008-183,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,71,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,g,NA,NA,female,silver,NA
23,2004_Gudena,Anguilla anguilla,A69-1008-184,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,61.5,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,g,NA,NA,female,silver,NA
24,2004_Gudena,Anguilla anguilla,A69-1008-185,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,63,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,g,NA,NA,female,silver,NA
25,2004_Gudena,Anguilla anguilla,A69-1008-186,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,60,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,g,NA,NA,female,silver,NA
26,2004_Gudena,Anguilla anguilla,A69-1008-187,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,58,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,g,NA,NA,female,silver,NA
27,2004_Gudena,Anguilla anguilla,A69-1008-188,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,64.5,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,g,NA,NA,female,silver,NA
28,2004_Gudena,Anguilla anguilla,A69-1008-189,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,60,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,g,NA,NA,female,silver,NA
29,2004_Gudena,Anguilla anguilla,A69-1008-190,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,59.5,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,g,NA,NA,female,silver,NA
30,2004_Gudena,Anguilla anguilla,A69-1008-192,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,57,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,g,NA,NA,female,silver,NA
31,2004_Gudena,Anguilla anguilla,A69-1008-193,8/09/2005 0:00,Vestbirk hydropower station,55.976867,9.700361,Wolf trap,8/09/2005 14:00,Lojstrup Mill fish farm,56.364919,9.900337,total length,69,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,g,NA,NA,female,silver,NA
