catchedDateTime,projectName,tag,utcReleaseDateTime,scientificName,sedativeConcentration,temperatureChange,holdingTemperature,postOpHoldingPeriod,preopHoldingPeriod,sedative,treatmentType,wildOrHatchery,endDateTag,stock,surgeryLocation,dnaSampleTaken,dissolvedOxygen,surgeryLongitude,recaptureDate,bufferConcentrationInRecirculation,implantType,implantMethod,tagSerialNumber,anestheticConcentrationInRecirculation,bufferConcentrationInAnaesthetic,comments,surgeryLatitude,anaesthetic,buffer,anaestheticConcentration,dateOfSurgery,releaseLatitude,length,length2Units,lengthType,lengthUnits,length4Type,length4,length2Type,length2,commonName,animalId,length3,length3Type,length3Units,length4Units,weight,captureLongitude,captureLatitude,captureDepth,releaseLocation,personId,captureMethod,captureLocation,age,weightUnits,ageUnits,sex,lifeStage,releaseLongitude
,nedap_meuse,5440,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,810,mm,total length,mm,pectoral fin length,4.2,horizontal eye diameter,0.77,,,0.71,vertical eye diameter,mm,mm,1055,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5441,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,700,mm,total length,mm,pectoral fin length,2.9,horizontal eye diameter,0.6,,,0.59,vertical eye diameter,mm,mm,730,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5442,2004-09-15T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,820,mm,total length,mm,pectoral fin length,4.06,horizontal eye diameter,0.78,,,0.77,vertical eye diameter,mm,mm,990,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5444,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,810,mm,total length,mm,pectoral fin length,3.5,horizontal eye diameter,0.86,,,0.82,vertical eye diameter,mm,mm,1061,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5445,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,730,mm,total length,mm,pectoral fin length,3.5,horizontal eye diameter,0.77,,,0.71,vertical eye diameter,mm,mm,683,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5446,2004-09-15T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,810,mm,total length,mm,pectoral fin length,3.8,horizontal eye diameter,0.88,,,0.79,vertical eye diameter,mm,mm,1120,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5447,2004-09-15T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,830,mm,total length,mm,pectoral fin length,4,horizontal eye diameter,0.78,,,0.72,vertical eye diameter,mm,mm,910,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5448,2004-09-15T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,760,mm,total length,mm,pectoral fin length,4.1,horizontal eye diameter,0.78,,,0.77,vertical eye diameter,mm,mm,905,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5449,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,780,mm,total length,mm,pectoral fin length,3.4,horizontal eye diameter,0.74,,,0.67,vertical eye diameter,mm,mm,875,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
,nedap_meuse,5450,2004-09-14T00:00:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,2-phenoxy-ethanol,,0.9 ml/L,,51.10986,810,mm,total length,mm,pectoral fin length,4.1,horizontal eye diameter,0.85,,,0.85,vertical eye diameter,mm,mm,871,,,,Ohe and Laak slibway,,fyke nets,,,g,,female,,5.82025
