deployLat,stationName,locationName,deployLong,projectName,receiver,deployDateTime,distanceToMouth,transmitProfile,arBatteryInstallDate,batteryInstallDate,locationDescription,transmitPowerOutput,logNoiseStatsPeriod,logDepthStatsPeriod,logDepthSamplePeriod,mooringType,logNoiseSamplePeriod,locationManager,logTemperatureSamplePeriod,logTiltSamplePeriod,logTemperatureStatsPeriod,timeDrift,recoverLong,recoverDateTime,bottomDepth,recoverLat,intendedLong,downloadDateTime,intendedLat,riserLength,instrumentDepth,dataDownloaded,voltageAtDownload,dropDeadDate,arConfirm,voltageAtDeploy,checkCompleteTime,syncDateTime,comments
51.96949,stour_1,U/S Stratford St Mary Abstraction ,0.97145,2013_Stour,VR2W-stourdummy1,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.961682,stour_2,US Dedham sluices ,0.993104,2013_Stour,VR2W-stourdummy2,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.961941,stour_3,DS Dedham Mill ,0.993163,2013_Stour,VR2W-stourdummy3,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.96285,stour_4,Under Dedham Road Bridge ,0.994314,2013_Stour,VR2W-stourdummy4,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.959644,stour_5,U/S Flatford Footbridge ,1.0196169,2013_Stour,VR2W-stourdummy5,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.959032,stour_6,Flatford Lock ,1.020471,2013_Stour,VR2W-stourdummy6,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.959042,stour_7,U/S Flatford Mill HP ,1.021295,2013_Stour,VR2W-stourdummy7,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.958792,stour_8,Flatford Mill Pool ,1.02105,2013_Stour,VR2W-stourdummy8,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.958462,stour_9,D/S Flatford mill pool - by canoe portage,1.0211455,2013_Stour,VR2W-stourdummy9,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
51.954727,stour_10,D/S Judas Gap (tail pool) ,1.026006,2013_Stour,VR2W-stourdummy10,2013-10-01T00:00:00Z,,,,,,,,,,bottom mooring,,,,,,,,,,,,,,,,,,,,,,,
