catchedDateTime,projectName,tag,utcReleaseDateTime,scientificName,sedativeConcentration,temperatureChange,holdingTemperature,postOpHoldingPeriod,preopHoldingPeriod,sedative,treatmentType,wildOrHatchery,endDateTag,stock,surgeryLocation,dnaSampleTaken,dissolvedOxygen,surgeryLongitude,recaptureDate,bufferConcentrationInRecirculation,implantType,implantMethod,tagSerialNumber,anestheticConcentrationInRecirculation,bufferConcentrationInAnaesthetic,comments,surgeryLatitude,anaesthetic,buffer,anaestheticConcentration,dateOfSurgery,releaseLatitude,length,length2Units,lengthType,lengthUnits,length4Type,length4,length2Type,length2,commonName,animalId,length3,length3Type,length3Units,length4Units,weight,captureLongitude,captureLatitude,captureDepth,releaseLocation,personId,captureMethod,captureLocation,age,weightUnits,ageUnits,sex,lifeStage,releaseLongitude
2014-01-13T09:00:00Z,2013_Stour,1,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,838,,total length,mm,,,,,,,,,,,1073,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,2,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,682,,total length,mm,,,,,,,,,,,424,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,3,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,629,,total length,mm,,,,,,,,,,,411,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,4,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,568,,total length,mm,,,,,,,,,,,290,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,5,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,563,,total length,mm,,,,,,,,,,,320,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,6,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,562,,total length,mm,,,,,,,,,,,315,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,7,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,500,,total length,mm,,,,,,,,,,,208,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-11-19T09:00:00Z,2013_Stour,8,2013-11-19T16:55:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,582,,total length,mm,,,,,,,,,,,394,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,9,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,662,,total length,mm,,,,,,,,,,,568,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-01-13T09:00:00Z,2013_Stour,10,2014-01-13T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,510,,total length,mm,,,,,,,,,,,266,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
